TRAINNLLSTDDEVS:,SMM5-A,ES-A,CAWPE-A,SMLRE-A,WMV-A,RC-A,MV-A,SMLR-A,PB-A,NBC-A
cardiotocography-10clases,0.026053547063326195,0.02833418058465226,0.02365032483548658,0.025880635860077824,0.04631680551935534,0.046510466987311816,0.04623303321456316,0.02694541432221785,0.048627055415053674,0.1192271645583711
chess-krvk,0.007970710841235984,0.02256688099054452,0.010905764370821294,0.010435400943771492,0.020332070651642154,0.021140232966384186,0.021886357312052657,0.010388801410297521,0.006450782144932679,0.031535140152240945
chess-krvkp,0.010872402490806421,0.012385508295460665,0.005592043057707748,0.010212729363797553,0.006271235885753044,0.006279024188519044,0.006286477783920696,0.009556382997361394,0.006153774027616312,0.025602675026550774
congressional-voting,0.13916714296030974,0.029445036186225196,0.0245735673959615,0.13964577991240565,0.20386090920652267,0.19137182900567773,0.20311648391887846,0.11481510743574246,0.04333168876044003,0.017673787525938872
conn-bench-sonar-mines-rocks,0.17782803234442907,0.04113690932128255,0.03948669457458934,0.2041404448423539,0.09992345730647381,0.09880744339517092,0.10061247283881497,0.17436946391471084,0.09783568813372939,0.1161618759415329
conn-bench-vowel-deterding,0.018914243038254078,0.04125305343337102,0.023619033799623844,0.04521815981753465,0.027934781213133853,0.028103550289113616,0.028094502781465885,0.045642594624083814,0.029931269519920766,0.05828549023090982
connect-4,0.00870065864993668,0.004254019003487358,0.0028222065526111524,0.008770490670217774,0.010647175686894028,0.011261485592699193,0.010669864573983421,0.008912722265716919,0.002371471830896941,0.012060309228143672
contrac,0.08168583197356748,0.023004737816823488,0.02048627049799498,0.05176540550293706,0.08322606826299685,0.08232355068321914,0.0842036295240554,0.06596578797506256,0.05321898090400945,0.04740370413372872
credit-approval,0.13882906332709652,0.04414056413743351,0.040055279705216454,0.11455168396291096,0.07767921166998241,0.07773109477757659,0.07779821471002721,0.11497708421412559,0.10122241919649781,0.08674985529466671
cylinder-bands,0.1625372263394469,0.03587259779947914,0.036174685824100744,0.1404781640801632,0.08666487947601514,0.08994768472491649,0.08686972629443152,0.14518823091364277,0.08677498182277908,0.04751731898533861
dermatology,0.022176275266223483,0.03631585052419898,0.03014738696361078,0.03255462870223601,0.043378764584807196,0.04309104995970795,0.04347753810353789,0.03756528232664061,0.052676895170077544,0.08089983930739766
echocardiogram,0.2784490690917807,0.09597093575795647,0.0973026443788605,0.2512771726190542,0.20561599392978025,0.20429250596750625,0.2066467861290947,0.2565911728151876,0.20230006724887878,0.17776048367753988
ecoli,0.06516512380973533,0.08317980135212528,0.07402184570480377,0.07236383944543934,0.10332649490723664,0.10310410806259022,0.10335243941801275,0.06900581583566194,0.12995199104946706,0.18522504703641202
energy-y1,0.03014979607765985,0.03066798315821224,0.0313016208653764,0.028223346942251745,0.047017244343452426,0.047439472972878954,0.046992668588886684,0.028067595414429197,0.04877740753931718,0.1124800637996573
energy-y2,0.03224975460188493,0.021419958632587385,0.02188421771322545,0.0227567167017377,0.040511607188933055,0.04076241818726273,0.040431228705257304,0.024611066278594468,0.055141729622891274,0.08543859692147007
fertility,0.15341031390944054,0.0736682029534244,0.05998926850926989,0.14209150621318303,0.10451474381052032,0.08110542883743749,0.10987472169805085,0.10852418047203319,0.23751252474064066,0.2369153674882895
flags,0.09281565924162073,0.13094539697872637,0.1249762174354299,0.09978292105092226,0.20366513650532703,0.2041754707749705,0.20400278716299167,0.10147554323490493,0.18715452762380563,0.18451143785516935
glass,0.09904868638631335,0.07642080897641775,0.07380905651310661,0.07330187396845499,0.12775792454849963,0.123740300879872,0.12874941560363878,0.07437751010189704,0.12174858433070052,0.14570549480634726
haberman-survival,0.21995216527697428,0.046633151214438597,0.04411849085000626,0.18372576523769196,0.13426894875268314,0.1493470739631733,0.13508631387309172,0.14462653663991007,0.20764629458037648,0.10441100598305407
hayes-roth,0.09631569321217351,0.07049672954070468,0.06892377906157961,0.07439416591220051,0.1782100889182227,0.17692340195628153,0.175356791191352,0.113967709304079,0.09645674503908823,0.14192620114576032
heart-cleveland,0.10851789451925999,0.05450056214394483,0.0588350487601913,0.042367323214014804,0.1441188998326708,0.1349610596471276,0.14704612202133444,0.07213771132265,0.1743845023272074,0.15503263179892326
heart-hungarian,0.2517339712088302,0.06166530063672992,0.06193311399968871,0.16762456058597602,0.1300973151401053,0.13046025167515818,0.13051602072212443,0.20107577397659193,0.18595634677804804,0.08654748145594762
heart-switzerland,0.1328082538859274,0.14768934523868735,0.1325946763988683,0.1315377864959868,0.2659682597676194,0.25895287047816623,0.28104499188103166,0.14251857198099407,0.36236157739049935,0.16544484350055075
heart-va,0.13678160112264703,0.16465039188900438,0.1288942071103477,0.10419133472007536,0.26214446361262655,0.26687685819146284,0.2643820707921766,0.11680403157854383,0.2665051877594148,0.10545733373578718
hepatitis,0.24754092991225352,0.07983782577280799,0.06548263574643327,0.18072001199188975,0.12268411670768233,0.12333135095780512,0.12401789239700765,0.1807909428556108,0.16451405583559495,0.15256885488689734
hill-valley,0.15831731828733622,0.049515727578559265,0.015408781245056756,0.1314688797896587,0.09985397463837078,0.12467976263877494,0.1000661022827593,0.15247039172376706,0.045692438308944774,0.020088509001210442
horse-colic,0.17697966283161926,0.04373543237406568,0.04219297158133042,0.14154672251231137,0.0730895889323819,0.07341733348911554,0.07315234813137514,0.1357381781529368,0.10135274374432526,0.07678193324946077
ilpd-indian-liver,0.13327685273314419,0.034264276057292695,0.031948285088990405,0.12073090239910643,0.10165618335068517,0.11962875129952215,0.10194344481887645,0.12286337554517561,0.10060712611774959,0.049908459711188985
image-segmentation,0.011132781438031761,0.014100626891389835,0.01129429343050731,0.01590347037237927,0.016011793315947084,0.01624089805352947,0.016559462572163747,0.01736830101540162,0.018541402067056827,0.04496504252276926
ionosphere,0.10774948288364841,0.02979151191866039,0.03091564776104716,0.08950307280359417,0.05622934734482796,0.05707650869737147,0.05623342921550718,0.08332746006419879,0.06562264943945545,0.10707943791065824
iris,0.04214976056079662,0.06504102666946504,0.0519013662706767,0.05074238400134424,0.09204229040495035,0.09179956654501001,0.09194806074568726,0.054514102305693736,0.13595284805450217,0.19461734674580583
led-display,0.06323552774195688,0.07179578613520428,0.06937787624153245,0.04843962128663647,0.11228985065432076,0.11196664701010632,0.11248954715327672,0.05060924611874892,0.07740957428919461,0.13399186973846255
lenses,0.29474583448338426,0.3334693004316741,0.3038887449060121,0.047170087637137766,0.5466594662891966,0.5160161986145602,0.5471712109915089,0.8797279220758133,0.49403929846848194,0.4048375273334186
letter,0.004666605154330693,0.027002197008968196,0.008562896365111403,0.012702462821915617,0.010763202015196777,0.010721147573944025,0.010917711983348856,0.012750305010376033,0.006663081507287902,0.030111355917372077
libras,0.049300243342542266,0.08924855341234916,0.08415525210770146,0.07145285344595814,0.1263894654701153,0.12599667392081806,0.12687954373302415,0.05951456050153543,0.11667861736108735,0.11091952423299103
low-res-spect,0.043087232016732,0.0479722124102467,0.051440573084062524,0.0492368436191042,0.06696938656534038,0.06549216594450048,0.06690767177584092,0.05304585191616612,0.06727376776847871,0.15397914892633288
lung-cancer,0.08212305439368171,0.2951709489514693,0.1986973094765162,0.6489151736625992,0.6163502132500607,0.5846202696173246,0.6952592558672176,0.3989645625271951,0.691215371922319,0.1618824517500968
lymphography,0.09175270223016128,0.08487166046535602,0.07451964221197319,0.08634543540631962,0.14429558123930655,0.14140042280100273,0.14520448032590882,0.09235949208539322,0.16197729901555813,0.16546814330821047
magic,0.019218321404412698,0.008042560049475773,0.005902601469017329,0.01944556748241122,0.014115975532185975,0.014276452131473341,0.014112928191024492,0.019140431434782917,0.007722184112279387,0.017365242802012053
mammographic,0.10946764248378521,0.03269380400794553,0.03219875920164071,0.08911501619318198,0.06987398496830124,0.06990552909825574,0.07013495476558135,0.08859393280443824,0.07098294711569858,0.052231550115515786
miniboone,0.0034879688267850178,0.0062668894228060205,0.001917895009738503,0.0035161216646797475,0.003523759384308238,0.003583397119512716,0.0035417209728282797,0.003399152767691752,0.0018693090357780535,0.008865893423866102
molec-biol-promoter,0.2676046331418368,0.07933417982411176,0.0691829222858996,0.24948218971931735,0.1906630244598114,0.19113164327023616,0.1918439485877968,0.21124420656316728,0.13568803320859035,0.20754295113460572
molec-biol-splice,0.01998802169862049,0.04110922052905252,0.013310799318141971,0.018844920400948244,0.019812129656644424,0.019772504324415244,0.020243502135020366,0.018986899180879518,0.023973847209133724,0.06076160615810865
monks-1,0.02947620690046149,0.045789201207815204,0.02109848852487336,0.03784338483358844,0.024132690282986088,0.025648292415253873,0.025340169145260563,0.05124018529158175,0.025259308179523036,0.052759471294087486
monks-2,0.21640532255973685,0.029452409611168424,0.026279730816170705,0.18661046028455003,0.1041097504241196,0.1116172377915047,0.10299488241657324,0.21540776024185765,0.07407605691702182,0.040520468965010485
monks-3,0.05440216157199971,0.026006067139127013,0.020212518577919607,0.05801541372299287,0.03584877733007977,0.035926804161023444,0.036376526186251076,0.051018995239496386,0.026660116039183772,0.09093016864695333
mushroom,0.0,8.759465210599528E-4,0.0013990944423468545,0.0,3.71980416048063E-4,3.7258974872515863E-4,3.7327723914686E-4,0.0,5.275455340212751E-5,6.842671490551081E-9
musk-1,0.14038998627265803,0.042311162995530324,0.03624488118545847,0.12674151666654576,0.07625366736388053,0.07592065885569745,0.07634209112238201,0.1149645904565358,0.066181712732795,0.11222895029403983
musk-2,0.013483635357398051,0.006393233732044109,0.003227192161846725,0.0096763732628936,0.005371838464194237,0.005395211456714197,0.005362081232604694,0.011456277284949273,0.006097510140485264,0.018787936527850112
nursery,8.438091549758056E-4,0.01452434810806484,0.009586844210529086,0.00232144222444511,0.0034392627664445135,0.003441120867512867,0.0035141951870313777,0.003187165491991037,7.053925255691593E-4,0.016985286713787427
oocytes_merluccius_nucleus_4d,0.09978217734617235,0.02418904602254017,0.024932989866534184,0.07739221426632342,0.058974165901441854,0.06058013579549318,0.05900108050021029,0.10209369731896019,0.06940905088884786,0.05041034596126013
oocytes_merluccius_states_2f,0.029383452929609373,0.020906374849866138,0.022252102777757046,0.020923647796143526,0.03699575508467804,0.03702376419577407,0.03702934927200064,0.02098230459880801,0.039421714615136626,0.09842969313248874
oocytes_trisopterus_nucleus_2f,0.0853863733546799,0.022908949888585252,0.023916913558993003,0.06316902593165312,0.04663318015986547,0.04675390172351335,0.04681697031135429,0.07594407837113205,0.0590506904620956,0.05421239612080409
oocytes_trisopterus_states_5b,0.02863713464182183,0.03307834703203019,0.027694854614453243,0.020860509678924322,0.03689679797624324,0.03666178851974068,0.03690579071842355,0.025389263186746436,0.03659963242545312,0.07739416911430587
optical,0.005753443520060278,0.03137077542384218,0.005341809209620709,0.011475897208557354,0.006927992967161384,0.006921091376080199,0.006928789398592076,0.00953568283368484,0.00728786496645068,0.032627227065122465
ozone,0.013768554375176278,0.05449526348858325,0.04371881163807099,0.010543015638525074,0.011817360604288644,0.009607546843671863,0.011843335948196393,0.009122304003439281,0.017616688463202114,0.24057576291989152
page-blocks,0.010100260567875328,0.009021207466976674,0.008185194956682053,0.008850880325660903,0.012417469231135165,0.012749060437325916,0.012394755814953662,0.009084605065089249,0.017528423263174782,0.27656679477738944
parkinsons,0.1564429080050783,0.0431761571933922,0.04283457815490096,0.1264566922156611,0.09794151870401577,0.09546736381442274,0.09838068616536673,0.14210011814308085,0.07620300171262125,0.15634310587718644
pendigits,0.002419692655897698,0.010461312997826525,0.006548505514132541,0.008266612935511472,0.004512097144407359,0.0045149859137519534,0.004514471167413703,0.00841936188655112,0.0044921645130610735,0.024153328929118704
pima,0.12555582462070208,0.031146463818890784,0.03176449133192785,0.10499468890508616,0.08947470026287602,0.08932280804479423,0.08982719874380052,0.09066120792073906,0.10109810989885751,0.03950820732518449
pittsburg-bridges-MATERIAL,0.11994065787664653,0.12154449642575277,0.12252897103394286,0.10066187848107502,0.19166374995565272,0.17187728762879495,0.1924385280069412,0.1084117613464942,0.26598328709672836,0.19526221331436713
pittsburg-bridges-REL-L,0.22855368190445127,0.13365659308418695,0.13164719137687567,0.23245486188741113,0.21841406814110956,0.19836880218153088,0.2239888788583461,0.18633550584233147,0.32803227253942924,0.197388544238676
pittsburg-bridges-SPAN,0.2112240169112137,0.11865446909349057,0.11549694356612776,0.23874852723348583,0.265782801556845,0.2600875152991427,0.2690212037829783,0.21336589693385938,0.2860607377951296,0.231912030113118
pittsburg-bridges-T-OR-D,0.2421304286267676,0.11764820138727965,0.1105206393530108,0.1956180920329011,0.15174500044691075,0.14827066849139448,0.15303774392423009,0.22246164037364222,0.2511706387513827,0.433281103632421
pittsburg-bridges-TYPE,0.12829332800874646,0.18812513126292923,0.1891117557019344,0.15610339904556256,0.32415750670797316,0.30285346661944657,0.3254175742492621,0.12757069766189544,0.4195342455203291,0.2862605560945371
planning,0.26837177720305966,0.038499122530310244,0.02780504615993396,0.22651277235232659,0.11397310898938633,0.10773956656969838,0.11699646054273069,0.15995843429182607,0.21572694810370402,0.04549870396214911
plant-margin,0.03588745995478554,0.1000185904139122,0.041760773386876344,0.22625335009828282,0.04818504132193494,0.04778489489455053,0.047325840424029895,0.036056951419325925,0.0379491620186901,0.029594168021769517
plant-shape,0.06614863405972365,0.056108775834089485,0.051427494131276515,0.18654888753349003,0.06274861697658711,0.06297278857045766,0.0630462425066233,0.027707434060984283,0.05815186298224785,0.04517326499124674
plant-texture,0.060142637644493784,0.09214964001670158,0.046334745583240015,0.35086101323489727,0.05246456410129078,0.05135448598664779,0.052326958825601275,0.039713375951505266,0.0343349164660751,0.04041470540434341
post-operative,0.11861929737931677,0.08827515019587984,0.07328016598345587,0.12385615871990084,0.20634521402855555,0.1656293117278624,0.21268823262914116,0.09221079862419439,0.34064944931742003,0.15850587882365214
primary-tumor,0.0802685675224878,0.13616904666379254,0.1229863095151956,0.057007375367606125,0.12187869532572729,0.12922596744167777,0.12331039511468016,0.05344139058499153,0.2008779127957791,0.1529139411200779
ringnorm,0.015212560563840231,0.012702005490726436,0.0058739608993380816,0.011087525408485096,0.00785174243436709,0.007849944815166604,0.007856327709368553,0.013019290227862983,0.006576519343729676,0.02345938434079607
seeds,0.049345451659758066,0.05627615344562007,0.05002878133329995,0.04515874071418632,0.08634043102066014,0.08653479203405849,0.08660480327930768,0.06493603372174019,0.06962474295824597,0.21518877087676055
semeion,0.019751286299683708,0.08722828799751481,0.024912422201490533,0.034160832795450055,0.03266835333495155,0.032617389692958174,0.03264866188019273,0.033692467528297895,0.041086077956886805,0.08981196545335486
soybean,0.026350937951701157,0.03846254947733142,0.03019001689918609,0.05768484322564006,0.0518131691018923,0.05240080808980835,0.05183658847661657,0.04655302744640487,0.05687022748604425,0.07767059935688252
spambase,0.024196807986176575,0.0108576031624047,0.008777762734944728,0.022297057791828258,0.014239624719077122,0.014395989071218767,0.01424526116962357,0.020145786282790505,0.013392307500453655,0.033571872362969636
spect,0.2848429592533415,0.055618477680757665,0.060334869081623846,0.20340454806317157,0.15978496580837812,0.15962143671982387,0.16074412211918465,0.2120779136781623,0.21640248569185422,0.08805625825632842
spectf,0.17740131825689806,0.054890473359769425,0.057329309925390044,0.15128749177006764,0.09825712555619687,0.09961538589896,0.09919148741929709,0.14775231621786064,0.11140475331689927,0.12312090264264904
statlog-australian-credit,0.07327058860075636,0.01355559988175485,0.016196546420264447,0.10089509741754166,0.09179121775852508,0.09179706957797704,0.09170680767783466,0.07122863229321552,0.10221400386516308,0.023221803396755523
statlog-german-credit,0.11334907810038351,0.029524810994170984,0.029175234864564203,0.09687988936656625,0.06814974438366736,0.06793350577732941,0.06835695881562376,0.09057319444109464,0.08404643229338236,0.03753163120009817
statlog-heart,0.22901136857019305,0.07427669525897745,0.06593218773313433,0.1792579605834129,0.13271760038181393,0.132492596291349,0.13330834903125255,0.21221621707179408,0.14083556222094085,0.11969355819818912
statlog-image,0.011710232738760307,0.011540211545918102,0.011576216823425207,0.013026405887488681,0.017461128759375208,0.01775345789063831,0.017842910783889145,0.014082248878688487,0.01484134366164782,0.049964154392540344
statlog-landsat,0.02328869730655714,0.011659702384240658,0.009889839757628634,0.009769835544131467,0.019613401256320672,0.02035452409479924,0.01962698778452616,0.009550509920677809,0.015520930797604601,0.04539859718634422
statlog-shuttle,2.0797568790099203E-4,0.0037192558076228712,0.0024755268074119876,0.001026966131467151,0.0059633722415047144,0.006717123114734284,0.006820166439100028,0.0010019368004603295,2.5666537719093956E-4,0.11924288720998946
statlog-vehicle,0.06192268613490427,0.02434489898447265,0.022171987905950267,0.024692838061884385,0.05241838874845669,0.051358170270756266,0.05282298095169903,0.030833535564058597,0.07248041071632401,0.07730832138310936
steel-plates,0.07378823484122869,0.03049831940067778,0.02854050593266334,0.024407173918877735,0.05155109545675976,0.05242546024830525,0.05146841277337832,0.02296048835474727,0.047812562124218236,0.08046196813677131
synthetic-control,0.008953483655582432,0.05067293387409911,0.026003686123549617,0.03273378432822406,0.01631611005690443,0.01625932668956424,0.016357792277381676,0.036339899589640075,0.02465985212801434,0.05145645364043087
teaching,0.22805719209822897,0.11070469108800353,0.11831672825386225,0.18887737075235544,0.29928596627614945,0.29827459923652416,0.3029394718655633,0.19800081005616274,0.38681678807481723,0.12492712140677649
thyroid,0.0029302719832349977,0.005117427160553504,0.004255229005196936,0.0034256413651224866,0.003328112247358036,0.003430609781808249,0.003348703913504917,0.003618796555165848,0.004322103792174875,0.016243950112513714
tic-tac-toe,0.01780943573003858,0.02454438281297047,0.016252266550749992,0.016150943149832633,0.011852065415355446,0.011954537435766792,0.011962081585858531,0.021226970842444574,0.009750028399561954,0.04077902416380392
titanic,0.05330543486146612,0.014485065333788943,0.013185832982755547,0.046775830674914434,0.05169913125617371,0.0487522843937274,0.051514418305991454,0.047990323650236026,0.014417343170354303,0.10319802752493609
trains,0.0,0.46583553398532557,0.17112580831242372,0.0,0.4721535871758851,0.47776748613303216,0.640997134692044,0.0,2.2584051416334807E-16,0.018435612434216285
twonorm,0.014654743031989116,0.051128446446641294,0.0235447341314211,0.011418791100909766,0.009988900197338177,0.009989945817579792,0.009992257328582449,0.012916433033287369,0.008773538209324125,0.03364716925016801
vertebral-column-2clases,0.24700937608303286,0.058110070010600416,0.05889053190799996,0.1907861397892163,0.14527457664841437,0.14344604167882005,0.14577107161592917,0.19529358507060518,0.16904627968373495,0.14157421177288676
vertebral-column-3clases,0.05854593549110511,0.0618874162288295,0.058949008846402175,0.055890936312009566,0.12385707859770244,0.12309532503354831,0.12369799220824475,0.06586276434659116,0.1471554831507943,0.14586779618074344
wall-following,0.0026614936502471166,0.015557690125423601,0.004760816536383734,0.004836802569531776,0.005677588275658708,0.005652970135570988,0.006082605228089759,0.0048753674339354226,0.004582047460790756,0.019115622663739267
waveform,0.011874985216072649,0.03559138846559738,0.015885002997567788,0.008693925343529378,0.022355665691251803,0.022279647604223,0.022386105024920857,0.008623252594273063,0.02106733090228076,0.04305029206334959
waveform-noise,0.014301945551621013,0.02859632132590589,0.01563342119294225,0.011976010593605271,0.022287140096465666,0.022228676179837255,0.022313576085653618,0.012539846621998151,0.01934365573288574,0.04416959355218079
wine,0.02096094576084167,0.05412017013557025,0.04066008277555041,0.03185387583313417,0.040601247693515426,0.04089801359505224,0.04081446209932932,0.034991086276844226,0.03947414320774734,0.1085087420115857
wine-quality-red,0.1375037535596196,0.03080581622317082,0.0296596874529919,0.025356801443788254,0.07172472357491579,0.07289256756820739,0.07136565234252482,0.02940825344779692,0.06690765492354542,0.21337733897713226
wine-quality-white,0.07709635895204676,0.019736941164465702,0.015003468494257587,0.01622449897938874,0.04329194399330441,0.043607101900399826,0.04266204370970403,0.01670278086316608,0.02898507088644714,0.18115726131961618
yeast,0.09212336503984651,0.036610333252512395,0.037428418992352934,0.035572698886311004,0.08265712736420683,0.08324352934105057,0.08314532249428266,0.03250188769088474,0.07950130024571025,0.1007221543978912
zoo,0.07241982493063516,0.09170537575501068,0.08787795369582278,0.09340056282998163,0.14144703178711937,0.13761460940292697,0.1411741752993846,0.09794582252770713,0.05907087203017012,0.07867270664354033
