TRAINACC:,CAWPE-A,PB-A
pittsburg-bridges-MATERIAL,0.858974358974359,0.8346153846153849
pittsburg-bridges-REL-L,0.6966666666666665,0.6173333333333332
pittsburg-bridges-SPAN,0.6637681159420289,0.605072463768116
pittsburg-bridges-T-OR-D,0.8790849673202618,0.8732026143790853
pittsburg-bridges-TYPE,0.5823529411764706,0.5326797385620915
planning,0.6934065934065934,0.6234432234432233
plant-margin,0.7976249999999998,0.673125
plant-shape,0.6330000000000002,0.47091666666666665
plant-texture,0.7884856070087607,0.6897788902795162
post-operative,0.6237037037037036,0.5807407407407407
primary-tumor,0.4533742331288343,0.4188139059304703
ringnorm,0.9781351351351353,0.9766666666666669
seeds,0.9253968253968256,0.9161904761904763
semeion,0.9389659520807059,0.9104245481294663
soybean,0.9265686274509802,0.8997058823529412
spambase,0.9513188405797097,0.9497681159420288
spect,0.6881313131313131,0.6343434343434342
spectf,0.8701754385964914,0.8561403508771926
statlog-australian-credit,0.6722705314009664,0.6328502415458938
statlog-german-credit,0.7621333333333331,0.7447333333333336
statlog-heart,0.8323456790123458,0.8093827160493826
statlog-image,0.9748051948051948,0.975064935064935
statlog-landsat,0.9092661691542289,0.9077010779436152
statlog-shuttle,0.9993907625813274,0.9997091753454262
statlog-vehicle,0.7897314375987361,0.7567930489731437
steel-plates,0.7730650154798764,0.7693842449260406
synthetic-control,0.9858888888888888,0.9555555555555555
teaching,0.5475555555555556,0.5048888888888888
thyroid,0.9938703703703705,0.9950185185185184
tic-tac-toe,0.988100208768267,0.9869867780097423
titanic,0.7837272727272728,0.7843939393939395
trains,0.7666666666666667,0.0
twonorm,0.9767054158781653,0.971235469045688
vertebral-column-2clases,0.8378494623655914,0.8172043010752688
vertebral-column-3clases,0.8395698924731181,0.8223655913978493
wall-following,0.9884855152181886,0.9952450800635615
waveform,0.8624116313191944,0.8485660931039084
waveform-noise,0.8624783246631988,0.8526210484193677
wine,0.9806818181818179,0.964772727272727
wine-quality-red,0.6520050125313283,0.6294486215538847
wine-quality-white,0.6387276937746901,0.6158425282659039
yeast,0.6091565178168696,0.564727108705458
zoo,0.927891156462585,0.9258503401360544
