TRAINNLLSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq,CAWPE_pb
cardiotocography-3clases,0.017617703829522935,0.017526578535221167,0.017434022962272658,0.017340445304063448,0.01724626065251656,0.01715188842141331,0.017057749816145124,0.016964265360812376,0.01687185249291463,0.016780923235248404,0.016691881954065946,0.01660512321206274,0.01652102972435789,0.016439970425312415,0.016362298653780284,0.016288350464190884,0.01666103742653551
cardiotocography-10clases,0.028865387957894773,0.028843211409246453,0.028824717901820483,0.02880993039812215,0.028799043456663582,0.028792448769013733,0.02879077976465019,0.02879498287415825,0.028806424808004955,0.02882704693258712,0.028859579155593024,0.028907826072860143,0.0289770365438994,0.029074362993958994,0.029209406790135107,0.02939482896398923,0.029556192476917497
chess-krvk,0.02143687224699904,0.020271209457179182,0.01917808160931474,0.018166605550089684,0.017235351902288133,0.016372879454862835,0.015565090224353777,0.014802395974920283,0.01408110887112833,0.013399498854609122,0.012747527752153952,0.012087656925202419,0.011323842448817246,0.010246846635871039,0.008564659402939429,0.0071367100969408044,0.00745103105652866
chess-krvkp,0.004958868260199485,0.004950402600026432,0.0049456743174837595,0.004945447404130248,0.0049505667543304835,0.00496195585167472,0.004980611413939179,0.005007594555771016,0.0050440181860023844,0.005091030598623419,0.005149795534938019,0.005221469362049711,0.005307176382272434,0.005407983597272347,0.00552487643511454,0.005658736957557109,0.01565250834887671
congressional-voting,0.024279097518201145,0.024207516288749065,0.02413903121686331,0.024073851220622933,0.024012189302143144,0.023954255376937926,0.02390025023759577,0.023850361346028286,0.023804761148554475,0.02376360856228319,0.02372705418740135,0.023695249659364134,0.023668361372804356,0.023646588593590333,0.023630185737194033,0.023619488340840947,1.3334981924357596
conn-bench-sonar-mines-rocks,0.12271198484835587,0.12195276929541585,0.12121043189034458,0.1204402823128665,0.11959195934218833,0.11861378354216917,0.1174581754426006,0.11608761779496636,0.11448045248134146,0.11263571455954255,0.11057628687507148,0.10834994667839574,0.106028342252186,0.10370447285165071,0.1014896744346168,0.09951123764355521,0.15113033841529905
conn-bench-vowel-deterding,0.03372583355371509,0.03284975567252948,0.031919400863883465,0.030934672917586822,0.029899162987670966,0.028823575494563887,0.027730914136506444,0.02666350263482578,0.02569095128552495,0.024916060119972338,0.024472378673154244,0.024505217355165795,0.025133675835418225,0.026407778574710033,0.028287238678089795,0.030655541228874726,0.068052360671115
connect-4,0.004298381646462826,0.004261363102181943,0.004216073005805006,0.004161796959715362,0.004097844498142241,0.004023569121641973,0.003938391402460745,0.0038418250413310324,0.0037335056559123945,0.003613222007896949,0.0034809493607616095,0.003336884746917966,0.0031814841715460955,0.0030155022722426596,0.002840035796409363,0.0026565735848694877,6.872434255746653E-4
contrac,0.023456731699100532,0.02289002554581816,0.022396916133663652,0.021972427744133993,0.021611083610497475,0.021307041569982862,0.02105421080177459,0.020846347006827918,0.020677129988076207,0.020540233086955035,0.02042939741202797,0.020338524984464226,0.02026180415956565,0.02019387869103372,0.0201300693687187,0.020066654758481843,0.023539744056061077
credit-approval,0.033118347707134316,0.03318967638940562,0.03327110113799697,0.033363139392596074,0.03346633568125502,0.033581264156185064,0.03370853172272465,0.03384878188886575,0.03400269947956717,0.03417101637586502,0.034354518451583695,0.034554053887468045,0.03477054303998047,0.035004990024956856,0.035258496138831,0.03553227517558632,0.030799399891084565
cylinder-bands,0.04883051059272928,0.04888967567312994,0.04891337986571662,0.04890258067712935,0.048859275059817506,0.048786427453939185,0.04868788807009245,0.048568302097103826,0.048433010675702194,0.04828794472261436,0.048139513015118304,0.04799448634386337,0.04785987999222046,0.04774283726794428,0.04765051724191118,0.04758999016351084,0.04044212963604277
dermatology,0.03398021156465572,0.03392797054212207,0.033877481726212126,0.0338288577509893,0.033782229149202266,0.03373774723644031,0.03369558734359675,0.03365595241756693,0.033619077005648104,0.03358523163272687,0.03355472757166262,0.03352792199591413,0.03350522348903992,0.033487097867898406,0.03347407425493988,0.03346675130981869,0.0760282877927123
echocardiogram,0.10251560752011256,0.10250450738284349,0.10255833239446446,0.1026848452727059,0.10289317154310017,0.1031940539233719,0.10360013804846184,0.10412628478913324,0.10478989848610809,0.1056112512483502,0.10661376986289016,0.10782423279398984,0.10927280011602707,0.11099277136849145,0.11301994215449862,0.11539142326106307,0.13459643368270494
ecoli,0.08091104921415078,0.0809569287488765,0.08100766484362948,0.08106472724009862,0.08112987015730093,0.08120517614377233,0.08129310767329022,0.0813965679344412,0.08151897240090307,0.0816643328152028,0.08183735509510355,0.08204355226669828,0.08228937269415545,0.08258234243539192,0.08293121831846686,0.08334614515043472,0.07692283458905748
energy-y1,0.036463519496734695,0.03594537924380602,0.03541172908449407,0.03486535467396859,0.034309435040898076,0.03374749556729175,0.03318335042062589,0.032621036486070905,0.03206474127827845,0.03151872752432499,0.030987257063703814,0.030474516405202462,0.029984545755421903,0.029521172675580753,0.029087950853789596,0.028688103937108526,0.29146366561452214
energy-y2,0.024828885939232277,0.024712697236156066,0.024601007291722755,0.024494408121539628,0.024393532107305816,0.024299050168737117,0.02421166878884292,0.02413212573424341,0.024061184338086045,0.023999626253591724,0.0239482426416434,0.023907823825158665,0.0238791475238602,0.023862965871483312,0.02385999150798113,0.023870883125204835,0.0344988495558818
fertility,0.09497888435691414,0.09486049536931301,0.09478790931866923,0.09477026775192339,0.09481881518407695,0.0949473272366618,0.09517255816584387,0.09551466210218049,0.09599751776594061,0.09664886134975062,0.09750011346059276,0.09858578322015936,0.09994235673375537,0.10160663623822827,0.10361358989845097,0.10599388633273586,1.7071476096663538
flags,0.6348363546555524,0.5828652223899115,0.5316416355670305,0.4814488840179714,0.4326855939685431,0.38591770882459275,0.3419485755950906,0.301893044342466,0.2671921454511242,0.23940634204004868,0.2195647775839942,0.20716168954152003,0.19973800055196972,0.19423562688563342,0.1896816558118865,0.1887324579955791,0.5215057304405161
glass,0.12767151639294055,0.1272820825050189,0.12713893956488082,0.12716895788046723,0.12729892732021797,0.12745962660776497,0.12758969929553113,0.12763898962018824,0.12757101211837216,0.12736429738829516,0.12701248223824788,0.12652318413619001,0.12591588081813235,0.12521915562148078,0.12446772541816922,0.12369962793100268,0.21199459614513244
haberman-survival,0.03514886057578296,0.035126541319845044,0.035104466403615475,0.035082662197307775,0.035061180815231845,0.03504009837165507,0.035019513205329714,0.03499954413848189,0.034980328840489294,0.034962022369400936,0.03494479596526286,0.034928836167247956,0.03491434432112883,0.0349015365339472,0.034890644118180165,0.03488191454777089,0.03323496028685397
hayes-roth,0.21213047881630515,0.20742686761695384,0.20283165817243365,0.1982692604124047,0.19363197527131404,0.18878371908943656,0.18357893425598915,0.1778998878105337,0.17170154592222547,0.16502756309407782,0.15793368129450214,0.15025771851187866,0.14121125474621682,0.12890345331774275,0.11074718676696409,0.08752278147462363,0.04631272521606235
heart-cleveland,0.08690530196771284,0.0861569800169312,0.08561127155478615,0.0852709322398409,0.08513563429258583,0.08520211301157786,0.08546474902264978,0.08591670286317928,0.08655169721978737,0.08736648772013268,0.08836396277904847,0.08955665673487723,0.09097025081644033,0.09264640295038422,0.09464406196282511,0.09703840057510604,0.0964777695353628
heart-hungarian,0.05148777758639087,0.05156633824246014,0.05166133975922968,0.05177381312366376,0.05190500463507972,0.052056374546277755,0.052229595229449095,0.05242654921060502,0.0526493273518521,0.05290022736969628,0.05318175276028315,0.05349661206079092,0.05384771821306474,0.054238187615618626,0.05467133825982115,0.055150686154228606,0.05601845556428933
heart-switzerland,0.5056400482954596,0.46998611851628025,0.43521561660987035,0.40157620926044324,0.3693731515921863,0.3389774038608284,0.3108283251633317,0.2854211892962364,0.2632638839603097,0.24478683676915586,0.23020781856971306,0.2193993681381409,0.21186347819611953,0.20691924204420908,0.20408353023463313,0.20341178513537847,0.45930505544335437
heart-va,0.40178457086970637,0.371747521466561,0.3422754618997504,0.31356472739126723,0.2858702812605717,0.2595099767900369,0.2348598113817857,0.21233436651400048,0.1923475116448667,0.17525459727568082,0.1612920989079556,0.150551085514751,0.1430299480666318,0.13878630326448188,0.13814823063834236,0.1418846251550523,0.10398361168459853
hepatitis,0.0894180150265788,0.08951417714453898,0.08965052535047223,0.08982944709637833,0.09005306705050092,0.09032312890192205,0.09064089142483393,0.09100705535272112,0.0914217391621394,0.09188452183547002,0.09239456877086573,0.0929508530874831,0.0935524786737176,0.09419910369419959,0.0948914543345209,0.09563190883668385,0.3329308575550878
hill-valley,0.021130942064964617,0.020832503247378096,0.02059794684960319,0.02039156359183966,0.02016037499829373,0.019836054571860037,0.019341412308639172,0.018602310752080162,0.017564838606975934,0.01621591898964292,0.014603799100136837,0.012854099996067292,0.011176877717281817,0.009853208788530486,0.009165773976672958,0.009250810301986828,0.02944996717354251
horse-colic,0.052207187612079736,0.051922663836561765,0.05164523415702136,0.051376855802857974,0.05112087554571531,0.05088217036063335,0.050667226935996616,0.050484133765575305,0.05034246163443761,0.05025301549645728,0.05022745363987901,0.050277787973017185,0.05041579985219553,0.05065242505538187,0.050997174269518754,0.051457657308090904,0.2593120719599674
ilpd-indian-liver,0.022282310568223128,0.022285889344532725,0.02229011435914729,0.022295110920584164,0.022301023900329665,0.022308019715592226,0.022316288633943263,0.022326047472931935,0.02233754277485801,0.02235105454100934,0.022366900609447734,0.022385441754311387,0.02240708757096346,0.022432303188520575,0.022461616817854416,0.022495628097840795,0.08404014921384763
image-segmentation,0.02204485404878112,0.02195643086136985,0.021865562636410752,0.021772384315161705,0.021677107548954647,0.021580040875433408,0.021481613053817475,0.021382399576673355,0.02128315219104662,0.02118483100629492,0.021088638427210957,0.020996053719599457,0.020908866488728247,0.02082920673860694,0.02075956851109793,0.020702823435971397,0.03440127647623298
ionosphere,0.03887662444295761,0.03884726493124407,0.03882193684861645,0.03880399945605922,0.03879728595720625,0.038806102027785686,0.038835232837767304,0.0388899612594289,0.038976099593816003,0.03910003646179263,0.039268799428815844,0.03949013241472121,0.03977258496425159,0.04012560806110646,0.04055964848485252,0.041086230979613766,0.08298664671879581
iris,0.0508106217503259,0.05074268297830574,0.05067838438201563,0.05061774583793433,0.05056078690874721,0.050507528282911066,0.050457993625460565,0.05041221189050047,0.050370220144415556,0.05033206694535959,0.05029781631860793,0.05026755235840774,0.05024138447457973,0.05021945328588904,0.05020193714177221,0.050189059229164674,0.042620155815092396
led-display,0.05813558530894675,0.05812058777155646,0.0581176084880321,0.0581271658463178,0.058149822617063696,0.05818618533677814,0.05823690328742097,0.058302667066974685,0.058384206746010046,0.058482289605545565,0.058597717451856046,0.05873132350447085,0.05888396885469646,0.05905653849384919,0.05924993691319752,0.05946508328165186,0.05626952023254315
lenses,0.7360233827539209,0.7141090845870232,0.6933647705455137,0.6739577795517092,0.6560738806887827,0.6399155875895102,0.625694705619188,0.6136211469022758,0.6038960888314298,0.5967054571885787,0.5921700327455135,0.5902180842130833,0.5904399439984529,0.5920424909835014,0.5940108357757142,0.5955278781829746,2.406701883958327
letter,0.011734582542465417,0.011554170492741215,0.011372387999697519,0.011186299677813994,0.010994288082955122,0.010796682969691473,0.010596267620502649,0.010398560292987134,0.010211777262692711,0.010046408832698545,0.009914387329215336,0.009827902148774884,0.009798016728385416,0.009833338223292848,0.009939031158452695,0.01011640376713474,0.011921333489356445
libras,0.13897553453704672,0.13592749235412635,0.13302913071832953,0.13030387025113765,0.12776936025846677,0.12543687740759038,0.12331299263698606,0.12140379945457003,0.11972091114308317,0.11828757361211373,0.11714334401934082,0.11634730540646332,0.11598324505966777,0.1161759885990508,0.1171344577655636,0.11923677763592155,0.1474358937936155
low-res-spect,0.05164951445713953,0.05167321822271406,0.051708182647099865,0.05175628869129654,0.05182027963203902,0.05190388267687845,0.05201190820604739,0.05215031770378875,0.05232625297776444,0.05254802235927722,0.052825044176745134,0.0531677534264199,0.053587483283321816,0.0540963375841259,0.05470707224545549,0.05543300160826635,0.08763139258479864
lung-cancer,1.8485268619662403,1.765477594367792,1.6821281130069852,1.5989068660573527,1.5163300056226034,1.4349956896541056,1.3555888653160042,1.2788650709236435,1.2055185281404315,1.1357890013503076,1.0685984895682852,0.9987119591481256,0.9137366572543572,0.8121920790718643,0.7140211271261206,0.6355607450258819,1.922934999631335
lymphography,0.09520691428782035,0.09451562463271664,0.09379751431511543,0.09305305901453423,0.09228526505354545,0.09150031524337238,0.09070818097853332,0.0899231922113313,0.08916458968865636,0.0884571176421686,0.08783173701947813,0.08732653577026821,0.08698787277824242,0.0868717095610368,0.0870449581984083,0.08758651216582986,0.1212463789223553
magic,0.00697309098547271,0.006941490804598583,0.006906523096788253,0.0068681812820324565,0.006826517471062563,0.0067816517539433865,0.00673378136044482,0.006683189305564475,0.006630252047963702,0.0065754456020349974,0.006519349462207273,0.006462647630225934,0.006406125995771409,0.006350665325292587,0.006297229184473243,0.006246846279288011,0.0058235961584541295
mammographic,0.034073167248475936,0.034109177590637876,0.03414679135610926,0.034186212628656426,0.034227655411600916,0.03427134278074228,0.0343175058057911,0.034366382216594105,0.03441821479537432,0.03447324948297272,0.03453173319555434,0.034593911358275074,0.034660025173638684,0.034730308654305514,0.03480498546239447,0.03488426560922665,0.043734074830608184
miniboone,0.007886983782120896,0.007832843111561608,0.007777492184960736,0.0077209420739508695,0.0076632243182934295,0.0076043903640589565,0.007544510743919802,0.007483673975081153,0.007421985152105707,0.007359564215677639,0.007296543883824115,0.007233067240019081,0.007169284982435254,0.007105352350702123,0.007041425760336577,0.006977659190309812,0.0029554330104276296
molec-biol-promoter,0.17606913786329115,0.17359695023795096,0.1711885506569204,0.16883545154063154,0.16653828385649777,0.16430922414337878,0.1621740677084273,0.16017359368955805,0.1583638390659116,0.15681497271976808,0.1556086845782493,0.1548343812530345,0.15458493371186563,0.1549530966208511,0.15602980866309968,0.15790521065842564,1.3113548346343598
molec-biol-splice,0.026050401061255137,0.02565677709270557,0.025233654955977423,0.02477914021969535,0.024294641170452266,0.023784893538602574,0.023257646618788326,0.022723000116953176,0.022192460815785804,0.02167790884467366,0.02119081054650479,0.020742144457161594,0.020343543527045118,0.02001000848623018,0.019764128405718263,0.01964099738876959,0.02693389883433229
monks-1,0.12872594649182495,0.12805721003942372,0.12723975664831974,0.12618881848265032,0.12479373029408837,0.12291638192562357,0.12039318071232331,0.11704252734674125,0.11267999298666498,0.10714317004943101,0.10032705252198122,0.0922278176677856,0.08298726460165107,0.07292364313748238,0.062533229349858,0.05245669650755024,0.025175832745150735
monks-2,0.03936856075920849,0.03806320033480177,0.0373279897866183,0.03698541352965359,0.03686642786957004,0.036828712794125945,0.03676447254640456,0.03660033652169366,0.036292910502835736,0.03582266082810654,0.03518767272034299,0.034398026488995544,0.03347110328736833,0.03242792344198096,0.031290514079181354,0.030080233617742702,0.007222478797194151
monks-3,0.03850513597918891,0.037906176007327604,0.037274038784989964,0.03659951361840844,0.03587337772780347,0.03508750476236765,0.03423714774749911,0.03332512649244577,0.032368610477185734,0.03140856120214002,0.030520133044933607,0.02981898582255907,0.029454386927704614,0.029579642954034913,0.030301474214584456,0.031631452848717136,0.040790138035021475
mushroom,0.0025666030706935437,0.002514990718593453,0.002474687415432985,0.0024501793130247253,0.0024463047199943717,0.0024679089701779952,0.002519391406812504,0.0026042427138976004,0.0027247064676703715,0.0028816670691196944,0.003074776161781999,0.0033027401820250294,0.0035636568156127237,0.0038553114430348637,0.0041753921353448985,0.0045216211552332845,0.01802344293748836
musk-1,0.06270636767975583,0.06203029460517946,0.0613741965789464,0.06074222673657972,0.06014063616257871,0.059577920731389206,0.05906488460919867,0.05861464746589731,0.05824263363596388,0.057966577220958125,0.05780655376317392,0.05778500956722236,0.057926714796786474,0.05825853299566202,0.05880889562693711,0.05960690756800584,0.08414134140543779
musk-2,0.005738637917426242,0.005659805389029829,0.0055850185605411,0.005514550158739683,0.005448654405440123,0.0053875640938462555,0.0053314877807799765,0.005280607177483324,0.0052350748255803594,0.005195012144107784,0.005160507927577494,0.005131617363544987,0.005108361621382863,0.005090728042741773,0.005078670939890338,0.0050721129825531145,0.010961859693391585
nursery,0.004778466445888048,0.0047056970929425105,0.004638945958876157,0.004579614256538944,0.004529082615430789,0.00448866731623564,0.004459572722446427,0.00444284303439482,0.004439317355722323,0.004449592430114622,0.004473997053691066,0.004512581037506828,0.00456511985351887,0.004631134113909793,0.004709921257413822,0.00480059562214558,0.006816878611573315
oocytes_merluccius_nucleus_4d,0.024544904017390158,0.024411238669146487,0.024264589603954004,0.02410292451400389,0.023924815460881897,0.02372967428395245,0.023518019684519914,0.023291766642174038,0.023054523107538343,0.022811872588671286,0.022571614502092077,0.022343927342710963,0.022141413659392616,0.02197898229354741,0.021873525590137857,0.021843361969598487,0.026908275593974938
oocytes_merluccius_states_2f,0.02150667418710795,0.021508688951514955,0.02151278474701084,0.021519119640467252,0.02152786796448157,0.021539221898227514,0.021553393170217504,0.021570614885678623,0.021591143479417936,0.02161526079267481,0.02164327626945272,0.021675529264104137,0.021712391447450623,0.021754269293389587,0.021801606621745566,0.021854887166060242,0.02388600576916955
oocytes_trisopterus_nucleus_2f,0.02993087590769028,0.029742091684791718,0.02956087328040464,0.02938207475206849,0.029201514386943506,0.02901618550263797,0.02882452860477442,0.02862680247879442,0.028425587451133057,0.02822643606268542,0.028038648488288388,0.027876087319950567,0.027757859950529935,0.027708601547622714,0.027758024709896092,0.02793942534566155,0.024119485014982442
oocytes_trisopterus_states_5b,0.031112588752770377,0.03100520604886496,0.030901248197564835,0.030801548534764526,0.0307070105004286,0.030618609856690123,0.03053739678382495,0.030464497821638684,0.030401117614272298,0.030348540404329997,0.030308131207353102,0.030281336579984927,0.030269684874934432,0.03027478585362686,0.03029832950425999,0.030342083890387873,0.28784611086014256
optical,0.006560370730035608,0.006584035878883172,0.006612363638906918,0.00664582978785372,0.006684978931727274,0.0067304440263554815,0.006782970998363405,0.006843449068270679,0.006912947135869274,0.006992756164753394,0.0070844368490952095,0.007189870922178192,0.0073113132641715525,0.007451440537758354,0.00761339057220916,0.007800785404240046,0.038680006055901425
ozone,0.014580021345539694,0.014561127006815874,0.014542420086961926,0.014523912324248245,0.014505616335864346,0.014487545658033634,0.01446971478705594,0.014452139221231447,0.014434835503612263,0.014417821265517052,0.014401115270736552,0.014384737460345581,0.014368708998027063,0.014353052315800734,0.014337791160037574,0.01432295063762602,0.030096796549953814
page-blocks,0.010616329911695721,0.010620572472082321,0.0106250396602524,0.010629734625748212,0.010634660461368255,0.010639820201776758,0.010645216822192232,0.010650853237156937,0.010656732299386932,0.010662856798702786,0.010669229461041723,0.010675852947550505,0.010682729853759435,0.010689862708837015,0.01069725397492438,0.010704906046550503,0.013961879260907266
parkinsons,0.06742866226091179,0.06686957390532607,0.06625451575985662,0.06558047073472698,0.06484850883872442,0.06406423782628776,0.0632381304170146,0.06238570815234216,0.06152757161610993,0.06068928404974989,0.05990114523274462,0.05919794005344092,0.058618811594344185,0.05820747658811881,0.058013028375043324,0.05809148150973531,0.06536723388224816
pendigits,0.004431862650443246,0.004432082146469036,0.004432847471753639,0.004434182216201905,0.00443610802737405,0.004438644540720769,0.004441809332112866,0.004445617893233876,0.004450083630033945,0.004455217884074786,0.0044610299762278165,0.004467527271836413,0.004474715266124839,0.0044825976883364725,0.004491176622827844,0.0045004526451191415,0.009276085767183164
pima,0.02728142827314213,0.027369386436244477,0.027463070847772313,0.027562482009155804,0.027667594963790766,0.0277783637306715,0.027894728233470268,0.028016624259532837,0.02814399703515638,0.02827681903985897,0.028415112692287674,0.028558978510150285,0.02870862925931007,0.028864430443539695,0.029026947225245184,0.02919699748757004,0.02463080458357878
pittsburg-bridges-MATERIAL,0.1427629572106849,0.14225751475817555,0.14175592305555118,0.14126169491511756,0.1407791634510982,0.1403136419947448,0.13987162403167988,0.1394610394921824,0.13909159125989262,0.13877520580292274,0.13852664439357237,0.13836433559191755,0.1383115027069926,0.1383976653312951,0.13866057926844944,0.13914862365966663,0.9871622302119786
pittsburg-bridges-REL-L,0.14297865491125758,0.14316883867108537,0.14345657880215545,0.14382210493775915,0.14424477765533048,0.14470441154421695,0.1451828910803473,0.1456660164383149,0.14614548279505832,0.14662089478623355,0.147101773619219,0.14760964265582463,0.14818045832890844,0.1488678055349035,0.14974723791728142,0.15092168373165565,0.16865069340202427
pittsburg-bridges-SPAN,0.15365864523366335,0.15087952150822073,0.1483560004152115,0.14609424767512788,0.14408968737103336,0.14232653760917846,0.14077786906490317,0.13940608969037774,0.13816377438784008,0.1369949078439845,0.13583691027265696,0.134624263470288,0.13329520254977914,0.13180403990640152,0.13014364334882042,0.1283851022341255,0.1490947017385204
pittsburg-bridges-T-OR-D,0.12369496267540622,0.12346724874101578,0.123244038570716,0.12302694529911376,0.12281798947165858,0.12261963626990025,0.12243483100952776,0.12226703284315452,0.1221202467969474,0.12199905429552493,0.12190864206811353,0.12185482867098013,0.12184408671740328,0.1218835572311704,0.12198105037221986,0.12214502431716977,3.725419153181205
pittsburg-bridges-TYPE,0.3289030630089974,0.3200774402902885,0.3118291736576988,0.3041803980660059,0.2971475934400251,0.29074148965304475,0.2849675508054266,0.2798271295815338,0.2753194257060958,0.2714445253565503,0.26820805031521017,0.26562824384980865,0.2637465149973616,0.26264232248279445,0.26245243378068367,0.2633924269904916,0.32044607867186353
planning,0.029748643348734335,0.029659506252660686,0.029586900403872587,0.02953541261666951,0.029510950387531425,0.029521197578902182,0.029576236168279507,0.029689406836093876,0.029878526471238023,0.03016766066051999,0.030589786606457905,0.031190898308042808,0.03203638230707433,0.033220659665064184,0.03488062593149404,0.037211311411133936,0.09788179558852957
