TRAINTESTDIFFSAUROCRANKS:,NN,C4.5_cvFold1,C4.5_cvFold6,NN_cvFold9,MLP_cvFold5,SVML_cvFold7,Logistic_cvFold4,MLP_cvFold3,Logistic_cvFold6,NN_cvFold1,Logistic_cvFold5,NN_cvFold4,NN_cvFold7,SVML_cvFold9,Logistic_cvFold9,NN_cvFold6,SVML_cvFold5,SVML_cvFold4,MLP_cvFold1,MLP_cvFold4,MLP_cvFold6,MLP_cvFold7,Logistic_cvFold3,C4.5_cvFold4,SVML_cvFold6,C4.5_cvFold0,C4.5_cvFold3,C4.5_cvFold7,NN_cvFold0,SVML_cvFold3,C4.5_cvFold5,C4.5_cvFold9,NN_cvFold2,SVML_cvFold1,NN_cvFold8,MLP_cvFold9,C4.5,NN_cvFold5,Logistic_cvFold7,SVML_cvFold0,Logistic_cvFold1,C4.5_cvFold8,Logistic_cvFold0,SVML_cvFold2,MLP_cvFold2,Logistic_cvFold8,Logistic_cvFold2,NN_cvFold3,SVML_cvFold8,MLP_cvFold0,MLP_cvFold8,C4.5_cvFold2,SVML,MLP,Logistic
parkinsons,9.0,31.0,48.0,5.0,30.0,36.0,51.0,21.0,53.0,11.0,27.0,16.0,43.0,10.0,8.0,52.0,40.0,32.0,24.0,2.0,49.0,33.0,6.0,15.0,54.0,45.0,1.0,34.0,39.0,17.0,18.0,44.0,12.0,22.0,35.0,7.0,4.0,13.0,47.0,38.0,19.0,3.0,50.0,41.0,42.0,28.0,29.0,23.0,26.0,25.0,20.0,14.0,37.0,46.0,55.0
pendigits,29.0,16.0,2.0,14.0,53.0,27.0,19.0,9.0,31.0,12.0,36.0,17.0,8.0,30.0,48.0,54.0,46.0,24.0,41.0,42.0,6.0,55.0,22.0,5.0,38.0,10.0,3.0,7.0,13.0,20.0,49.0,4.0,35.0,33.0,26.0,50.0,39.0,51.0,40.0,28.0,25.0,11.0,23.0,47.0,21.0,44.0,32.0,18.0,34.0,43.0,15.0,1.0,37.0,52.0,45.0
planning,3.0,35.0,27.0,45.0,6.0,51.0,5.0,33.0,4.0,39.0,31.0,19.0,12.0,9.0,15.0,25.0,32.0,8.0,16.0,26.0,11.0,52.0,43.0,23.0,2.0,30.0,24.0,38.0,48.0,49.0,28.0,14.0,40.0,54.0,22.0,41.0,1.0,7.0,20.0,46.0,55.0,29.0,47.0,37.0,42.0,53.0,17.0,10.0,50.0,13.0,18.0,21.0,44.0,34.0,36.0
post-operative,46.0,5.0,32.0,41.0,15.0,11.0,31.0,18.0,3.0,38.0,12.0,49.0,13.0,39.0,42.0,30.0,9.0,8.0,10.0,35.0,6.0,1.0,19.0,54.0,28.0,14.0,52.0,37.0,51.0,7.0,27.0,16.0,17.0,45.0,29.0,47.0,55.0,48.0,22.0,24.0,2.0,25.0,23.0,44.0,26.0,50.0,40.0,36.0,21.0,43.0,4.0,53.0,34.0,20.0,33.0
ringnorm,50.0,6.0,32.0,17.0,27.0,21.0,52.0,19.0,9.0,23.0,43.0,53.0,29.0,26.0,25.0,10.0,44.0,54.0,11.0,42.0,24.0,30.0,46.0,37.0,8.0,36.0,20.0,3.0,4.0,45.0,13.0,47.0,1.0,14.0,51.0,34.0,7.0,55.0,16.0,33.0,12.0,38.0,35.0,15.0,28.0,49.0,18.0,5.0,48.0,41.0,31.0,22.0,40.0,2.0,39.0
seeds,26.0,18.0,5.0,4.0,21.0,23.0,15.0,42.0,6.0,2.0,3.0,24.0,10.0,28.0,20.0,7.0,19.0,40.0,27.0,30.0,9.0,17.0,29.0,54.0,11.0,55.0,25.0,31.0,41.0,50.0,53.0,39.0,33.0,12.0,16.0,32.0,52.0,43.0,47.0,49.0,1.0,44.0,48.0,37.0,35.0,13.0,36.0,45.0,14.0,38.0,8.0,51.0,46.0,34.0,22.0
spambase,1.0,53.0,34.0,18.0,28.0,22.0,38.0,25.0,36.0,9.0,32.0,4.0,13.0,29.0,52.0,11.0,12.0,14.0,49.0,21.0,20.0,16.0,23.0,10.0,27.0,48.0,6.0,3.0,42.0,24.0,15.0,19.0,2.0,43.0,5.0,44.0,8.0,7.0,30.0,40.0,35.0,54.0,47.0,26.0,46.0,51.0,37.0,39.0,17.0,50.0,33.0,41.0,31.0,55.0,45.0
statlog-landsat,1.0,2.0,25.0,16.0,8.0,14.0,19.0,42.0,31.0,18.0,11.0,43.0,28.0,26.0,44.0,53.0,9.0,17.0,24.0,39.0,10.0,38.0,36.0,50.0,22.0,4.0,32.0,54.0,21.0,35.0,12.0,55.0,48.0,6.0,49.0,37.0,20.0,3.0,15.0,33.0,7.0,5.0,45.0,27.0,40.0,51.0,23.0,29.0,46.0,52.0,34.0,13.0,30.0,47.0,41.0
statlog-shuttle,40.0,36.0,24.0,20.0,9.0,5.0,19.0,13.0,53.0,29.0,3.0,33.0,45.0,37.0,47.0,38.0,6.0,10.0,2.0,22.0,55.0,11.0,14.0,16.0,51.0,41.0,31.0,50.0,27.0,12.0,15.0,26.0,43.0,17.0,39.0,8.0,49.0,42.0,7.0,21.0,18.0,48.0,23.0,28.0,30.0,54.0,44.0,25.0,52.0,4.0,35.0,32.0,1.0,46.0,34.0
statlog-vehicle,32.0,10.0,12.0,47.0,15.0,20.0,29.0,1.0,9.0,46.0,25.0,50.0,8.0,44.0,31.0,3.0,6.0,19.0,27.0,16.0,5.0,2.0,7.0,11.0,17.0,55.0,18.0,21.0,33.0,4.0,37.0,49.0,53.0,23.0,14.0,40.0,48.0,22.0,28.0,26.0,13.0,34.0,38.0,54.0,45.0,30.0,51.0,43.0,24.0,35.0,39.0,52.0,42.0,36.0,41.0
steel-plates,1.0,28.0,21.0,37.0,24.0,33.0,8.0,4.0,22.0,43.0,30.0,11.0,53.0,14.0,13.0,48.0,41.0,7.0,32.0,9.0,34.0,49.0,6.0,10.0,18.0,12.0,2.0,19.0,23.0,5.0,45.0,55.0,50.0,35.0,40.0,15.0,46.0,54.0,16.0,36.0,31.0,17.0,20.0,27.0,52.0,26.0,39.0,3.0,25.0,51.0,42.0,47.0,29.0,44.0,38.0
synthetic-control,12.0,3.0,7.0,37.0,17.0,15.0,1.0,30.0,6.0,43.0,55.0,10.0,22.0,11.0,54.0,9.0,13.0,27.0,18.0,25.0,32.0,33.0,41.0,28.0,35.0,46.0,50.0,53.0,42.0,31.0,5.0,4.0,47.0,34.0,38.0,19.0,44.0,51.0,48.0,36.0,49.0,16.0,40.0,24.0,21.0,2.0,45.0,39.0,14.0,23.0,20.0,8.0,29.0,26.0,52.0
twonorm,20.0,3.0,10.0,11.0,9.0,36.0,19.0,33.0,37.0,42.0,25.0,16.0,44.0,13.0,12.0,38.0,21.0,18.0,32.0,14.0,43.0,8.0,47.0,2.0,34.0,52.0,55.0,6.0,41.0,48.0,51.0,1.0,22.0,49.0,27.0,5.0,4.0,17.0,40.0,28.0,50.0,53.0,23.0,26.0,24.0,29.0,31.0,45.0,30.0,15.0,46.0,54.0,35.0,7.0,39.0
vertebral-column-3clases,21.0,47.0,23.0,27.0,14.0,35.0,16.0,9.0,34.0,10.0,29.0,2.0,15.0,30.0,33.0,32.0,50.0,4.0,19.0,31.0,25.0,54.0,8.0,37.0,45.0,41.0,1.0,52.0,5.0,6.0,39.0,48.0,11.0,13.0,12.0,17.0,46.0,55.0,49.0,7.0,26.0,51.0,18.0,38.0,28.0,53.0,22.0,3.0,44.0,20.0,36.0,42.0,24.0,40.0,43.0
wall-following,55.0,48.0,37.0,22.0,33.0,1.0,20.0,30.0,32.0,7.0,21.0,29.0,24.0,5.0,4.0,23.0,18.0,11.0,49.0,9.0,38.0,8.0,50.0,41.0,19.0,44.0,46.0,36.0,3.0,42.0,40.0,34.0,16.0,17.0,54.0,6.0,45.0,53.0,2.0,10.0,15.0,43.0,12.0,47.0,27.0,31.0,51.0,52.0,35.0,13.0,28.0,39.0,26.0,14.0,25.0
waveform-noise,36.0,40.0,13.0,30.0,6.0,8.0,17.0,50.0,19.0,32.0,21.0,25.0,3.0,15.0,14.0,38.0,27.0,20.0,24.0,11.0,28.0,7.0,48.0,52.0,29.0,1.0,43.0,55.0,5.0,47.0,51.0,54.0,44.0,33.0,37.0,26.0,49.0,22.0,10.0,4.0,31.0,53.0,9.0,39.0,41.0,18.0,42.0,46.0,23.0,2.0,16.0,45.0,35.0,12.0,34.0
wine-quality-white,52.0,4.0,8.0,32.0,21.0,22.0,23.0,29.0,26.0,6.0,28.0,1.0,54.0,24.0,9.0,50.0,25.0,30.0,53.0,16.0,19.0,34.0,41.0,7.0,31.0,18.0,5.0,49.0,20.0,36.0,33.0,15.0,45.0,55.0,11.0,39.0,42.0,46.0,43.0,10.0,48.0,17.0,12.0,47.0,44.0,3.0,37.0,13.0,2.0,38.0,14.0,40.0,27.0,51.0,35.0
yeast,16.0,1.0,47.0,25.0,34.0,14.0,46.0,24.0,17.0,7.0,19.0,52.0,2.0,32.0,30.0,35.0,23.0,53.0,3.0,31.0,28.0,20.0,37.0,50.0,26.0,10.0,4.0,51.0,8.0,48.0,45.0,29.0,13.0,15.0,33.0,18.0,44.0,22.0,36.0,12.0,6.0,55.0,11.0,38.0,5.0,42.0,41.0,54.0,21.0,9.0,27.0,49.0,40.0,39.0,43.0
