TRAINNLLSTDDEVS:,CAWPE-S,PB-S
pendigits,0.004467527271836413,0.009276085767183164
pima,0.028558978510150285,0.02463080458357878
pittsburg-bridges-MATERIAL,0.13836433559191755,0.9871622302119786
pittsburg-bridges-REL-L,0.14760964265582463,0.16865069340202427
pittsburg-bridges-SPAN,0.134624263470288,0.1490947017385204
pittsburg-bridges-T-OR-D,0.12185482867098013,3.725419153181205
pittsburg-bridges-TYPE,0.26562824384980865,0.32044607867186353
planning,0.031190898308042808,0.09788179558852957
plant-margin,0.051440534363579773,0.052841343322648164
plant-shape,0.07777946436416237,0.06539101110791669
plant-texture,0.06102714582084536,0.06482302110920889
post-operative,0.07211575703542039,0.35649345177568353
primary-tumor,0.13682466620012565,0.1882300993492501
ringnorm,0.010325643852729476,0.006895702058194459
seeds,0.04954405408499835,0.06640640304177187
semeion,0.03883000546488737,0.07901480841753937
soybean,0.04889428895822316,0.07826620936313347
spambase,0.011852581336292497,0.020950572578497608
spect,0.06489265951652265,0.06577196590639509
spectf,0.07935285670562307,0.09695785954118465
statlog-australian-credit,0.01648444755637158,0.0190114991137248
statlog-german-credit,0.022200488238500637,0.023656299122843373
statlog-heart,0.060570142290256083,0.06597137881819705
statlog-image,0.01626290030781109,0.015824020273074103
statlog-landsat,0.009044021692056441,0.011772850574552941
statlog-shuttle,0.0011918515137453892,0.021011180698317165
statlog-vehicle,0.029213429744304117,0.047097898972203005
steel-plates,0.0365887972013596,0.03212130401597963
synthetic-control,0.01374854703897749,0.05257014707953304
teaching,0.09041884526812075,0.08112629530649763
thyroid,0.007790747081003216,0.018294056297843357
tic-tac-toe,0.012086043411826558,0.021593937344799776
titanic,0.012925297343452219,0.014099792139095468
trains,1.6924300783251063,7.098277075158011
twonorm,0.005612773085441478,0.0050263251569910685
vertebral-column-2clases,0.05787683210417392,0.07052018318541085
vertebral-column-3clases,0.061000987642281915,0.11345872349489801
wall-following,0.0072267156085969765,0.013130768948251085
waveform,0.009337042539400134,0.009791584311529686
waveform-noise,0.011643751514956922,0.01475054604830008
wine,0.04588837752104148,0.13386882297100067
wine-quality-red,0.030656636144059817,0.024267692575961612
wine-quality-white,0.015615677506353983,0.018448004149915414
yeast,0.03381587218435254,0.03576730824734766
zoo,0.1352792132657329,0.2809538859777586
