TRAINAUROC:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
pittsburg-bridges-REL-L,0.7435153276955602,0.7466701315480385,0.7413433756166314
pittsburg-bridges-SPAN,0.7479841897233199,0.7447421419160546,0.7386928289102201
pittsburg-bridges-T-OR-D,0.7722943722943721,0.7615800865800865,0.760064935064935
pittsburg-bridges-TYPE,0.7556920784680368,0.7570978431339632,0.7552375367770339
planning,0.40102564102564137,0.40061143984220954,0.4039842209072982
plant-margin,0.9943856797138046,0.9943572180134681,0.994074652777778
plant-shape,0.9790434027777779,0.9791527251683502,0.9790433501683502
plant-texture,0.9898777420528897,0.9901024221312584,0.9897808088314479
post-operative,0.4182068548735217,0.4263554346887681,0.42806095139428485
primary-tumor,0.790962487173866,0.7922333029136636,0.790981318361881
ringnorm,0.9774405329630462,0.9744137063669468,0.9721306365696403
seeds,0.9907573696145121,0.991537414965986,0.9912380952380951
semeion,0.9942389755425699,0.9944143934282366,0.9939041942774419
soybean,0.991365340954667,0.9914825861595272,0.9913500401173255
spambase,0.978511263979024,0.9781466719030293,0.9779619741074735
spect,0.7344195198740654,0.7288469106650926,0.7254624163715072
spectf,0.8437456324248777,0.8391800605637081,0.8357791754018169
statlog-australian-credit,0.5349439182772503,0.5347783681117002,0.5319640152973474
statlog-german-credit,0.7776336507936519,0.773662222222223,0.7704133333333343
statlog-heart,0.8935185185185197,0.8907111111111121,0.8884592592592602
statlog-image,0.9980344571253662,0.9980090952818225,0.9979849286515956
statlog-landsat,0.9887607451898422,0.9884091071287531,0.9882349397257746
statlog-shuttle,0.9999595289771488,0.9999525168141719,0.9999503350448594
statlog-vehicle,0.943906054772844,0.941836965746381,0.9382945236152495
steel-plates,0.9186105752731881,0.9182319982426648,0.9177923466289959
synthetic-control,0.9997520000000001,0.9998280000000002,0.9997382222222222
teaching,0.6759154541816724,0.6722135040682938,0.6697205317682625
thyroid,0.9972248530885358,0.996542786966509,0.9963314414633212
tic-tac-toe,0.9988766567868922,0.9991531621694446,0.9990627044920901
titanic,0.7361832561363726,0.7370336200649099,0.7361841383873727
trains,0.5833333333333334,0.625,0.6166666666666667
twonorm,0.9974866847840855,0.9967383957659413,0.9961544323375691
vertebral-column-2clases,0.9145587301587305,0.9180825396825398,0.916698412698413
vertebral-column-3clases,0.9590614132104452,0.9582531490015361,0.9571422529441883
wall-following,0.9981673843315043,0.9969846984436516,0.9926165806145363
waveform,0.9696119651237485,0.9691483193637611,0.9679103889066132
waveform-noise,0.9690531139512525,0.968477370996604,0.9669014782145535
wine,0.9955804175479211,0.997004165440179,0.996875467503828
wine-quality-red,0.7692510322950429,0.7695556434015154,0.7689599289985554
wine-quality-white,0.778351352852584,0.7784162926679542,0.7783605165212257
yeast,0.8340105549357434,0.8336624845723345,0.8325139072030663
zoo,0.989136575314917,0.9903453074810961,0.9903429742190611
