TRAINNLLSTDDEVS:,CAWPE-A(alpha=4),CAWPE-A(ConTie),CAWPE-A(RandTie)
fertility,0.05998926850926989,0.06289468091790248,0.06597967743815561
flags,0.1249762174354299,0.1291830742793805,0.12654182826243868
glass,0.07380905651310661,0.1018271182362553,0.07462388186770845
haberman-survival,0.04411849085000626,0.04542572992910088,0.04645506677345937
hayes-roth,0.06892377906157961,0.08570056023724831,0.06777982978433673
heart-cleveland,0.0588350487601913,0.14840422396098318,0.06584806071508577
heart-hungarian,0.06193311399968871,0.07855140795675791,0.06291201771271919
heart-switzerland,0.1325946763988683,0.2104565477466765,0.13830648943958865
heart-va,0.1288942071103477,0.229143336693471,0.12233402093914848
hepatitis,0.06548263574643327,0.09303717419215443,0.0650026671445087
hill-valley,0.015408781245056756,0.02349106442855335,0.01567722910516856
horse-colic,0.04219297158133042,0.04230043807198632,0.042361926037577685
ilpd-indian-liver,0.031948285088990405,0.14948252131519477,0.03153347860710948
image-segmentation,0.01129429343050731,0.018997341171691,0.011950779212790943
ionosphere,0.03091564776104716,0.032248856877670054,0.03108906448870553
iris,0.0519013662706767,0.05498560097557795,0.052622491004756806
led-display,0.06937787624153245,0.07756220387828805,0.06944853634643242
lenses,0.3038887449060121,0.29616800068201493,0.30152503607822884
letter,0.008562896365111403,0.008089755067693298,0.009300863796793804
libras,0.08415525210770146,0.0856076453908765,0.0835177821135997
low-res-spect,0.051440573084062524,0.05139012372715259,0.05091588305861349
lung-cancer,0.1986973094765162,0.19518428131426094,0.250815686670402
lymphography,0.07451964221197319,0.09382962294809705,0.07570372054868019
magic,0.005902601469017329,0.007786162785518384,0.0058827464656521986
mammographic,0.03219875920164071,0.03217734571134481,0.03287112689188793
miniboone,0.001917895009738503,0.0018693090357780535,0.0019442443813314908
molec-biol-promoter,0.0691829222858996,0.09561073618182603,0.0707918763310747
molec-biol-splice,0.013310799318141971,0.06976965110473586,0.015543920800650401
monks-1,0.02109848852487336,0.03480736510635294,0.020849201227941136
monks-2,0.026279730816170705,0.02899308827293271,0.02483653167179443
monks-3,0.020212518577919607,0.03711163450798147,0.02149039415238022
mushroom,0.0013990944423468545,0.0014074206840844706,0.0014053289698660553
musk-1,0.03624488118545847,0.03600529857816749,0.036199245104375465
musk-2,0.003227192161846725,0.003348879118420741,0.003200283028481834
nursery,0.009586844210529086,7.053925255691593E-4,0.009574480516476296
oocytes_merluccius_nucleus_4d,0.024932989866534184,0.025595670224835734,0.024984677600764917
oocytes_merluccius_states_2f,0.022252102777757046,0.03617012118636829,0.02224070586994118
oocytes_trisopterus_nucleus_2f,0.023916913558993003,0.024265415012991582,0.024249554335390736
oocytes_trisopterus_states_5b,0.027694854614453243,0.027611693016206865,0.027697341516499056
optical,0.005341809209620709,0.0054227450247934916,0.005264622748255311
ozone,0.04371881163807099,0.04010525182384483,0.04316348542218319
page-blocks,0.008185194956682053,0.014760995050779435,0.008153777443644507
parkinsons,0.04283457815490096,0.043511429490439846,0.04353729634576289
pendigits,0.006548505514132541,0.00653171653417098,0.0065478139678897766
pima,0.03176449133192785,0.03023454618668009,0.032626904974295406
pittsburg-bridges-MATERIAL,0.12252897103394286,0.131248438195977,0.1223338788929835
pittsburg-bridges-REL-L,0.13164719137687567,0.13595112280289823,0.13909266545348162
pittsburg-bridges-SPAN,0.11549694356612776,0.12029563753708286,0.12184049826926249
pittsburg-bridges-T-OR-D,0.1105206393530108,0.13144829917042627,0.10608229675010108
pittsburg-bridges-TYPE,0.1891117557019344,0.20040637751650484,0.19497632343175192
planning,0.02780504615993396,0.10829066073536238,0.038311091265944494
plant-margin,0.041760773386876344,0.08406652789319442,0.035584771351146495
plant-shape,0.051427494131276515,0.060275980682501167,0.04992447371932745
plant-texture,0.046334745583240015,0.10541143978287855,0.04040507326505812
post-operative,0.07328016598345587,0.118428092559015,0.07960672691418541
primary-tumor,0.1229863095151956,0.1342869056403119,0.11971864547412585
ringnorm,0.0058739608993380816,0.01716837527999213,0.005906679567172097
seeds,0.05002878133329995,0.0523798691026092,0.05011976781039703
semeion,0.024912422201490533,0.027596397992057722,0.024548164012324458
soybean,0.03019001689918609,0.0299284355479284,0.03029589834868622
spambase,0.008777762734944728,0.012202973430667365,0.008848418363904757
spect,0.060334869081623846,0.22595765896413902,0.06488126203436377
spectf,0.057329309925390044,0.06235817360502497,0.05881113094601095
statlog-australian-credit,0.016196546420264447,0.015611225720913615,0.017534109300375935
statlog-german-credit,0.029175234864564203,0.09501190398796741,0.02991611412001039
statlog-heart,0.06593218773313433,0.07792007891522762,0.06582852912465673
statlog-image,0.011576216823425207,0.016745480364074913,0.012764300518824238
statlog-landsat,0.009889839757628634,0.02326966863153608,0.010034163718712876
statlog-shuttle,0.0024755268074119876,0.004048075681919449,0.0038258612894867526
statlog-vehicle,0.022171987905950267,0.02835997419677878,0.021846190411302282
steel-plates,0.02854050593266334,0.04172598962121293,0.0283726379009222
synthetic-control,0.026003686123549617,0.025297238266815236,0.02522158659712879
teaching,0.11831672825386225,0.25119114863271597,0.1244587872285412
thyroid,0.004255229005196936,0.01424194564556319,0.0044634746988098115
tic-tac-toe,0.016252266550749992,0.04228074421758498,0.01607822806572009
titanic,0.013185832982755547,0.014135939892717104,0.012884345195535976
trains,0.17112580831242372,0.11938976919759418,0.20048809971209786
twonorm,0.0235447341314211,0.02387356046215174,0.02321680982694444
vertebral-column-2clases,0.05889053190799996,0.11281135118129434,0.05942819680468497
vertebral-column-3clases,0.058949008846402175,0.07046614499377661,0.05881304559937381
wall-following,0.004760816536383734,0.02383046908347662,0.005988898885582328
waveform,0.015885002997567788,0.01734875527773821,0.015319838123208482
waveform-noise,0.01563342119294225,0.015496150891067506,0.015294185710640357
wine,0.04066008277555041,0.04099603345538536,0.039614123921772756
wine-quality-red,0.0296596874529919,0.030866979510235013,0.02929319254754954
wine-quality-white,0.015003468494257587,0.02060275013943284,0.013846397120431314
yeast,0.037428418992352934,0.03710454402240838,0.03805705191812868
zoo,0.08787795369582278,0.08672455131958484,0.08654738395596441
