TRAINNLL:,CAWPE-A(alpha=4),CAWPE-A(ConTie),CAWPE-A(RandTie)
led-display,1.3141360122226027,1.322523483714385,1.3142744356808833
lenses,1.045010034429773,1.067431860537223,1.0931904713982943
letter,0.3982808608878353,0.3817371083214168,0.40519463679529444
libras,1.102049504861612,1.0935300277743882,1.1189405462485156
low-res-spect,0.4994192639744716,0.4995642875264688,0.4999110190968878
lung-cancer,1.400307613014265,1.40701979806951,1.5087907778341032
lymphography,0.7299647797798766,0.7407501154696142,0.7339657479369353
magic,0.44029035106844494,0.43133920999502223,0.44143184288994103
mammographic,0.6081884793107076,0.6041054028435566,0.6111596122757135
miniboone,0.24644240359084296,0.2038718239173606,0.24980873725865785
molec-biol-promoter,0.5739905012650917,0.5655668644483848,0.5745311763902637
molec-biol-splice,0.35065688813186635,0.25952689208232765,0.36530689038955244
monks-1,0.2535230020097026,0.25285435842789095,0.2916937014894097
monks-2,0.8040508344066217,0.795410441656205,0.8112509747062878
monks-3,0.18266265341736762,0.1615671817490523,0.19080787140246108
mushroom,0.0027717325230825415,0.0027839462670227236,0.0027808853023884843
musk-1,0.4588131580353408,0.4566859474968144,0.4603185208552938
musk-2,0.08067962218895942,0.07955028449383225,0.08136044842863431
nursery,0.08478148953352128,0.016544015859150576,0.08577971117686137
oocytes_merluccius_nucleus_4d,0.5610865114576696,0.5583211567234108,0.5632564046048286
oocytes_merluccius_states_2f,0.2730635239705892,0.2844173037233375,0.2731533281030693
oocytes_trisopterus_nucleus_2f,0.5749892279054782,0.5743848769811623,0.5766048401593497
oocytes_trisopterus_states_5b,0.2959302119104968,0.29505238372827264,0.29682264424467986
optical,0.17421485467166806,0.17392245594554823,0.17483231460654244
ozone,0.17254383877988477,0.17770242723935023,0.17215136138701942
page-blocks,0.1305445726337794,0.133677942318458,0.1313443287368468
parkinsons,0.3772248865144501,0.37430980160408617,0.38093378093849267
pendigits,0.08087389615248869,0.08083198803865235,0.08091086266818512
pima,0.6929493411655864,0.6914994770908691,0.6943544134036947
pittsburg-bridges-MATERIAL,0.592921536865033,0.6040073218992379,0.5987031321880104
pittsburg-bridges-REL-L,1.1660354254601408,1.163693840623121,1.1866401355361225
pittsburg-bridges-SPAN,1.1775496601154962,1.1960288967184745,1.1907870434628545
pittsburg-bridges-T-OR-D,0.45345503209170684,0.4728073511949761,0.4516586946277576
pittsburg-bridges-TYPE,1.7919406704867167,1.817442284241556,1.8109804682417092
planning,0.9241575653620262,0.9348034352040481,0.9433157290189704
plant-margin,1.431619476729363,1.6450096069888431,1.4028809391907537
plant-shape,2.0074432831887616,2.0175001704662683,2.036833810673353
plant-texture,1.4978834595137733,1.5945278974652137,1.481648310160815
post-operative,1.205392392740936,1.2988100639387097,1.2127173963906062
primary-tumor,2.6568201407848737,2.651963343756953,2.6969855739769426
ringnorm,0.13668383556903818,0.12949650026066928,0.1377741231321448
seeds,0.29423385459887097,0.3012450454385327,0.2943196624830619
semeion,0.4627029666123762,0.46288391434688003,0.46843473564873295
soybean,0.40204763842190394,0.4017329100269874,0.4025016076300858
spambase,0.2261590022915214,0.21938083312523454,0.23198270494876316
spect,0.8809547837475374,0.8971942692550421,0.8980957535627215
spectf,0.5022591517460319,0.5072069412488766,0.5049804336666464
statlog-australian-credit,0.9018162715016302,0.8981312258665948,0.9056488221911809
statlog-german-credit,0.7166998580200538,0.7354808596453934,0.7197468270005009
statlog-heart,0.5743626002208331,0.5819942183981809,0.5757638176744975
statlog-image,0.14047794938547423,0.12682209012749926,0.1422120742200394
statlog-landsat,0.35833168343328814,0.36700885106700637,0.359038488287443
statlog-shuttle,0.0222802113184649,0.0023054692606542934,0.02386013716152816
statlog-vehicle,0.6486299082730353,0.6354753435557202,0.6542745934261451
steel-plates,0.8462996560674635,0.8491665515514435,0.8495030334125998
synthetic-control,0.20883730766673123,0.20879016524357472,0.20837060949034578
teaching,1.4311158798501458,1.4911431335043446,1.4404452212771817
thyroid,0.05194149831151962,0.03416215930388384,0.053439602763758184
tic-tac-toe,0.1558002193791635,0.13929478814833915,0.15983289235515397
titanic,0.710822871812182,0.7065441366398691,0.711285009830599
trains,0.8679109351807723,0.9700594793464338,0.9050549430694556
twonorm,0.15639290657532828,0.15604191756946376,0.15684400804833715
vertebral-column-2clases,0.4821669553139278,0.5084967888550708,0.4834400905393453
vertebral-column-3clases,0.5238845447777584,0.5341150218158982,0.5277510733422155
wall-following,0.14031703008469343,0.03191920777580871,0.15610512740946808
waveform,0.47628415753778625,0.4770458769880936,0.47610542609465906
waveform-noise,0.4750867976235425,0.47503356660554186,0.4754376468988406
wine,0.21771394376101041,0.2094870063017346,0.21586397559782608
wine-quality-red,1.264571575430465,1.2640120135818482,1.2686961344386853
wine-quality-white,1.3237116801852291,1.3298081816815093,1.3367096881846647
yeast,1.505122922274443,1.5035487559431402,1.5071840941445036
zoo,0.364215731332134,0.3673310827968382,0.36848269687519974
