TRAINTESTDIFFSAUROCRANKS:,SMLRE-S,ES-S,SMM5-S,SMLR-S,NBC-S,RC-S,WMV-S,PB-S,CAWPE-S,MV-S
image-segmentation,3.0,2.0,1.0,4.0,5.0,6.0,8.0,7.0,10.0,9.0
ionosphere,1.0,3.0,2.0,4.0,8.0,9.0,7.0,5.0,6.0,10.0
iris,1.0,4.0,2.0,3.0,8.0,5.0,6.0,10.0,9.0,7.0
led-display,2.0,1.0,3.0,4.0,5.0,6.0,7.0,9.0,10.0,8.0
lenses,1.0,6.0,2.0,4.0,3.0,5.0,8.0,7.0,9.0,10.0
letter,3.0,2.0,1.0,5.0,4.0,8.0,9.0,7.0,6.0,10.0
libras,1.0,4.0,3.0,2.0,5.0,6.0,7.0,10.0,9.0,8.0
low-res-spect,1.0,4.0,2.0,3.0,5.0,6.0,9.0,8.0,7.0,10.0
lung-cancer,2.0,6.0,1.0,4.0,3.0,5.0,7.0,10.0,8.0,9.0
lymphography,1.0,4.0,3.0,2.0,5.0,6.0,8.0,10.0,7.0,9.0
magic,3.0,1.0,2.0,4.0,5.0,7.0,6.0,9.0,10.0,8.0
mammographic,2.0,1.0,3.0,4.0,7.0,5.0,6.0,9.0,10.0,8.0
miniboone,3.0,1.0,2.0,4.0,6.0,8.0,5.0,10.0,9.0,7.0
molec-biol-promoter,1.0,4.0,2.0,3.0,7.0,8.0,9.0,5.0,6.0,10.0
molec-biol-splice,3.0,1.0,2.0,4.0,10.0,8.0,7.0,6.0,9.0,5.0
monks-1,9.0,1.0,8.0,10.0,7.0,5.0,6.0,2.0,3.0,4.0
monks-2,2.0,1.0,3.0,4.0,7.0,9.0,8.0,5.0,6.0,10.0
monks-3,3.0,2.0,1.0,7.0,6.0,8.0,9.0,4.0,5.0,10.0
mushroom,6.0,4.0,2.0,3.0,5.0,8.5,8.5,1.0,7.0,10.0
musk-1,1.0,3.0,2.0,8.0,5.0,6.0,7.0,9.0,4.0,10.0
musk-2,9.0,1.0,8.0,10.0,5.0,4.0,6.0,2.0,3.0,7.0
nursery,4.0,1.0,2.0,5.0,7.0,8.0,9.0,3.0,6.0,10.0
oocytes_merluccius_nucleus_4d,2.0,1.0,3.0,4.0,8.0,7.0,9.0,5.0,6.0,10.0
oocytes_merluccius_states_2f,2.0,1.0,3.0,4.0,10.0,7.0,8.0,5.0,6.0,9.0
oocytes_trisopterus_nucleus_2f,2.0,1.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0
oocytes_trisopterus_states_5b,2.0,3.0,1.0,4.0,9.0,6.0,7.0,5.0,10.0,8.0
optical,3.0,1.0,4.0,5.0,2.0,7.0,9.0,10.0,6.0,8.0
ozone,2.0,1.0,3.0,4.0,6.0,5.0,7.0,9.0,10.0,8.0
page-blocks,3.0,2.0,1.0,4.0,10.0,6.0,7.0,9.0,5.0,8.0
parkinsons,1.0,3.0,2.0,4.0,5.0,7.0,6.0,10.0,9.0,8.0
pendigits,1.0,4.0,2.0,5.0,3.0,8.0,6.0,10.0,9.0,7.0
pima,2.0,1.0,3.0,4.0,6.0,7.0,5.0,9.0,10.0,8.0
pittsburg-bridges-MATERIAL,2.0,4.0,1.0,3.0,5.0,6.0,7.0,10.0,9.0,8.0
pittsburg-bridges-REL-L,1.0,6.0,2.0,3.0,4.0,5.0,7.0,10.0,9.0,8.0
pittsburg-bridges-SPAN,1.0,5.0,2.0,3.0,4.0,6.0,7.0,10.0,9.0,8.0
pittsburg-bridges-T-OR-D,2.0,1.0,4.0,3.0,6.0,5.0,7.0,10.0,9.0,8.0
pittsburg-bridges-TYPE,1.0,5.0,2.0,3.0,4.0,6.0,7.0,9.0,10.0,8.0
planning,2.0,1.0,4.0,5.0,3.0,6.0,7.0,10.0,9.0,8.0
plant-margin,1.0,3.0,4.0,2.0,5.0,8.0,9.0,7.0,6.0,10.0
plant-shape,5.0,2.0,3.0,1.0,4.0,6.0,9.0,8.0,7.0,10.0
plant-texture,1.0,3.0,4.0,2.0,5.0,7.0,8.0,10.0,6.0,9.0
post-operative,1.0,10.0,2.0,3.0,4.0,9.0,6.0,7.0,5.0,8.0
primary-tumor,1.0,5.0,3.0,2.0,4.0,6.0,7.0,10.0,9.0,8.0
ringnorm,4.0,1.0,2.0,3.0,5.0,7.0,6.0,10.0,8.0,9.0
seeds,1.0,4.0,2.0,3.0,5.0,6.0,7.0,10.0,9.0,8.0
semeion,3.0,1.0,2.0,4.0,5.0,7.0,9.0,6.0,10.0,8.0
soybean,1.0,2.0,3.0,4.0,5.0,8.0,9.0,7.0,6.0,10.0
spambase,5.0,1.0,2.0,10.0,6.0,8.0,7.0,3.0,4.0,9.0
spect,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,10.0,8.0
spectf,1.0,2.0,3.0,4.0,7.0,5.0,6.0,9.0,10.0,8.0
statlog-australian-credit,2.0,1.0,4.0,5.0,3.0,7.0,8.0,6.0,10.0,9.0
statlog-german-credit,2.0,1.0,3.0,4.0,5.0,7.0,6.0,10.0,9.0,8.0
statlog-heart,2.0,1.0,3.0,4.0,6.0,7.0,5.0,9.0,10.0,8.0
statlog-image,3.0,2.0,1.0,4.0,5.0,7.0,6.0,10.0,8.0,9.0
statlog-landsat,4.0,1.0,2.0,5.0,3.0,9.0,8.0,6.0,7.0,10.0
statlog-shuttle,2.0,4.0,1.0,3.0,5.0,8.0,6.0,10.0,9.0,7.0
statlog-vehicle,1.0,3.0,2.0,4.0,5.0,8.0,7.0,10.0,6.0,9.0
steel-plates,2.0,3.0,1.0,4.0,5.0,8.0,7.0,6.0,10.0,9.0
synthetic-control,2.0,4.0,3.0,1.0,5.0,7.0,8.0,6.0,9.0,10.0
teaching,1.0,5.0,2.0,3.0,4.0,6.0,7.0,10.0,9.0,8.0
thyroid,6.0,1.0,2.0,8.0,3.0,5.0,4.0,10.0,9.0,7.0
tic-tac-toe,8.5,1.0,2.0,8.5,5.0,5.0,5.0,10.0,3.0,7.0
titanic,4.0,1.0,6.0,5.0,9.0,7.0,10.0,2.0,3.0,8.0
trains,1.0,7.0,3.0,2.0,4.0,6.0,5.0,9.0,8.0,10.0
twonorm,2.0,1.0,3.0,4.0,10.0,8.0,9.0,6.0,5.0,7.0
vertebral-column-2clases,2.0,1.0,3.0,8.0,5.0,6.0,4.0,9.0,10.0,7.0
vertebral-column-3clases,1.0,4.0,2.0,3.0,6.0,8.0,7.0,5.0,10.0,9.0
wall-following,1.0,3.0,2.0,8.0,10.0,6.0,7.0,4.0,9.0,5.0
waveform,2.0,1.0,3.0,4.0,5.0,7.0,8.0,6.0,10.0,9.0
waveform-noise,2.0,1.0,3.0,4.0,9.0,7.0,8.0,5.0,6.0,10.0
wine,2.0,4.0,3.0,1.0,5.0,8.0,7.0,10.0,6.0,9.0
wine-quality-red,2.0,3.0,1.0,4.0,10.0,5.0,6.0,7.0,9.0,8.0
wine-quality-white,3.0,1.0,2.0,4.0,10.0,7.0,9.0,5.0,6.0,8.0
yeast,2.0,3.0,1.0,4.0,5.0,6.0,8.0,10.0,9.0,7.0
zoo,2.0,4.0,3.0,1.0,5.0,6.0,9.0,8.0,7.0,10.0
