TRAINTESTDIFFSAUROC:,SMLRE-S,ES-S,SMM5-S,SMLR-S,NBC-S,RC-S,WMV-S,PB-S,CAWPE-S,MV-S
led-display,0.05405877294235213,0.08544061716008902,0.03435088442272213,0.02775809428949477,0.022424499612182205,0.003049689571303782,0.0030054468415435204,-0.004032226568051641,-0.004355371113187004,0.002946382255364562
lenses,0.248030303030303,-0.025308210308210417,0.19064879564879558,0.10194379694379685,0.18598420098420093,-0.0013312613312614426,-0.05949106449106463,-0.032432012432012526,-0.06492747992748003,-0.08063714063714075
letter,0.002068796481485565,0.006536935274485526,0.00664440180638998,0.001529483315603597,0.0017804792513429182,-9.0169443358508E-4,-9.046155869170347E-4,-4.770242779145432E-4,-3.801874078628531E-4,-9.243548178403079E-4
libras,0.12391975308641952,0.027751322751322693,0.05383708112874772,0.05569003527336853,0.01549933862433862,-0.0015354938271604649,-0.003044532627865944,-0.00852513227513226,-0.0061673280423279984,-0.003370811287477926
low-res-spect,0.02661503840739745,0.015660929334327316,0.022976521339305542,0.01907853572364259,0.006969449417103527,0.00234892343042095,-0.007734105968560919,-0.006804343186868119,-0.0053703277195844635,-0.007775550204313379
lung-cancer,0.31689172773486496,-0.005558460421205571,0.33241836667326863,0.040291608899452075,0.2552195814352677,-0.0017138707334786155,-0.019705816333267363,-0.09814306463326077,-0.020090380933518233,-0.03802772826302244
lymphography,0.10729068879873625,-0.011323379563800006,0.0647123963316538,0.07320238828188978,-0.012445639243346652,-0.013206266062357922,-0.024951341821427903,-0.028973768243657997,-0.02287771641927279,-0.028920986752598916
magic,0.016180517187685553,0.10424813480417959,0.016478055173170626,0.011025019968537064,0.006421622394455254,0.006333336954570638,0.006353698330764923,-0.0015031820328695212,-0.0023762122091566104,0.005758394415845336
mammographic,0.01208596488865166,0.08919302815172561,0.00980151598046723,-0.0025769460147430532,-0.005814044830109703,-0.005697148290228497,-0.005763919096909624,-0.008746654674285296,-0.011363582270355681,-0.00666816310523117
miniboone,0.014825867296764172,0.06044859301940253,0.016469179400184258,0.01155935217100057,0.010665274651971013,0.009925288770906501,0.010692731500776613,-4.963994347117622E-4,7.166814115895519E-4,0.010068857085265984
molec-biol-promoter,0.17132923704623595,0.053090478161703425,0.13490075838129015,0.09881399772187986,-0.004688950035578632,-0.005059212181719227,-0.005169465615809317,0.03713281548039405,-0.00391386162991099,-0.012992318785291179
molec-biol-splice,0.0033185500624309436,0.01516266828772724,0.013062495402886535,9.934715551714953E-4,-0.0010596052304327067,-7.300616379759206E-4,-7.020418163549887E-4,-6.73383153271175E-4,-7.440884793982749E-4,-5.734606194320905E-4
monks-1,-0.06954091403136482,0.011586701861531679,-0.049657540154926544,-0.07755637216845224,-0.04106412711557481,-0.03416317305867633,-0.03425461069993025,5.572520400945099E-4,-0.025840622466056833,-0.026109759674275795
monks-2,0.05252426520722813,0.14750099022190077,0.009998727272395458,3.7175427496264344E-4,-0.016857351794023406,-0.021196324123730372,-0.020807304228525447,-0.005173687493435515,-0.01291101676001403,-0.030028024897671632
monks-3,-0.003963032581453704,0.003782024505708866,0.004895920356446671,-0.010923141186299131,-0.009671748816485677,-0.01284113060428852,-0.012842871066555288,-0.004991645781119484,-0.0071515594541915325,-0.0158103592314119
mushroom,-1.0880185641326535E-15,3.64110192393093E-7,6.927803260422896E-5,1.702417432754381E-5,0.0,-4.7172498256179784E-6,-4.7172498256179784E-6,5.711837044334644E-4,-3.7948373382704998E-6,-1.2302878833218012E-4
musk-1,0.0359337426908557,0.01958175129937754,0.02878023960632817,-0.011190840324419386,-0.010764206172962597,-0.011033510427558835,-0.011136297050415004,-0.01144588786766196,-0.008842868334728856,-0.012650697980238886
musk-2,-0.012833489925165815,0.010503155860699965,-0.008507970214864092,-0.01512721209593928,-0.006871740590326443,-0.006868903593888835,-0.006893150779064305,-0.0018969189490817939,-0.0019065565865024243,-0.007122829952814343
nursery,1.2657433987857866E-5,0.0018017664364632627,0.0010951428289585916,7.605718579462017E-6,-6.696830439750186E-4,-7.539958257886225E-4,-7.959084696867236E-4,1.8708560611767252E-4,-4.3756783416916504E-4,-8.47034896489988E-4
oocytes_merluccius_nucleus_4d,0.028150486951677066,0.08575067898134948,0.021261793766886604,0.005978367525949946,-0.0038805164688236102,-0.0036163153055684774,-0.004040950967679698,-0.001870719225061875,-0.003510363307695367,-0.005758279020936637
oocytes_merluccius_states_2f,0.010788004468554775,0.022972406015943792,0.0069706672209808975,0.001965308093047776,-0.004100774902552895,-0.003299185905336177,-0.003354294563014204,-0.0027571567572473293,-0.0031470365961725516,-0.003778131127640616
oocytes_trisopterus_nucleus_2f,0.011863529986026033,0.03665301350499665,-0.004575272427677401,-0.007921766834501057,-0.0084245863698126,-0.008591139532201465,-0.00857369070588995,-0.010142378032275837,-0.010883813384537462,-0.012667128705938299
oocytes_trisopterus_states_5b,0.011504788947267109,0.009736881236984359,0.01267825367152744,0.004761267770684275,-0.0012110926295460622,-2.1627442573117402E-4,-2.3613618319538268E-4,9.003626500620772E-4,-0.001588819209946298,-8.756813323474962E-4
optical,0.0019485659376577166,0.002415541396579109,0.001920244156754732,6.48436970053623E-4,0.0021446597421475515,-1.717926472959652E-4,-1.7299722372122E-4,-2.9844563315063836E-4,-1.0566187832229401E-4,-1.726187364243348E-4
ozone,0.06831618443113165,0.4112615497617539,0.04775170378846253,0.030724355140480258,0.012090155713226492,0.012630393839776542,0.011051979202872878,-0.009591610967523345,-0.025611838325077945,0.01014797654216835
page-blocks,0.002528162317150384,0.004079531622013969,0.009584563639480988,8.462279560829012E-4,-0.0022403499635288092,-6.185147974933081E-4,-6.271003179764367E-4,-0.0014840594721489465,-6.142375633831909E-4,-6.874905589425939E-4
parkinsons,0.09861985272944426,0.0428092476037696,0.058542617960428596,0.021958945246619045,0.001280132872600078,-0.002690361594469748,-0.0019586367189092456,-0.02143933316878412,-0.010779186720966238,-0.008082654572379066
pendigits,0.010080371897409757,6.361622470288967E-4,0.0013865013118759169,2.606050617732928E-4,9.40223624459872E-4,4.340937751888448E-5,4.553296473419991E-5,-1.63062030576074E-4,-8.804899015526871E-5,4.4033655587357354E-5
pima,0.043348258706467774,0.15879502487562205,0.020723383084577173,0.020152238805970207,0.013608955223880618,0.012666666666666685,0.013745273631840811,-0.0016407960199006032,-0.0050189054726368105,0.009563184079601978
pittsburg-bridges-MATERIAL,0.11577797290468847,0.09095241750405834,0.11873373280042086,0.1066264561435619,0.07164569609423715,0.06598939134103636,0.05834318377095429,-0.009318570432004033,-0.007532118848652651,0.05802136217802216
pittsburg-bridges-REL-L,0.20272741783755405,0.018671484423788142,0.17378944197450125,0.14980127020363979,0.07662806070386154,0.019601853430725766,0.00933799992444135,-0.01993406930693017,-0.01674790394546865,0.0015740215653555027
pittsburg-bridges-SPAN,0.1786420101637493,-0.01809241483154524,0.13973461321287411,0.08679183135704874,0.003496141539619794,-0.0370214568040655,-0.03812723508375682,-0.06322134387351781,-0.05340203274985881,-0.04397233201581027
pittsburg-bridges-T-OR-D,0.28744588744588745,0.30238095238095236,0.22716450216450212,0.24145021645021644,0.09740259740259741,0.09772727272727272,0.08939393939393939,-0.052922077922077905,-0.0435064935064935,0.08344155844155843
pittsburg-bridges-TYPE,0.24911000881152473,0.01699891535620626,0.24034851228415602,0.2371197937765344,0.1118319222729578,0.00930635277786145,-0.010641264989642659,-0.024640000580434553,-0.028352948916391157,-0.013442777987846577
planning,0.1690532544378698,0.2071597633136099,0.08948717948717948,0.08238658777120315,0.11272189349112414,0.02467455621301775,0.018599605522682448,-0.032682445759368815,-0.020749506903353022,0.01497041420118343
plant-margin,0.06195154671717249,0.03524168771043785,0.02351136363636402,0.0572781986531995,0.012297190656565826,-0.008104850589225743,-0.009784511784511863,-0.0023492739898990293,-0.001836489898989931,-0.009854377104377195
plant-shape,0.01709995791245829,0.08974973695286233,0.06168771043771062,0.12151341540404167,0.02782723063973077,0.004320549242424228,-0.0060128367003367544,-0.005535406144781144,-0.004251841329966451,-0.006044244528619495
plant-texture,0.13609127701977605,0.03445820641165051,0.03365969104142551,0.06696512908317928,0.017956682674199576,-0.0042700347806261234,-0.005294133054159511,-0.00628438631622659,-0.003681721387260306,-0.005339716919487177
post-operative,0.2985154968488302,-0.12049382716049377,0.24741215574548905,0.1776672710006043,0.023170163170163162,-0.014070620737287425,-0.0074695674695674915,-0.008771907105240428,-1.985668652335552E-4,-0.009112924112924133
primary-tumor,0.2903148502755685,0.07203353121633692,0.23626731235070228,0.24973369655304406,0.13385710142900334,0.01126447608181082,2.1279990666365212E-4,-0.02151325802099218,-0.011625392243923217,-7.837481605530994E-4
ringnorm,0.011515626314952924,0.022163198697747275,0.018325396862503254,0.01195630109809284,0.002526034117863152,0.002218909839820941,0.0022442445975890996,-0.0023153299732878866,0.0018874832854885338,0.0011118948879306756
seeds,0.020607709750566857,0.00712018140589568,0.014013605442176861,0.01337868480725624,0.0014467120181405686,-8.934240362811726E-4,-9.478458049886414E-4,-0.011179138321995411,-0.0018775510204081414,-0.0014557823129251542
semeion,0.008530619527796497,0.012906256657967803,0.011954142279502752,0.0061410595262050135,0.003251130333805097,-2.4951034485682554E-4,-2.719286136429614E-4,-2.294350140432296E-5,-6.682775560676313E-4,-2.705288060582789E-4
soybean,0.020012627177310786,0.019268499773624763,0.01382543997668552,0.01382493226045369,0.0027560767387428188,-0.002486838274003237,-0.002861624771644174,-0.001873735157454759,-0.001295309147467209,-0.002862045760484618
spambase,-0.0017469231922258577,0.030218880459281203,0.008600575500410098,-0.0046395704951620155,-0.002964189135714098,-0.003042884502847276,-0.0029759521810818683,5.224613459776724E-4,-8.985035931618442E-4,-0.0035493757920752305
spect,0.10635838908566185,0.0887984742530197,0.0711605566151021,0.046723882178427635,0.008089788998879894,0.007747202292656848,0.0073105682196591155,-6.970806970808355E-4,-0.0035928717746900873,0.0026374635465544563
spectf,0.09725425110645224,0.09162756647033374,0.08040581012279115,0.042816378822668054,1.505773518351979E-4,7.953146317925986E-4,1.6887957139527138E-4,-0.011927639679212013,-0.014279058933146963,-0.001811087817377155
statlog-australian-credit,0.041200174533507807,0.18116963116963125,0.019411719411719302,0.012782012782012733,0.03630553630553627,-0.003375170041836713,-0.004664921331588001,-1.0395010395007898E-4,-0.008672775339441979,-0.0068696902030235185
statlog-german-credit,0.026876190476190498,0.13742857142857204,0.011464761904761865,0.007772698412698406,-0.008526984126984187,-0.009319365079365146,-0.008803809523809573,-0.015651428571428636,-0.011926984126984145,-0.010993015873015906
statlog-heart,0.051511111111111195,0.08148888888888882,0.025103703703703743,0.022340740740740776,-0.001444444444444437,-0.00185925925925929,-0.0013555555555555506,-0.004688888888888761,-0.005399999999999868,-0.003807407407407452
statlog-image,0.002286909499030191,0.0030909382424529415,0.004638535426413467,0.0015766029705419626,7.359307359305234E-4,-2.9443059746086706E-4,-2.887460463217898E-4,-4.67007739734937E-4,-3.171104989286411E-4,-3.439590712317475E-4
statlog-landsat,0.0017340392052319297,0.020525090053595405,0.00861872555734613,4.1372590208668496E-4,0.0020792397113054695,-0.0014631529277068678,-0.0014367636258642903,-4.76266649375597E-4,-5.645644480199256E-4,-0.0014885239591512851
statlog-shuttle,2.579860344746517E-5,9.021250181399469E-6,6.788261414815144E-5,1.5343130982999517E-5,-2.713553405568151E-6,-9.002283895602018E-6,-5.663226975719896E-6,-3.2117862528025323E-4,-2.1765478178388994E-5,-5.958194590457063E-6
statlog-vehicle,0.021199857823595087,0.016933351544467005,0.019974283262023156,0.0070922653081591435,0.0026544872948908687,-0.005206360884002959,-0.004937194383060927,-0.006766084093022832,-0.003435178395788859,-0.00603834270883743
steel-plates,0.037042674320938614,0.029352323189834925,0.041566123209587254,0.010416081602149482,4.8530770978613507E-4,-0.0029131174686251,-0.0022001781728635352,-4.6373947863539804E-4,-0.003076213406063229,-0.003058614845729794
synthetic-control,0.0018675555555554705,0.0010759999999999696,0.001342666666666644,0.0019995555555554914,1.528888888888802E-4,7.555555555564345E-6,4.444444444399546E-7,1.1555555555564645E-5,-3.555555555549243E-6,-1.2799999999998E-4
teaching,0.19276328486950328,-0.012523696730154221,0.17196014569570506,0.10500979676080956,0.048576440166709846,-0.015531396465018821,-0.01866001399390173,-0.04433083727058095,-0.02475674016975232,-0.02467988411738972
thyroid,0.001506445599797801,0.010713319331063943,0.0027236631883502858,0.0010779711484885878,0.0018811692022600616,0.001736475212111673,0.0017628585167843824,-5.444549608767983E-4,5.903741904988917E-4,0.0013173056646404002
tic-tac-toe,-0.0025995355222811416,3.060163978598059E-4,2.123510014495696E-4,-0.0025995355222811416,-6.113912519085811E-4,-6.113912519085811E-4,-6.113912519085811E-4,-0.01020824512105934,-2.078601947726688E-4,-0.0010540564815170997
titanic,0.01361179752268617,0.24860860024789475,0.004092632460675483,0.004325911733122889,-0.001205206909456874,-0.0011320993856472432,-0.0012398614596876504,0.15840519218167143,0.062236973255970794,-0.0012042825284929485
trains,0.9074074074074076,-0.06481481481481484,0.7870370370370371,0.8185185185185185,0.6296296296296298,-0.006481481481481459,0.019444444444444462,-0.1824074074074074,-0.075,-0.2759259259259259
twonorm,0.002552061662221509,0.018310090849381153,0.0013909337139157059,4.91631403373638E-4,-2.7934366467040616E-4,-2.786429487319627E-4,-2.789834461379888E-4,-1.0504417784984454E-5,-4.5657165661849856E-6,-2.6664317571092335E-4
vertebral-column-2clases,0.06838730158730165,0.09033650793650772,0.019200000000000036,-0.004419047619047608,0.002711111111111116,0.0023873015873016046,0.0028888888888889,-0.008247619047619014,-0.01053333333333331,3.301587301587102E-4
vertebral-column-3clases,0.03699145929339506,0.010296379928315573,0.024191730670763096,0.016911008704557126,8.737583205325324E-4,-0.002989088581669301,-0.002628361495135778,0.0018911623143880285,-0.004493927291346596,-0.0039276753712238115
wall-following,0.032810756290768475,0.0035604590746253625,0.0049066377805608965,7.936625396603078E-4,-2.6771966842698746E-4,8.34193336216212E-4,8.038911202892759E-4,0.0020160056616727743,3.4153343946671983E-4,0.001033816939364544
waveform,0.0012928142419496877,0.02344359106925433,6.550202444773557E-4,-1.7408700144116995E-4,-5.916774194022923E-4,-8.139373119920708E-4,-8.333255554747732E-4,-7.597682638456838E-4,-0.0010215562045500263,-8.367254032400647E-4
waveform-noise,0.0014039420819372706,0.023144898967940582,9.826044835637908E-4,-2.3861938425281023E-5,-8.787678342966565E-4,-7.492230447469495E-4,-8.200580716236379E-4,-4.180370783018953E-4,-4.992604785698999E-4,-9.4743865251344E-4
wine,0.0073851692205926835,0.001308158300261586,0.004714432671121401,0.008865197883281061,-0.0017258277077654778,-0.0022654303833151293,-0.0022516814734267845,-0.006898437874495359,-0.002137747516548897,-0.002800196703452588
wine-quality-red,0.05921511779659865,0.04041209515367443,0.07222804216552957,0.024922574424179285,-0.018235820920065482,-0.0013894827692758664,-0.0017730899314736112,-0.0022054533364438264,-0.007353282156388367,-0.003363744931678588
wine-quality-white,0.01478256801623686,0.042500021053308724,0.02604267385536114,0.002313874339196505,-0.02836853674576099,-0.008488168589336017,-0.00919175910418684,-1.7004984558403047E-4,-0.007518744191344055,-0.008891328729054878
yeast,0.07112493561851395,0.06042900503760018,0.11481278440741323,0.03147599830177023,0.009086577524463561,0.0021248604417925384,0.0010934660879081608,-0.0038838635772063036,-0.003041962793220739,0.0013758796720520123
zoo,0.025988177588254883,0.018118676926578002,0.023549552352609117,0.027953768167625008,0.0034628567058765675,-0.004386854422519996,-0.012683567619322452,-0.011025458626142404,-0.00619827790177497,-0.013035459012070549
