TRAINTESTDIFFSAUROCSTDDEVS:,SMLRE-S,ES-S,SMM5-S,SMLR-S,NBC-S,RC-S,WMV-S,PB-S,CAWPE-S,MV-S
mushroom,2.6824603241267897E-4,3.4463026227300458E-6,3.4605341450930516E-4,2.8399050908847593E-4,0.0,9.818992780911597E-6,9.818992780911597E-6,0.005600429346545934,7.900856117647683E-6,1.860648560612494E-4
musk-1,0.15213509391726887,0.03542376758674089,0.06807315108326151,0.06033877850235915,0.038875461031067614,0.03881692306105529,0.038951218992956615,0.03740470639436817,0.02608378042318724,0.038856312635980286
musk-2,0.018420627020210505,0.008983514789199192,0.018217300343814045,0.019210595461146774,0.012186130943979311,0.012198543385320476,0.012189065166604167,0.008938387306569843,0.003173995174517443,0.01205664886622237
nursery,4.169843163349974E-4,0.0012694534027446636,0.0013979556002514943,3.7464549424462656E-4,0.0010075709082812184,0.0013770912687517498,0.0013859646723599626,0.0016407375418783442,6.434696519211617E-4,0.001487559370964424
oocytes_merluccius_nucleus_4d,0.0512005664993161,0.0315307625594081,0.06051314490042525,0.05354474867141174,0.03750536290018667,0.03753134090276596,0.03748159838845917,0.03671359584607221,0.022202393014093443,0.03829175890444259
oocytes_merluccius_states_2f,0.008081860953695362,0.013181694240160205,0.007157449152184418,0.008144782697516291,0.014752224663591997,0.01494073046880826,0.015001752131458943,0.008045153711231769,0.006517990743545887,0.015058552216935715
oocytes_trisopterus_nucleus_2f,0.04807577234054012,0.02915991297494129,0.04686328399222138,0.0465442386215689,0.03455954008522123,0.03403369835418216,0.03463285736015005,0.029810538121985405,0.02324712491410158,0.034218904184626385
oocytes_trisopterus_states_5b,0.013410044494030705,0.011872003038863373,0.009453893596766537,0.01239548137397519,0.012040500583108417,0.011889404790432694,0.011969995932276623,0.012652395993599361,0.010353217081268101,0.012223071283039838
optical,0.006326514103235755,0.0010419443662963877,7.533272735563512E-4,5.45388953539333E-4,9.088562152436346E-4,0.0012964063649416671,0.0012959876614295081,6.44199989172604E-4,3.5670839361135744E-4,0.0012888774947141723
ozone,0.0664463251108745,0.07512764069212428,0.06435993600872059,0.05468346119335331,0.12475369993163224,0.12363063837318894,0.12474395092442156,0.056084834024959215,0.053337942350648676,0.12298061215623618
page-blocks,0.0032103686335650077,0.0031945988883649423,0.0029698953594011566,0.003194111731761788,0.0031048606217737177,0.0031296919860514085,0.0030879751413222527,0.009461754617186544,0.0035740509400789817,0.0030499874505483322
parkinsons,0.2131605600162739,0.06675582826025324,0.12266289557809947,0.12202545097047636,0.08002944320066749,0.08056082224460856,0.07988218597084451,0.065670605095022,0.03787616524160031,0.08537468242516469
pendigits,0.02376718489942457,5.353877120288175E-4,0.0011468291533324845,3.969627236733894E-4,4.407413190172607E-4,5.184925585688205E-4,5.187256523251118E-4,4.847078026821307E-4,3.326587324993206E-4,5.17244081972079E-4
pima,0.04812559589698673,0.043921272987427436,0.04130576318585484,0.0401071879840505,0.0496373125499598,0.05024469408392517,0.04968491173187365,0.029969047601241295,0.03317931757527162,0.049753673184809194
pittsburg-bridges-MATERIAL,0.08659964718516527,0.09919445487802722,0.06959347704556697,0.07404579371852399,0.10767666565695416,0.10286777836839044,0.10780258894619918,0.05656855267811504,0.06871382510857794,0.1071743074189841
pittsburg-bridges-REL-L,0.08779389676832074,0.07945071426240721,0.08929139191209812,0.08088588364080615,0.0753117313367378,0.07614484674039272,0.07977852486877218,0.07405606999637701,0.07374278029590912,0.0797780931959746
pittsburg-bridges-SPAN,0.08090491372426177,0.08595531275286435,0.08229586260731026,0.09351423919602228,0.07576408657048031,0.09370666200551886,0.09306990476019784,0.078039823236941,0.07926631422074176,0.09293837084322985
pittsburg-bridges-T-OR-D,0.26597659601637474,0.20732414348846187,0.23531525661897537,0.2577150154611151,0.26325018760362495,0.2662192250788494,0.26736830413308055,0.14716895474434072,0.1882433435282976,0.2665028049828251
pittsburg-bridges-TYPE,0.06153058868747157,0.06732915299367787,0.05703110781543782,0.060366117353647705,0.06477639812171904,0.06055280159218943,0.06660477246836653,0.067870635622339,0.06853619671631139,0.06658808851300328
planning,0.09794915251541005,0.11215243396946674,0.08872783066481138,0.07857865300277052,0.09207140324353584,0.11158559455999303,0.11341287521735288,0.10197302659515027,0.11649173349576238,0.10669746277717941
plant-margin,0.017375965900473397,0.0057778532170098,0.00477005378432293,0.008222599012372912,0.0019716046530359687,0.008441582943224906,0.00819896467836694,0.0010931037356141315,0.0011857791803362137,0.008183929540172611
plant-shape,0.005610200273310335,0.010178189980664819,0.006940470677271108,0.010633091656086939,0.0036057616370251872,0.01425001818499223,0.014550636933104481,0.003200050841894004,0.003191954846982457,0.014495920804673908
plant-texture,0.013238939492802266,0.006520575999085072,0.0053402068332108164,0.009735642891117504,0.0028609369397591647,0.008440281893814475,0.008469067073467153,0.002449676105400603,0.0021084675502570614,0.00849886703083406
post-operative,0.15658276664869378,0.13964132925832629,0.13856407526956427,0.14524722046006056,0.09979262794018397,0.11150958139344122,0.1133141989648976,0.15168846800284247,0.14121290238604914,0.10977599653095095
primary-tumor,0.031236408404078944,0.0289553156143909,0.01917118804985401,0.025717435240894343,0.019780112543974066,0.031050957129073232,0.03101033122950245,0.026124586814423423,0.027317932363757062,0.030672061254340084
ringnorm,0.016828834868895165,0.009599089050351964,0.013869321801235738,0.01660684553726752,0.007711035569427098,0.008100296805476298,0.008077380262153476,0.007297434689247503,0.00527087070071263,0.008421673086546762
seeds,0.017975409517438774,0.01277759790670766,0.017799925087020555,0.021196723428528904,0.015015782354215405,0.01456795608830835,0.014721890714588905,0.012136149268882936,0.007953309071029674,0.014671060293960566
semeion,0.0034826221366277693,0.004934628992490454,0.004915683136335996,0.003352360079622371,0.0027856812861733627,0.006943115757142961,0.006922547911693031,0.003159634346415355,0.0021844281066178994,0.006926197123802529
soybean,0.008479116521518086,0.009703584138231901,0.0059246824742603035,0.007161705272378165,0.004213356394793674,0.011916307960951009,0.012016945784054843,0.004767975805415568,0.0034251319861579033,0.011973937714741143
spambase,0.012908502664036519,0.00784962047074018,0.017548113579755106,0.014369243468858347,0.00904459194822875,0.00899288021827833,0.00904309492686564,0.005994995647142947,0.0036982616901960644,0.009154851326030198
spect,0.0844893025219295,0.07932091228246096,0.0903568715316903,0.09552810128980774,0.08249739515956069,0.08351022192676708,0.08397091647536835,0.07028874031174469,0.06370077477217505,0.08539096813024896
spectf,0.12905352831986897,0.08235717126982253,0.12413370466277715,0.11086998515122916,0.09717985647891887,0.09615756151965364,0.09731066055272351,0.04342266159983258,0.0627403442420341,0.09998149663586442
statlog-australian-credit,0.053099306477383236,0.04643063819058073,0.0350927978734526,0.0313985254857946,0.057847480684004575,0.05606351716070059,0.05483675780882081,0.049819594752791956,0.047519233481822576,0.05017301403828287
statlog-german-credit,0.05052642690183443,0.036949777302345894,0.05585910704497857,0.05880733927500113,0.0405865788323837,0.04108598877456997,0.04126284437676924,0.030457653290937206,0.025099639467003915,0.040014594173448936
statlog-heart,0.08214569079882218,0.05909610474111302,0.08499140233147742,0.07997361704880142,0.0636392223183468,0.06410149156125375,0.06373763137636652,0.04055776931972984,0.04440094231163251,0.06524845878359264
statlog-image,0.0015167749831580374,0.001722523215571432,0.002805733049582021,0.0015526887952553325,0.0012467589377304013,0.0025497268381971605,0.0025433454212936673,0.0021606352259864823,8.671348570042818E-4,0.0025757447614020925
statlog-landsat,0.0021040201302700108,0.003991796435404265,0.00260100943860277,0.0017028096292198201,0.002474527209128724,0.0027660894528488073,0.0027242693665342245,0.0017758800360518122,0.0010986444420882455,0.0027581406772981603
statlog-shuttle,6.583234609192319E-5,5.4454661900978645E-5,8.117241433246221E-5,7.231540398655887E-5,4.893167778685625E-5,6.201469976392494E-5,4.7121136704146956E-5,0.0021120914183041925,4.5298870550750545E-5,4.731833884128616E-5
statlog-vehicle,0.010760772867626537,0.011094305429656885,0.01659343200682725,0.009884911051307845,0.008619183781586034,0.013399978680892589,0.013614117955288782,0.013124655485148623,0.009370263669058111,0.013425791033924902
steel-plates,0.057399807983086686,0.01034005517278755,0.01974829725525944,0.0095665596938301,0.008642305766494397,0.011335829130233056,0.011721510974779227,0.009059063523785969,0.008546341362507676,0.011598961570594424
synthetic-control,0.0027413069754386034,0.0015193874547158178,0.002119605688769019,0.002591065067971455,0.0010866616364502495,0.0027135300181943965,0.00270902107742932,0.0011573611593314267,3.263908445363831E-4,0.002862915696195861
teaching,0.0650212512719499,0.05127707558915991,0.09031075874790574,0.07196602131225556,0.052230358969583925,0.04481425406069796,0.05025939120558277,0.07268711642599579,0.05584664198327904,0.05050513607091956
thyroid,0.0021605513062370333,0.009112776430660136,0.002717582258198485,0.0022084124376516973,0.010915873992882132,0.010914448036081858,0.010908777417078287,0.004699836223811789,0.003064551523775986,0.011005041805338027
tic-tac-toe,0.006363776385420296,0.0034142113511499406,0.004607280062455469,0.006363776385420296,0.00454560939345874,0.00454560939345874,0.00454560939345874,0.015702823717898967,0.0025473892194116097,0.004713415708623477
titanic,0.05645759794919306,0.03175273726207725,0.04817631565919114,0.048194359032060465,0.033034011467805525,0.03302705764237781,0.03304261851623268,0.0842837486293481,0.026907642132062943,0.0330295812667938
trains,0.18702786922892736,0.48855207252862665,0.2666679970166901,0.3333120470002017,0.2615299214535965,0.5302012986186507,0.5156217547339079,0.44723045215847534,0.38656599627537463,0.4244128825533607
twonorm,0.006677419325614126,0.0034893663153076,0.006596382187066007,0.005962696306381888,0.004233664391733832,0.004235851847642255,0.0042332161487462485,5.933409503969436E-4,7.142732630001869E-4,0.004233664940684991
vertebral-column-2clases,0.10045017424668923,0.05911446892964311,0.11671397747200972,0.10614067355858536,0.0740802629572441,0.0737063463744395,0.07413223306533408,0.04102476971773649,0.03900465095540458,0.0770495887892201
vertebral-column-3clases,0.01749353461396155,0.019038511543378513,0.015146087080442638,0.014202680123467978,0.01991890600773265,0.02249276172919891,0.022629486132020565,0.022433896473773918,0.0158370849708565,0.022561907072224476
wall-following,0.11333978873376174,0.0048717314000810375,0.0060897690525936275,9.174259559037753E-4,0.00127664741751468,0.002415838131157851,0.0023878846578842725,0.006342696298177084,0.0010146309472667872,0.003044946995736715
waveform,0.002385593811992142,0.003657294835335965,0.0025291325004878837,0.002402209727038062,0.004103722593403717,0.0034545097170599953,0.0034435809280771233,0.0026820111470805263,0.0024781657344593944,0.0035123671001622853
waveform-noise,0.003594540826572197,0.005191070570412359,0.0035079795775794604,0.0033023116279344384,0.006116225251808915,0.005582405426727159,0.0055881373550028274,0.003755958205882485,0.0033117853530167905,0.005623749611100469
wine,0.010927542796224462,0.006877046460769541,0.009147362934181022,0.013237620833582816,0.009628546556326998,0.009279976515794205,0.009265587447596157,0.011594605464131366,0.003470835930346138,0.00933746305610943
wine-quality-red,0.021062983500590802,0.020161317788763462,0.043357614563372934,0.018730979110328855,0.025080156056534162,0.020956922274233725,0.021532332102671452,0.01374042410856743,0.018764407665561682,0.021967961475456016
wine-quality-white,0.009029734019118425,0.00931388474354008,0.010521143890756162,0.009142772498450913,0.009448726804641273,0.01009525263149063,0.010573817234455336,0.012130550495761524,0.009483334537194176,0.010159362519776732
yeast,0.014831703581098563,0.01776638919173275,0.03845440522410353,0.013472723376229899,0.01527602761656578,0.021142069061288505,0.02177788648385295,0.014347193758396853,0.013963372188986535,0.021290839489505057
zoo,0.020519353650270272,0.02890733305808044,0.01529526622117587,0.025807296436534635,0.005978513711281254,0.03580378853908428,0.03819996771612969,0.016159630729528873,0.01026384274022958,0.0383432984692093
