TRAINACCSTDDEVS:,CAWPE-S,PB-S
statlog-german-credit,0.013367313023613407,0.01595467718689198
statlog-heart,0.0288793906512858,0.02823003481932644
statlog-image,0.0047968339022843465,0.00907660999858666
statlog-landsat,0.004949413894834345,0.0049183296805652725
statlog-shuttle,1.6249160429586922E-4,0.014226750119667876
statlog-vehicle,0.013305552409900032,0.018140317143156674
steel-plates,0.013296513680655321,0.01187504587981363
synthetic-control,0.006189844605901727,0.008438796255851005
teaching,0.06883671241230478,0.06911371051276954
thyroid,0.004045777151203665,0.004712775089280785
tic-tac-toe,0.003915304770250422,0.0038351546908931815
titanic,0.008708574535905459,0.008329903350349353
trains,0.2856732318616829,0.35314677356328905
twonorm,0.001962786524045792,0.0016399838754369508
vertebral-column-2clases,0.03415553956097325,0.03263113889546425
vertebral-column-3clases,0.021003790921606747,0.03340275283628753
wall-following,0.003334482007515569,0.00984085326854184
waveform,0.005686307412125281,0.005349288488339659
waveform-noise,0.005553884864814249,0.0057530632937581785
wine,0.01627253171163787,0.018512695932948398
wine-quality-red,0.01301330207662129,0.012342731411512738
wine-quality-white,0.007915666106880824,0.005885617950767302
yeast,0.0186290958560601,0.01582859599429924
zoo,0.027580760831006048,0.02870349157848973
