TRAINTESTDIFFSBALACCSTDDEVS:,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
monks-2,0.06350472124313564,0.057521139240196376,0.05437501541728209
monks-3,0.014836992343551587,0.015335482861834003,0.015499841120347512
mushroom,0.0,0.0,0.0
musk-1,0.03199611542287776,0.031052490040759093,0.031259219192823394
musk-2,0.01065353646546918,0.010707812678589954,0.01068163379371014
nursery,0.0024581596843238967,0.004257909035256002,0.004564841998006623
oocytes_merluccius_nucleus_4d,0.03176882777843857,0.031333426516511484,0.03254101617711955
oocytes_merluccius_states_2f,0.032061332110459105,0.033210881337940354,0.03345448879963609
oocytes_trisopterus_nucleus_2f,0.023066691495399038,0.022470471747853143,0.023367160306315582
oocytes_trisopterus_states_5b,0.06154480247460622,0.06164200815543827,0.061748084093445885
optical,0.002887566135404796,0.002895756357821287,0.002911269937991305
ozone,0.027410617076442646,0.030978360801974955,0.030945542897339803
page-blocks,0.03308369705530436,0.03990956200805403,0.040452569418317916
parkinsons,0.07422790239235419,0.07768877144973294,0.0851140727126563
pendigits,0.00149470793022098,0.001531705027517035,0.0015081534706809308
pima,0.02978885656584987,0.03096947358023775,0.03283410909619649
pittsburg-bridges-MATERIAL,0.13058646459861137,0.1342879016078068,0.14178568260279423
pittsburg-bridges-REL-L,0.10227954026709006,0.10668170978830319,0.11653560558975089
pittsburg-bridges-SPAN,0.09063807088159921,0.08229157599550026,0.09297942202989441
pittsburg-bridges-T-OR-D,0.17231958656205007,0.1744313738350516,0.18344200428751073
pittsburg-bridges-TYPE,0.07633390802222609,0.09706988491559433,0.10566266873257073
planning,0.04238217862282099,0.044386474867842744,0.042240522194880586
plant-margin,0.020473209295334582,0.021652335556643105,0.02087455691593909
plant-shape,0.022682885403534643,0.02403470461358052,0.021889096443285377
plant-texture,0.018688313375641436,0.019406024871509074,0.02049740662037321
post-operative,0.05510020526517067,0.047926238470554175,0.04689325185080362
primary-tumor,0.039777626566715116,0.04183028232190112,0.04554019678461422
ringnorm,0.003765503299325794,0.0033942493234227072,0.0034852406931477585
seeds,0.03585213317033086,0.0367354468317258,0.03541325421781539
semeion,0.012990251398208233,0.012991343746747206,0.01316618752869152
soybean,0.02149105921597008,0.020354302154626448,0.020309248886394588
spambase,0.006825250236871195,0.006802810930332381,0.006793435047827546
spect,0.06544299615922528,0.0566857429017463,0.05962904694095259
spectf,0.06726999374178634,0.07101912947581329,0.06858836908475091
statlog-australian-credit,0.02187671922590241,0.024001962218363926,0.028462671357864868
statlog-german-credit,0.032141472531956775,0.033441239839621745,0.03207931646552576
statlog-heart,0.05676521181173069,0.058507948832858196,0.056821514821549596
statlog-image,0.007494952158197054,0.007848068997150594,0.007529818990461777
statlog-landsat,0.008497090949991125,0.008463691333973749,0.00814737348538683
statlog-shuttle,0.05186443595524508,0.056116722848100264,0.05629851449604826
statlog-vehicle,0.022881995366549765,0.021469891821091575,0.02165021340288676
steel-plates,0.025384511134756,0.024932800069131,0.02434578456750505
synthetic-control,0.011919268665368719,0.011768303859705297,0.01178186150556855
teaching,0.08516500331730735,0.08535224704140988,0.09357588052229944
thyroid,0.009286137700630064,0.012022360401863106,0.013329326732776479
tic-tac-toe,0.010093473627391372,0.011277815519537134,0.011611651060649372
titanic,0.016754952334214212,0.01828440747805835,0.018416579830971332
trains,0.2260388250876356,0.2898341446717838,0.2917555967325674
twonorm,0.0040233898856257945,0.004114687713929332,0.004081808536504972
vertebral-column-2clases,0.053502500204046816,0.062195312004211155,0.06178092957418776
vertebral-column-3clases,0.061870057965505654,0.060332788841508625,0.060079366645963465
wall-following,0.004904920007808272,0.005726519099992148,0.006473855064783423
waveform,0.009771840081348633,0.009989605459497243,0.010284575635279139
waveform-noise,0.009814178728781367,0.010088840124953763,0.009867252620333207
wine,0.021554894652655112,0.022750768674095326,0.022810154183161017
wine-quality-red,0.027548963332941333,0.0259390694117117,0.025968964714400546
wine-quality-white,0.016206190692001115,0.014488489538940759,0.016834962127202424
yeast,0.051901303103033446,0.052866362896542014,0.05309362921771522
zoo,0.10813079161357071,0.12004117415964966,0.11609126112967522
