TRAINTESTDIFFSBALACC:,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
vertebral-column-2clases,0.003603174603174634,-0.014555555555555537,-0.01599999999999998
vertebral-column-3clases,0.006148148148148143,-0.009259259259259248,-0.010296296296296303
wall-following,-1.0563000062030851E-4,-7.761450849382474E-5,-2.236622048257586E-4
waveform,0.002233356292626772,9.604646824387627E-4,7.584897957228017E-4
waveform-noise,0.0025836534902613467,0.0016876539830114649,0.0014865213638670994
wine,0.0018571732652192473,-9.563340023109879E-5,-7.922824302134608E-4
wine-quality-red,-0.0064495909040755495,-0.010797661672631683,-0.010195720858228943
wine-quality-white,-0.010878254152868473,-0.011481690984397185,-0.012734632581385729
yeast,-0.05181220727578571,-0.06187410927734197,-0.06492907322162529
zoo,-0.028492063492063503,-0.058095238095238096,-0.058888888888888886
