folds:,0,1,2,3,4
nursery,1.5329642E7,1.0315049E7,1.03108E7,1.0059024E7,1.0706367E7
oocytes_merluccius_nucleus_4d,2041498.0,2563319.0,2539910.0,2427604.0,2428867.0
oocytes_merluccius_states_2f,1390207.0,1222105.0,1224562.0,1182929.0,1153461.0
oocytes_trisopterus_nucleus_2f,1321865.0,1422320.0,1363733.0,1359538.0,1355503.0
oocytes_trisopterus_states_5b,1612903.0,1362375.0,1412568.0,1385006.0,1342917.0
optical,3.0117464E7,2.3601578E7,2.3249482E7,2.3666844E7,2.4099301E7
ozone,3798218.0,3366147.0,3366324.0,3723231.0,3605390.0
page-blocks,6862862.0,5037731.0,5843078.0,5007341.0,6039377.0
parkinsons,286351.0,244625.0,239946.0,224451.0,225388.0
pendigits,3.0910207E7,1.8881154E7,1.2871576E7,1.2197494E7,1.1540002E7
pima,707545.0,525850.0,506196.0,502768.0,518922.0
pittsburg-bridges-MATERIAL,251155.0,282444.0,262652.0,329402.0,288807.0
pittsburg-bridges-REL-L,251841.0,277077.0,256917.0,279181.0,264028.0
pittsburg-bridges-SPAN,238324.0,267521.0,258832.0,265528.0,259488.0
pittsburg-bridges-T-OR-D,169553.0,152165.0,146261.0,169444.0,171887.0
pittsburg-bridges-TYPE,433763.0,476116.0,479947.0,478584.0,459239.0
planning,265043.0,241879.0,238652.0,240664.0,234556.0
plant-margin,6.3915888E7,5.3891736E7,5.5118229E7,5.4992041E7,5.526679E7
plant-shape,7.2288554E7,6.8446282E7,6.3644333E7,4.6815434E7,4.6230442E7
plant-texture,6.4411054E7,4.2556233E7,4.1199203E7,5.2985627E7,4.4698942E7
post-operative,226682.0,285880.0,276394.0,255389.0,246558.0
primary-tumor,1883247.0,2446284.0,2429148.0,2372721.0,2496487.0
ringnorm,7801338.0,5358235.0,5352175.0,5225363.0,5328234.0
seeds,277534.0,252986.0,245315.0,251089.0,247303.0
semeion,2.260149E7,1.5067001E7,1.4959477E7,1.5188162E7,1.5248885E7
soybean,4781180.0,3058415.0,2936199.0,3041142.0,2975840.0
spambase,7298883.0,5875341.0,5995785.0,5823667.0,6017986.0
spect,393023.0,405653.0,392620.0,394530.0,388947.0
spectf,348338.0,349040.0,354292.0,350483.0,342130.0
statlog-australian-credit,649603.0,647834.0,654258.0,645447.0,644351.0
statlog-german-credit,927057.0,915585.0,918449.0,921066.0,916703.0
statlog-heart,297698.0,310877.0,303476.0,298413.0,294361.0
statlog-image,3447979.0,3393600.0,3402036.0,3410324.0,3368699.0
statlog-landsat,1.244226E7,1.2471065E7,1.2332177E7,1.2448206E7,1.2528475E7
statlog-shuttle,4.4358997E7,4.4388552E7,4.394965E7,4.2089706E7,3.4306775E7
statlog-vehicle,1151361.0,1190318.0,1148245.0,1156637.0,1158731.0
steel-plates,5490592.0,5457854.0,5256133.0,5413637.0,5301039.0
synthetic-control,1606866.0,1610287.0,1595600.0,1596233.0,1590638.0
teaching,272722.0,305572.0,297248.0,285027.0,328829.0
thyroid,4243815.0,4045580.0,4137414.0,4087333.0,4114570.0
tic-tac-toe,495402.0,482503.0,483550.0,480433.0,493765.0
titanic,580228.0,628564.0,622128.0,617214.0,794131.0
trains,50182.0,58181.0,56003.0,55841.0,56330.0
twonorm,4868250.0,4753479.0,4437825.0,4332223.0,4381358.0
vertebral-column-2clases,275898.0,273686.0,264742.0,278819.0,256860.0
vertebral-column-3clases,356620.0,322172.0,330169.0,316768.0,345852.0
wall-following,5175809.0,3957173.0,3952930.0,3928354.0,3830935.0
waveform,5122424.0,5463565.0,5403452.0,5397914.0,5509515.0
waveform-noise,7409432.0,7934838.0,7995704.0,7947912.0,8062041.0
wine,244050.0,219224.0,223052.0,217031.0,218204.0
wine-quality-red,2294762.0,2028424.0,2014288.0,2063145.0,2073612.0
wine-quality-white,7080139.0,6965075.0,7612185.0,7338018.0,6941418.0
yeast,3206402.0,2635503.0,2668500.0,2694950.0,2647528.0
zoo,462524.0,510360.0,480387.0,487201.0,528860.0
