folds:,0,1,2,3,4
molec-biol-promoter,78993.0,61636.0,52431.0,50084.0,38935.0
molec-biol-splice,1.6185887E7,2.0081544E7,2.0120848E7,2.0167949E7,2.0584359E7
monks-1,967263.0,984619.0,1106029.0,1049061.0,1006382.0
monks-2,2933341.0,2513795.0,2664133.0,2692348.0,2423411.0
monks-3,404487.0,435562.0,465168.0,433679.0,456344.0
mushroom,2.3602693E8,2.3804451E8,3.04209562E8,3.38325178E8,3.35459713E8
musk-1,480263.0,503431.0,474142.0,433568.0,450222.0
musk-2,1.46110552E8,1.45680248E8,1.53310565E8,1.46391878E8,1.45905677E8
nursery,1.147915505E9,1.150428535E9,1.143640407E9,1.147070122E9,1.145867197E9
oocytes_merluccius_nucleus_4d,4465097.0,4066822.0,4505022.0,3773720.0,4198539.0
oocytes_merluccius_states_2f,1161462.0,1197334.0,1314203.0,1035685.0,1070249.0
oocytes_trisopterus_nucleus_2f,2152149.0,2849846.0,2172273.0,2273622.0,2117031.0
oocytes_trisopterus_states_5b,1212808.0,1058397.0,1140425.0,1129720.0,1103285.0
optical,1.15214426E8,1.10595576E8,8.5772413E7,8.181237E7,1.00724361E8
ozone,3543926.0,3732060.0,3756210.0,4182135.0,3586384.0
page-blocks,7.0072286E7,6.8668191E7,9.471941E7,7.3753048E7,7.1518148E7
parkinsons,69031.0,64960.0,67732.0,59566.0,70209.0
pendigits,3.94235216E8,3.51122751E8,3.42185592E8,3.52107702E8,3.49344873E8
pima,4705760.0,6992923.0,4678419.0,5074845.0,6528516.0
pittsburg-bridges-MATERIAL,103343.0,122756.0,107550.0,125745.0,106481.0
pittsburg-bridges-REL-L,140636.0,116205.0,154767.0,136752.0,113727.0
pittsburg-bridges-SPAN,122205.0,133539.0,137041.0,122750.0,142078.0
pittsburg-bridges-T-OR-D,64042.0,43540.0,76653.0,47919.0,53800.0
pittsburg-bridges-TYPE,475073.0,795569.0,468593.0,586909.0,489556.0
planning,235759.0,257086.0,291303.0,215958.0,261774.0
plant-margin,3.26462899E8,3.26917574E8,3.28746398E8,3.40021791E8,3.25394864E8
plant-shape,3.0774255E8,3.39055542E8,2.75588564E8,3.33041368E8,3.31484057E8
plant-texture,1.89818503E8,2.37675313E8,2.85881441E8,3.24917054E8,2.69143316E8
post-operative,95817.0,121798.0,112022.0,132258.0,113979.0
primary-tumor,3146779.0,3736871.0,3750854.0,3511635.0,3507850.0
ringnorm,2.27308996E8,2.27668352E8,2.29237043E8,2.27607633E8,2.37486925E8
seeds,176942.0,179918.0,151793.0,172921.0,180933.0
semeion,2.7996183E7,3.3609011E7,2.7546123E7,3.3377419E7,2.3104079E7
soybean,6629918.0,7007995.0,6540035.0,6487671.0,6599153.0
spambase,1.54222897E8,1.95944155E8,2.43819421E8,2.0814189E8,2.24388947E8
spect,236865.0,218327.0,249384.0,204072.0,295520.0
spectf,161093.0,154233.0,168194.0,131160.0,129423.0
statlog-australian-credit,7885420.0,7267246.0,7391050.0,7312064.0,6628753.0
statlog-german-credit,4008778.0,3776779.0,4124483.0,4273393.0,4173518.0
statlog-heart,181901.0,251108.0,239121.0,176332.0,151690.0
statlog-image,1.6645E7,1.4067125E7,1.1862438E7,1.3060635E7,1.2263311E7
statlog-landsat,1.44590349E8,1.39553343E8,1.12622293E8,1.46876664E8,1.27695281E8
statlog-shuttle,1.992461469E9,1.963008264E9,2.056155162E9,2.028045405E9,1.973393058E9
statlog-vehicle,2874013.0,2760059.0,2442408.0,2392912.0,2316493.0
steel-plates,1.7607043E7,1.7242225E7,2.1264769E7,2.2127833E7,1.8089309E7
synthetic-control,1879310.0,1496725.0,1729090.0,1565135.0,1492819.0
teaching,303441.0,269768.0,293607.0,319422.0,304928.0
thyroid,1.62381281E8,1.56837866E8,1.37007841E8,1.25005694E8,1.78975551E8
tic-tac-toe,1698629.0,1615659.0,1448221.0,1492373.0,1479651.0
titanic,7376101.0,8690171.0,7939291.0,8857256.0,8701403.0
trains,11832.0,9875.0,12267.0,10186.0,11003.0
twonorm,2.94349804E8,2.92759566E8,2.99053852E8,3.39757091E8,2.74889254E8
vertebral-column-2clases,335814.0,417703.0,360152.0,391587.0,286945.0
vertebral-column-3clases,367994.0,248434.0,332952.0,305539.0,333497.0
wall-following,1.6470779E8,1.53796492E8,1.92152576E8,1.81990944E8,1.70651016E8
waveform,1.09585471E8,1.08428449E8,1.07863618E8,9.8077207E7,9.9635014E7
waveform-noise,1.71611514E8,1.73149382E8,1.56477321E8,1.73379051E8,1.58782298E8
wine,121415.0,143274.0,164750.0,173590.0,164306.0
wine-quality-red,3.0186152E7,3.3631531E7,3.3031349E7,3.781878E7,3.2313925E7
wine-quality-white,5.78147741E8,3.89204368E8,6.91794518E8,6.08891657E8,3.16569432E8
yeast,3.3097587E7,3.0955357E7,3.1489882E7,2.7963731E7,3.1928905E7
zoo,512182.0,510350.0,653753.0,544624.0,603388.0
