TRAINTESTDIFFSNLLRANKS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_pb,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
chess-krvk,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,1.0,9.0,8.0,6.0,5.0,3.0,2.0,4.0,7.0
chess-krvkp,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
congressional-voting,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
conn-bench-sonar-mines-rocks,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
conn-bench-vowel-deterding,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
connect-4,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
contrac,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
credit-approval,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
cylinder-bands,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
dermatology,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,1.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
echocardiogram,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
ecoli,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
energy-y1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
energy-y2,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
fertility,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
flags,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,1.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
glass,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
haberman-survival,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
hayes-roth,16.0,14.0,13.0,12.0,11.0,10.0,9.0,7.0,17.0,6.0,5.0,3.0,1.0,2.0,4.0,8.0,15.0
heart-cleveland,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
heart-hungarian,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
heart-switzerland,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
heart-va,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
hepatitis,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
hill-valley,3.0,1.0,2.0,4.0,5.0,6.0,7.0,8.0,16.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0
horse-colic,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
ilpd-indian-liver,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
image-segmentation,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
ionosphere,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
iris,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,1.0,9.0,8.0,7.0,6.0,5.0,3.0,2.0,4.0
led-display,6.0,4.0,1.0,2.0,3.0,5.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
lenses,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
letter,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
libras,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
low-res-spect,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
lung-cancer,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
lymphography,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,14.0,9.0,10.0,11.0,12.0,13.0,15.0,16.0,17.0
magic,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
mammographic,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
miniboone,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
molec-biol-promoter,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
molec-biol-splice,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
monks-1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
monks-2,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
monks-3,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
mushroom,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
musk-1,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,17.0,8.0,7.0,5.0,3.0,1.0,2.0,4.0,6.0
musk-2,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
nursery,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
oocytes_merluccius_nucleus_4d,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
oocytes_merluccius_states_2f,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
oocytes_trisopterus_nucleus_2f,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
oocytes_trisopterus_states_5b,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
optical,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
ozone,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,1.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
page-blocks,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
parkinsons,1.0,2.0,3.0,4.0,5.0,6.0,8.0,9.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
pendigits,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
pima,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
pittsburg-bridges-MATERIAL,1.0,2.0,3.0,4.0,5.0,6.0,8.0,9.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
pittsburg-bridges-REL-L,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
pittsburg-bridges-SPAN,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
pittsburg-bridges-T-OR-D,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
pittsburg-bridges-TYPE,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
planning,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
plant-margin,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
plant-shape,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
plant-texture,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
post-operative,2.0,3.0,8.0,11.0,13.0,12.0,9.0,7.0,1.0,5.0,4.0,6.0,10.0,14.0,15.0,16.0,17.0
primary-tumor,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
ringnorm,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
seeds,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,1.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
semeion,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
soybean,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
spambase,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
spect,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
spectf,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
statlog-australian-credit,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
statlog-german-credit,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
statlog-heart,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
statlog-image,8.0,10.0,12.0,14.0,16.0,17.0,15.0,13.0,1.0,11.0,9.0,7.0,6.0,5.0,4.0,3.0,2.0
statlog-landsat,2.0,4.0,6.0,8.0,10.0,12.0,13.0,16.0,17.0,15.0,14.0,11.0,9.0,7.0,5.0,3.0,1.0
statlog-shuttle,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,1.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
statlog-vehicle,1.0,2.0,3.0,4.0,5.0,6.0,8.0,9.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
steel-plates,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,12.0,13.0,15.0,16.0,14.0,11.0
synthetic-control,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,1.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
teaching,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
thyroid,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
tic-tac-toe,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
titanic,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
trains,13.0,12.0,11.0,10.0,9.0,7.0,6.0,5.0,17.0,4.0,2.0,1.0,3.0,8.0,14.0,15.0,16.0
twonorm,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,1.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
vertebral-column-2clases,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,17.0,8.0,7.0,6.0,5.0,4.0,2.0,1.0,3.0
vertebral-column-3clases,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
wall-following,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
waveform,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,1.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
waveform-noise,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,1.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
wine,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,1.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
wine-quality-red,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,17.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0
wine-quality-white,16.0,15.0,14.0,13.0,12.0,10.0,9.0,7.0,17.0,5.0,3.0,1.0,2.0,4.0,6.0,8.0,11.0
yeast,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
zoo,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
