TRAINAUROCSTDDEVS:,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
statlog-heart,0.022333063289828342,0.023188450024945337,0.023745488394647272
statlog-image,5.948291778925886E-4,5.995132159476184E-4,5.985437823210394E-4
statlog-landsat,4.794822026927364E-4,4.639478148570433E-4,4.692051291557794E-4
statlog-shuttle,4.3404157294001554E-5,4.277250734181018E-5,4.295763203069433E-5
statlog-vehicle,0.0057002931375027075,0.0056687119372596205,0.006091689985428439
steel-plates,0.005172738210498673,0.005279030010309699,0.005299243068508006
synthetic-control,3.477718898305484E-4,1.7550714692194665E-4,2.95819834023643E-4
teaching,0.037530361819602356,0.04029871511905545,0.04071205798252921
thyroid,0.0011708977450561515,0.0012741410103966138,0.0013198244247542388
tic-tac-toe,0.0018300407088605308,0.0017866322919350898,0.0017668779486306133
titanic,0.017399224907163724,0.01687965227041133,0.01743485378270768
trains,0.4468922058820906,0.4139277798077241,0.4190163632170922
twonorm,4.2751952608033024E-4,4.1109499019439434E-4,5.34566147259469E-4
vertebral-column-2clases,0.024040765198426607,0.02234936433242664,0.02266312474339018
vertebral-column-3clases,0.008878120116437028,0.009346140437803626,0.009694020510870158
wall-following,5.030060988347861E-4,5.644527545748136E-4,7.304825947341073E-4
waveform,0.0014897952074833523,0.0014388901052502909,0.0016127823244653566
waveform-noise,0.0025258371757809223,0.0017672663109073096,0.0018256890355490202
wine,0.0070003880048224955,0.0028354687774246375,0.002891952315942897
wine-quality-red,0.011318731947256726,0.01131445369096999,0.011505211784718057
wine-quality-white,0.005453691892009839,0.005497949667914166,0.005482211399037981
yeast,0.008200879162129235,0.007938905909822228,0.008341238488244605
zoo,0.009080572848109505,0.008648672159304458,0.008667161953648967
