TRAINACCSTDDEVS:,SMLRE-A,SMM5-A,SMLR-A,ES-A,NBC-A,WMV-A,CAWPE-A,RC-A,MV-A,PB-A
fertility,0.021399323224876955,0.02310396293816876,0.01634400308313754,0.03059561985028232,0.2051565144037567,0.01870521471331631,0.01788854381999833,0.0036514837167011096,0.01870521471331631,0.039421098266102975
flags,0.044832996836749434,0.04089472913870717,0.042650326226969494,0.04677178397817042,0.04270293045911085,0.04107730938637547,0.046355276526814024,0.04345566700915691,0.03907147885312399,0.04806713630862439
glass,0.03212688893634311,0.0419766016041333,0.029672278841970635,0.03315536194021112,0.036536244706615775,0.03043545443899302,0.040245810772674404,0.028230034819326434,0.03107277331329327,0.03615185332835269
haberman-survival,0.02766954295748378,0.03312532609592994,0.021781104915649146,0.025943563822973973,0.23497152345978198,0.02303333658415006,0.024621219079260893,0.019481867854196016,0.02303333658415006,0.04155866858283223
hayes-roth,0.0473802470536133,0.04937324386075078,0.050320950799708136,0.03997358083050987,0.04841839907320842,0.04993886314534956,0.044017072227608985,0.05221766987483798,0.05508573823631103,0.04968003418361212
heart-cleveland,0.028485841523557563,0.047350760377225264,0.0289880408687783,0.028806838977974265,0.033649079280100185,0.028536906712183636,0.0317404866531018,0.022567056313381705,0.03011769166475548,0.027741739073920118
heart-hungarian,0.02524466273885184,0.037911742651932305,0.03028249608081208,0.027997086904188423,0.02381790007145736,0.024586043827558385,0.022036095329069486,0.023950411442936134,0.024586043827558385,0.03392434922818493
heart-switzerland,0.06300067509490433,0.06534017181917855,0.05521373330355095,0.08415214895841769,0.09623993550355009,0.05707070497905194,0.07670905446936586,0.05965361654391372,0.06865972108307616,0.07100200550868324
heart-va,0.06388072555253031,0.061949580678278174,0.04266846271582247,0.058568039984362996,0.044855241357795644,0.053930074410003,0.05355473713085333,0.045459060368931235,0.04853223428447147,0.05524171722472448
hepatitis,0.027216869275887026,0.037280260528953835,0.02722755163488113,0.03568611572064785,0.04510882965769398,0.030108346106330463,0.034947806565385854,0.027707493592938646,0.030108346106330463,0.033092946399689065
hill-valley,0.019799530088803724,0.023842969621586423,0.02296240839213326,0.045128178812108906,0.02506323394582241,0.01894276688521461,0.02059847797462651,0.026092839322172125,0.01894276688521461,0.023494585887115324
horse-colic,0.021317277486793927,0.026653563679460777,0.02044249670977968,0.019024862312317817,0.019134296098432667,0.01872266130106225,0.01798176195207683,0.01872266130106225,0.01872266130106225,0.02387098204432096
ilpd-indian-liver,0.018182364819142555,0.020071815170654275,0.018503520413430088,0.018088058088180994,0.19565160365744436,0.017567275612995016,0.019447738912263614,0.007536040480370607,0.017567275612995016,0.02233145193305676
image-segmentation,0.0027070454562843588,0.00428840995578799,0.003672812820984915,0.0035979173023509897,0.0036271347237643893,0.003453861111511525,0.004001224608213566,0.0035102786512189645,0.0036402948158409023,0.0038676374605779097
ionosphere,0.013479378434276238,0.0162273317595856,0.01254931627472873,0.01415175285410035,0.01354603968619317,0.01272749816251781,0.013315493577917108,0.01272749816251781,0.01272749816251781,0.01397695902307522
iris,0.015554460826284654,0.015501822906031455,0.017629651094141077,0.022822542686159193,0.017623854726700458,0.016847297042093184,0.021565783409107392,0.016847297042093184,0.016847297042093184,0.019305965568015757
led-display,0.012398331562502552,0.0123709806733862,0.016187440590262475,0.01857144590460819,0.018473070151181114,0.018982133495698328,0.019566686063604836,0.019306717191292115,0.01927704983466925,0.020605506705701986
lenses,0.0,0.11180870906515965,0.09886791508775132,0.13395646165196665,0.15536386656646634,0.11618357280412615,0.13951428179486283,0.10240760872273565,0.11382951192350776,0.10923014451335962
letter,0.001223610155924705,0.0012450950006243032,0.0015526377946457088,0.0016760175179446957,0.001972496891173749,0.002056273892989417,0.0020641989291843963,0.0021850335090658167,0.002143099636467086,0.0016699354481240563
libras,0.018289451721529525,0.019972309481369018,0.017292424791168635,0.027679263367144553,0.020352366361621622,0.029191970414034995,0.030880370390206704,0.03226029371076918,0.030793512076082667,0.03376949636331224
low-res-spect,0.007355963438931723,0.011047948698767032,0.008949026329611592,0.015260514410906798,0.014392335242148372,0.01502307542569386,0.01695985511612297,0.013692967584954965,0.013888493075642987,0.014431814182186952
lung-cancer,0.16877592511702022,0.06296221170012323,0.13740897370128285,0.19910399549409188,0.08987006371695985,0.14152968360381565,0.16510378329783743,0.13998722802533492,0.18814141036396537,0.1842315162951877
lymphography,0.033309490786013474,0.02797763484924289,0.031223870062976205,0.03494022756154164,0.03556431878054413,0.036261018027060644,0.0381537498199986,0.03645382614086183,0.03761572469630385,0.03897038404806164
magic,0.002928549319640109,0.0028943255127126086,0.0028825950955996887,0.0033481733555900594,0.0027925715014081058,0.002680941249214892,0.002640654037685396,0.002680941249214892,0.002680941249214892,0.002906305957580928
mammographic,0.013420936173672009,0.016486090735509853,0.013342459759704575,0.01449927883880664,0.013790540201244672,0.014001459511588833,0.01377515694699816,0.014001459511588833,0.014001459511588833,0.01918321374679364
miniboone,5.295363952831327E-4,5.25296510058035E-4,5.119205975439878E-4,0.0011376375558982206,6.368565329933759E-4,8.395294552071257E-4,6.990729765335123E-4,8.395294552071257E-4,8.395294552071257E-4,5.309134987456534E-4
molec-biol-promoter,0.03757261893363214,0.04030190258160194,0.03181388653059748,0.049977890779374486,0.04021214910097847,0.0437801401703098,0.03843942777361654,0.0437801401703098,0.0437801401703098,0.049378921641413796
molec-biol-splice,0.005659737476701326,0.0051214732337793376,0.0054794213005636624,0.004394505854265005,0.005798395423579506,0.005158394666070332,0.00513483782125785,0.005042381133663808,0.005575788235572764,0.0053732105529230864
monks-1,0.005699304944817546,0.004439187786214092,0.007716895375238212,0.007517741288889074,0.0084746970168558,0.01023541017750179,0.0077284505033104935,0.01023541017750179,0.01023541017750179,0.007866733459632477
monks-2,0.028103984982613007,0.03259116303610501,0.032440927747267784,0.024437738543778953,0.05697571797999467,0.024446882497712482,0.021201460225862084,0.01781306364078771,0.024446882497712482,0.023208753358147784
monks-3,0.00873726110286036,0.008193096622289104,0.00768358362040607,0.007409648291384441,0.010261417935740832,0.008696876240764314,0.008228673337896262,0.008696876240764314,0.008696876240764314,0.008668408484381156
mushroom,0.0,0.0,0.0,4.4946869974174216E-5,0.0,0.0,0.0,0.0,0.0,0.0
musk-1,0.01908757781122681,0.021143070221785895,0.01731394434586386,0.01753707138981019,0.0195938608462975,0.0195938608462975,0.01735644130734726,0.0195938608462975,0.0195938608462975,0.02277169367018839
musk-2,0.0014572851299538528,0.0020306679755117516,0.0017253429646008006,0.0018565432525963358,0.0018395312400294784,0.0016844331499589944,0.0018600974282007195,0.0016844331499589944,0.0016844331499589944,0.0017923947248015804
nursery,2.134233973097032E-4,1.6083526244898725E-4,3.048942321133711E-4,5.413004872647959E-4,0.004626033322455962,9.022079338083574E-4,8.290487640034811E-4,9.022079338083574E-4,9.022079338083574E-4,3.137438411929193E-4
oocytes_merluccius_nucleus_4d,0.0116554539557716,0.015027436347315145,0.01537555682514464,0.014826714166593199,0.015560261256449263,0.012125232394124422,0.012679482976775331,0.013205481494471814,0.012125232394124422,0.015450819080510056
oocytes_merluccius_states_2f,0.006556986647638311,0.008593012174617729,0.007966130515862683,0.008517337750595202,0.008075222935166153,0.0094378348273424,0.009027149936815066,0.009431511476127218,0.0094378348273424,0.008301886868253306
oocytes_trisopterus_nucleus_2f,0.009513407519827287,0.012859393577512061,0.01143736120047172,0.011213817733817985,0.01110710824511435,0.009643249830877425,0.009831411851350585,0.009643249830877425,0.009643249830877425,0.015136122692276245
oocytes_trisopterus_states_5b,0.007607938773324098,0.009722093250510246,0.007279758017391044,0.006584558924098622,0.014525919456258269,0.0066683459680206905,0.006671259454523388,0.006547352951097055,0.0066332843166123775,0.008184509180019992
optical,0.0011939030165108977,0.0012214053488696795,0.0014268557853435065,0.0013963613590495289,0.0015748246166392115,0.0015906551725715762,0.00132264123087974,0.001497831966238448,0.0016793937282602275,0.0013585004998877992
ozone,0.0015878035600188408,0.002073577466140999,0.0013738409643733816,0.0014814227106653645,1.0586274101406941E-17,0.0016179565418922572,0.0015015855803501425,1.440995941870849E-4,0.0016179565418922572,0.0021540275902794505
page-blocks,0.002382524453895462,0.002530402349013494,0.002625621010516468,0.0026163872429246,0.2662500474233689,0.002471915020038243,0.002817612464712877,0.002814092681727859,0.0024966564349863775,0.0035419073843370574
parkinsons,0.01904468256259957,0.023560678916427453,0.02140062020227121,0.022259613156672575,0.023872310989106083,0.024478688470420156,0.022061157963790677,0.02209435761833527,0.024478688470420156,0.025741181680937524
pendigits,8.07008351707928E-4,6.519060739374027E-4,8.279779418708975E-4,7.953112706107679E-4,8.628543673889157E-4,8.876628394198114E-4,8.914527646926749E-4,8.286218174993021E-4,8.177933237295536E-4,0.0010115605015690425
pima,0.015812453148356363,0.018909009732033473,0.013653796373605294,0.013430748307513486,0.01528199502051849,0.017995474566819786,0.01797315264099433,0.017233426536298356,0.017995474566819786,0.025487396482771388
pittsburg-bridges-MATERIAL,0.026314648435834566,0.029742198662552358,0.03151181725871869,0.03549573142790724,0.04412829786098409,0.03632435290391726,0.03653438946083817,0.028783456768205783,0.03627751297095326,0.047536753250619505
pittsburg-bridges-REL-L,0.06002298410350534,0.05476805848197521,0.04991947538775327,0.054198443375873935,0.13535648972378395,0.056160688996002774,0.05560534167675356,0.04502362087595363,0.05950369446658261,0.06822545451426586
pittsburg-bridges-SPAN,0.06925295357909059,0.06269484328048991,0.06007549444408295,0.06210287649167019,0.07132412178127077,0.0709384696441777,0.060346146787955614,0.06680558283822668,0.06967133335730372,0.06435798912138695
pittsburg-bridges-T-OR-D,0.02946055602905137,0.03646542599800716,0.03350325909241599,0.04037611467583069,0.32996883469793764,0.03730409667262016,0.04279888600028083,0.024739737331368476,0.03730409667262016,0.046836677984542746
pittsburg-bridges-TYPE,0.07421623483002181,0.055443416500405504,0.052106967751366244,0.06547544366143639,0.05901104512299536,0.06764975350092486,0.059640484283765574,0.04420083310107431,0.06379350057486799,0.06308295897202171
planning,0.0341133693301697,0.04041743632576204,0.02409012564635938,0.03299018175943167,0.08000034006593028,0.021222978394075154,0.02204423523492436,0.0020063097344511505,0.021222978394075154,0.046167678085169424
plant-margin,0.0049800247541276635,0.007289305857559931,0.0031225565159660913,0.013937527382582245,0.006691181578730347,0.011155896332814585,0.010470350173638928,0.010897659376446737,0.01099315683170384,0.014091564791600038
plant-shape,0.00941776643969491,0.008232435150412484,0.004171477108215723,0.012554765088872896,0.012013821063746714,0.011387332269100455,0.012519811885774175,0.01037410846467211,0.011131721784389753,0.011356931146109457
plant-texture,0.0020717947103746277,0.007812100467108829,0.003394825908700419,0.010265477285992735,0.008892113195586242,0.010819413465750993,0.010103808906888782,0.010458349739215419,0.012074572245628312,0.01393967379948975
post-operative,0.05458409904278678,0.054584099042786785,0.034860707232577746,0.05678586616652164,0.12190484742744674,0.04082309104306291,0.045926749879314166,0.01514323083246799,0.04285802130368006,0.05943778981861084
primary-tumor,0.027393020428355785,0.030636743841115806,0.028872364885877286,0.021551327206389453,0.0312885509602089,0.025067489391315232,0.025389869966011717,0.02805157050041529,0.027499416793974947,0.03281841155628818
ringnorm,0.001669808043446544,0.0022910482776867867,0.00196073648009983,0.0019158383316277257,0.0017485770331708511,0.0017485770331708511,0.0018756458632554881,0.0017485770331708511,0.0017485770331708511,0.0023777993590420494
seeds,0.016464090649607643,0.01922468331094643,0.02143981946473982,0.02458188955154721,0.02341991020077554,0.023247891552713486,0.023070071888862436,0.023419910200775537,0.023247891552713486,0.020380307833216163
semeion,0.005849518361803795,0.006059030022157702,0.007194210454171487,0.008210479676643569,0.007981894069945168,0.007349174854142086,0.006951284410847675,0.007198401367701799,0.007163657327208339,0.009404603924698598
soybean,0.00875906130777936,0.009399184459100785,0.010031668425322732,0.012632387672615954,0.012013925552910169,0.011439035328762422,0.01197786939683991,0.012632387672615963,0.011686691980146057,0.013563102948943032
spambase,0.0033579906312994345,0.003644097588279613,0.0030340039582515896,0.0033447970096923837,0.003610552679345219,0.0034471686291359977,0.003452836868003235,0.0034471686291359977,0.0034471686291359977,0.0030461186518993175
spect,0.030633215069754787,0.042898036032129806,0.03193944483104859,0.051448647834982056,0.03765082921148236,0.04127815130553197,0.0393941068506475,0.03778637280991284,0.04127815130553197,0.04032995646242223
spectf,0.022784260808745134,0.0267170660025449,0.02225185485208745,0.02259380988694165,0.034848313473829405,0.02000849103972116,0.023273815420380966,0.023084588571145863,0.02000849103972116,0.032066153695934414
statlog-australian-credit,0.01519504479179848,0.011034727198909118,0.01072720365861682,0.013650700048085242,0.0548586466279993,0.013951581918680067,0.015222665530553188,0.005189739223388625,0.013951581918680067,0.02162834785544238
statlog-german-credit,0.01459034478412147,0.01707064429222647,0.013640541331490194,0.013559405269567249,0.02914852966461939,0.014124080684151238,0.016625143677540085,0.012511879412653477,0.014124080684151238,0.01779952214262359
statlog-heart,0.026996680810754983,0.03448966394129416,0.03196027365539071,0.03117004695625428,0.028629347930656433,0.029442791078399654,0.03010370001642492,0.029442791078399654,0.029442791078399654,0.03148310916584525
statlog-image,0.0026457167499055337,0.0032026158491689715,0.0034293262699525992,0.0037301921751499594,0.004248137565011108,0.004268775428512956,0.003900910935435084,0.004250063951194327,0.004342319176248831,0.0040187364620273384
statlog-landsat,0.003238377732583523,0.0069389958302942135,0.0031940095641387694,0.002567672008926544,0.003846960700145432,0.0035721936659756847,0.0032830264349955067,0.0036900877112184764,0.0036007020090074106,0.003310013415689468
statlog-shuttle,4.4443295195673645E-5,4.380824770224489E-5,4.682464679801159E-5,7.172938967218012E-5,0.00356564657832607,1.0519802294520554E-4,1.1888651529333021E-4,9.353975795060706E-5,9.371495353026548E-5,6.81829274979965E-5
statlog-vehicle,0.015162854808687077,0.030184590326991247,0.014312121566822843,0.015146457578750392,0.013696374271226395,0.015404205419996793,0.014298585936071622,0.015374847273586617,0.014939649796099122,0.020169639275198253
steel-plates,0.008709150706012756,0.030330787730138573,0.01030543567128175,0.009117258649778134,0.01126634223790663,0.012457621142363758,0.008899632906503025,0.011833377746083326,0.01173635907267297,0.011896056749505541
synthetic-control,0.0038307087466832764,0.003688025564858494,0.00517386101507575,0.006520426691567209,0.006720092439916414,0.007143842296595071,0.0059810257666177225,0.007254716174244021,0.007186620177701341,0.009319091487683284
teaching,0.05653421527541664,0.05435797339885523,0.052475865644082374,0.06903679586011294,0.054299674599007586,0.07161840128276287,0.06679833740407702,0.06748766501930069,0.07180077446157698,0.07096344822087769
thyroid,6.823012380348447E-4,8.459559135624085E-4,9.334306341059247E-4,9.41801952706182E-4,0.0010482285867802472,0.0013081920879414856,0.0012335191373393812,0.0013194318410367821,0.0013855003363634716,9.973713144114475E-4
tic-tac-toe,0.002432370956300124,0.002682143935246797,0.0031968329581994986,0.003623584312004238,0.0033677750218420073,0.0035671528470004477,0.0033416417977928953,0.0035671528470004477,0.0035671528470004477,0.0041998895835988845
titanic,0.00704455281248701,0.008027926936967675,0.007227458381059536,0.008302774786509936,0.007875310702841296,0.00775620008047886,0.007379119910823182,0.007175486276607682,0.00775620008047886,0.007269134431244226
trains,0.0,0.0,0.0,0.3794278814760182,0.0,0.12253312946339022,0.18491998891101682,0.159920957487373,0.20482681218167148,0.0
twonorm,0.0017196974549562852,0.00220703961325137,0.0019452459387480916,0.0018398694629183055,0.001973372262304734,0.001973372262304734,0.0020454671755678615,0.001973372262304734,0.001973372262304734,0.002262523056711389
vertebral-column-2clases,0.028732852377894053,0.03720020724142065,0.029411684498585153,0.02806573073458748,0.03671866437020382,0.034069285404496184,0.03071893623492611,0.034069285404496184,0.034069285404496184,0.03890692546039335
vertebral-column-3clases,0.01906970794345618,0.018846367570070233,0.020866674076198265,0.0266105716891961,0.02256633902445237,0.027420772499284585,0.029866079902104447,0.029133839508290692,0.027813154997150175,0.029527761809048248
wall-following,8.724857714042429E-4,9.020137878377429E-4,9.796389985531337E-4,0.0012656654877894332,0.0018691660534735398,0.0017988795743812869,0.0014107359047797136,0.0018180244040255623,0.001848586536096845,9.701261757188299E-4
waveform,0.0038031301068642753,0.005633430950786109,0.0039077032521706604,0.0049740772379686824,0.004921850992983161,0.004921850992983161,0.00465962217704524,0.004921850992983161,0.004921850992983161,0.005648065318864145
waveform-noise,0.005086136337269269,0.0065236487956201565,0.006028271289111537,0.0058923211185694345,0.005663409393380511,0.005697382718301059,0.005726367544339156,0.005730801384171708,0.005642653232265054,0.0054302218432929
wine,0.007857861446403639,0.009784475696852478,0.010308944764996995,0.014420382134938032,0.014123987869678745,0.014337802317043092,0.014044949824046657,0.014337802317043092,0.014337802317043092,0.01749027739524966
wine-quality-red,0.014287659933177302,0.05880583046118838,0.016033527158373227,0.015818471907664465,0.05003268311439457,0.012841774364451868,0.016392289592819985,0.012419923664451563,0.012600635122624784,0.016510782476058236
wine-quality-white,0.007954517481958138,0.033984020389633815,0.008553157090436666,0.008270272138117565,0.06549614179561247,0.009116976891513787,0.008670050880918774,0.013122378217553545,0.008894702402103568,0.009951022330779892
yeast,0.016993176712760554,0.035478779933955394,0.014231072740550977,0.016325350864628427,0.03825745612090739,0.015320546694378647,0.01746736981945218,0.015162779858150616,0.01545479514575454,0.01986006788131446
zoo,0.0037260037925521566,0.03774511536520587,0.006227113808762547,0.030639599944495763,0.023928191926655608,0.025223583357471567,0.028728498255146572,0.026761477702693475,0.027719271486602578,0.028096655174730978
