TRAINACCRANKS:,SMLRE-A,SMM5-A,SMLR-A,ES-A,NBC-A,WMV-A,CAWPE-A,RC-A,MV-A,PB-A
musk-1,2.0,1.0,3.0,4.0,7.5,7.5,5.0,7.5,7.5,10.0
musk-2,2.0,1.0,3.0,4.0,5.0,9.0,6.0,9.0,9.0,7.0
nursery,2.0,1.0,3.0,5.0,10.0,8.0,6.0,8.0,8.0,4.0
oocytes_merluccius_nucleus_4d,1.0,2.0,3.0,4.0,9.0,6.5,5.0,8.0,6.5,10.0
oocytes_merluccius_states_2f,2.0,1.0,3.0,4.0,9.0,5.5,8.0,7.0,5.5,10.0
oocytes_trisopterus_nucleus_2f,1.0,2.0,3.0,4.0,9.0,7.0,5.0,7.0,7.0,10.0
oocytes_trisopterus_states_5b,1.0,2.0,3.0,4.0,10.0,6.0,5.0,7.0,8.0,9.0
optical,2.0,1.0,3.0,4.0,6.0,7.0,5.0,8.0,9.0,10.0
ozone,1.0,2.0,3.0,4.0,10.0,6.5,8.0,5.0,6.5,9.0
page-blocks,2.0,1.0,3.0,4.0,10.0,5.0,7.0,9.0,6.0,8.0
parkinsons,1.0,2.0,3.0,4.0,8.0,8.0,5.0,6.0,8.0,10.0
pendigits,2.0,1.0,3.0,5.0,6.0,7.0,4.0,9.0,8.0,10.0
pima,1.0,2.0,3.0,4.0,9.0,6.5,8.0,5.0,6.5,10.0
pittsburg-bridges-MATERIAL,1.0,3.0,2.0,6.0,5.0,8.0,7.0,4.0,9.0,10.0
pittsburg-bridges-REL-L,2.0,1.0,3.0,5.0,10.0,7.0,6.0,4.0,8.0,9.0
pittsburg-bridges-SPAN,1.0,2.0,3.0,4.0,9.0,6.0,8.0,5.0,7.0,10.0
pittsburg-bridges-T-OR-D,1.0,2.0,3.0,6.0,10.0,6.0,8.0,4.0,6.0,9.0
pittsburg-bridges-TYPE,2.0,3.0,1.0,6.0,4.0,8.0,7.0,5.0,9.0,10.0
planning,1.0,2.0,3.0,7.0,10.0,5.5,8.0,4.0,5.5,9.0
plant-margin,2.0,3.0,1.0,5.0,4.0,6.0,9.0,7.0,8.0,10.0
plant-shape,2.0,3.0,1.0,5.0,4.0,8.0,6.0,7.0,9.0,10.0
plant-texture,1.0,3.0,2.0,5.0,4.0,6.0,9.0,7.0,8.0,10.0
post-operative,1.0,2.0,3.0,7.0,10.0,5.0,8.0,4.0,6.0,9.0
primary-tumor,1.0,3.0,2.0,6.0,4.0,7.0,8.0,5.0,9.0,10.0
ringnorm,2.0,1.0,3.0,4.0,7.5,7.5,5.0,7.5,7.5,10.0
seeds,1.0,2.0,3.0,4.0,5.5,7.5,9.0,5.5,7.5,10.0
semeion,2.0,1.0,3.0,6.0,4.0,7.0,5.0,8.0,9.0,10.0
soybean,1.0,2.0,3.0,5.0,4.0,6.0,7.0,9.0,8.0,10.0
spambase,2.0,1.0,4.0,3.0,5.0,8.0,6.0,8.0,8.0,10.0
spect,2.0,1.0,3.0,4.0,5.0,7.5,9.0,6.0,7.5,10.0
spectf,1.0,2.0,3.0,7.0,9.0,4.5,8.0,6.0,4.5,10.0
statlog-australian-credit,1.0,2.0,3.0,5.0,10.0,6.5,8.0,4.0,6.5,9.0
statlog-german-credit,1.0,2.0,3.0,4.0,10.0,5.5,7.0,8.0,5.5,9.0
statlog-heart,2.0,1.0,3.0,5.0,4.0,7.0,9.0,7.0,7.0,10.0
statlog-image,2.0,1.0,3.0,4.0,6.0,8.0,7.0,10.0,9.0,5.0
statlog-landsat,2.0,1.0,3.0,4.0,10.0,6.0,5.0,9.0,7.0,8.0
statlog-shuttle,1.0,2.0,3.0,4.0,10.0,6.0,9.0,8.0,7.0,5.0
statlog-vehicle,2.0,1.0,3.0,4.0,5.0,7.0,6.0,9.0,8.0,10.0
steel-plates,2.0,1.0,3.0,4.0,10.0,6.0,5.0,8.0,9.0,7.0
synthetic-control,1.0,2.0,3.0,4.0,6.0,7.0,5.0,8.0,9.0,10.0
teaching,2.0,1.0,3.0,6.0,4.0,7.0,8.0,5.0,9.0,10.0
thyroid,2.0,1.0,3.0,4.0,10.0,6.0,9.0,7.0,8.0,5.0
tic-tac-toe,2.0,1.0,3.0,4.0,5.0,9.0,6.0,9.0,9.0,7.0
titanic,1.0,2.0,3.0,4.0,10.0,7.5,6.0,9.0,7.5,5.0
trains,2.5,2.5,2.5,8.0,2.5,5.0,7.0,6.0,9.0,10.0
twonorm,2.0,1.0,4.0,3.0,7.5,7.5,5.0,7.5,7.5,10.0
vertebral-column-2clases,2.0,1.0,3.0,4.0,8.0,6.0,9.0,6.0,6.0,10.0
vertebral-column-3clases,2.0,1.0,3.0,5.0,4.0,6.0,9.0,8.0,7.0,10.0
wall-following,2.0,1.0,3.0,5.0,6.0,8.0,7.0,9.0,10.0,4.0
waveform,1.0,2.0,4.0,3.0,6.5,6.5,9.0,6.5,6.5,10.0
waveform-noise,1.0,2.0,4.0,3.0,7.0,6.0,9.0,5.0,8.0,10.0
wine,2.0,1.0,3.0,9.0,5.0,7.0,4.0,7.0,7.0,10.0
wine-quality-red,2.0,1.0,3.0,4.0,10.0,5.0,6.0,8.0,7.0,9.0
wine-quality-white,2.0,1.0,3.0,4.0,10.0,7.0,6.0,8.0,5.0,9.0
yeast,2.0,1.0,3.0,4.0,9.0,6.0,7.0,5.0,8.0,10.0
zoo,1.0,4.0,2.0,7.0,3.0,6.0,9.0,5.0,8.0,10.0
