TRAINTrainTimesSTDDEVS:,CAWPE-S(alpha=4),CAWPE-S(ConTie),CAWPE-S(RandTie)
mushroom,2.0524725767134915,12.901082552812488,26.428150265139287
musk-1,0.6260623155792927,0.8944271909999157,17.449730755753105
musk-2,7.3036756609887545,8.666821395612596,44.59503606209228
nursery,16.495349396849342,5.612076469440751,33.89708901481307
oocytes_merluccius_nucleus_4d,1.3256965204630415,1.1017227888394958,14.349696620606593
oocytes_merluccius_states_2f,0.571346463723366,1.855714999917697,16.561970008870098
oocytes_trisopterus_nucleus_2f,1.2793676598989838,0.6064784348631226,30.338246412775717
oocytes_trisopterus_states_5b,1.4558640835892125,0.9371024061116425,18.705245438019567
optical,4.821527396664008,3.9171007340786557,46.630967461942944
ozone,0.9855274566525747,0.6617635789938568,31.799461428244925
page-blocks,3.050532269364936,10.495154875563722,43.726211923689455
parkinsons,0.4901325178535608,0.466091599699399,5.572923044899132
pendigits,7.756347048722736,20.941516813181934,67.83953345100905
pima,1.0954451150103324,1.0283342182227606,28.87157453434007
pittsburg-bridges-MATERIAL,1.2410599844719317,0.1825741858350553,5.641492425024534
pittsburg-bridges-REL-L,0.4806604651504227,0.6102571532587294,13.335675081714367
pittsburg-bridges-SPAN,0.607425318241987,0.4025778999364489,22.061590901461493
pittsburg-bridges-T-OR-D,0.7648904962570576,0.2626128657194451,4.25670532570497
pittsburg-bridges-TYPE,0.682288239221013,0.5306686305052325,6.553405712816934
planning,0.6608945522512666,0.534983080621924,13.681979086526113
plant-margin,11.113003670237521,38.64309130681869,16.84615990213425
plant-shape,4.98226740608602,20.90880582241703,14.095935665958843
plant-texture,10.07677425123461,6.922892226635426,12.87231726318684
post-operative,0.7588557629520365,0.5477225575051661,3.1037611591959404
primary-tumor,1.0199166069132668,1.0080138659874616,31.611433985516847
ringnorm,2.4403221946687905,2.833299526505545,30.86509392482883
seeds,0.773854362727667,0.5713464637233658,7.803992494266939
semeion,1.3287276776598393,1.3628907749221193,33.38586664973703
soybean,2.661777126519868,3.6477043639029723,23.214046481020677
spambase,3.1236951298690814,2.2694877643740834,37.54384410106479
spect,0.8136762043449725,0.59209349991676,21.13133534193553
spectf,0.8683449709106095,0.7183954022841381,3.907111111982779
statlog-australian-credit,1.1591713250937243,1.3480509557543978,14.909265806757611
statlog-german-credit,0.802295557085754,1.5196036990935669,10.899172171453596
statlog-heart,0.7914775938769181,0.68144538746106,9.789978455590163
statlog-image,1.5789564428051406,3.1579128856102816,23.989940420503558
statlog-landsat,2.8245638458955438,8.037341013961807,38.84250545324102
statlog-shuttle,41.56132430711177,54.14522829508097,243.3030866101435
statlog-vehicle,1.1841869998335197,0.49013251785356116,39.925275029821606
steel-plates,1.0699661612438485,3.4107672646097296,32.70495059013923
synthetic-control,0.8550055454548938,0.5306686305052324,28.440722786941933
teaching,0.534983080621924,0.507416263404925,8.347964167815196
thyroid,4.880291116246073,5.156069963767401,38.26328932991553
tic-tac-toe,0.9732042112432561,0.5560534167675355,36.6810421140773
titanic,1.8659070704090002,2.202402032473563,48.24129961460145
trains,0.5683207771559354,0.507416263404925,15.909225256933855
twonorm,2.1719211264017724,3.5572493570883874,28.665249898163065
vertebral-column-2clases,0.5508613944197479,0.49013251785356116,10.62425115684292
vertebral-column-3clases,0.8469010445797932,0.5040069329937308,10.134951473949462
wall-following,2.69290254891094,2.264417410040947,32.93811682883351
waveform,1.7927055261387115,5.403383358983326,42.07459167202715
waveform-noise,3.2179453714743365,4.9868793365431845,35.98155657824024
wine,1.529780992514115,0.571346463723366,23.95532239950796
wine-quality-red,2.485821865063462,1.5668989800855393,38.74361645602994
wine-quality-white,3.1109742717580016,7.480319004814777,45.82946901159839
yeast,3.0552385763833056,4.603971299230473,30.396782195095778
zoo,1.11674815279973,0.466091599699399,18.97003081087422
