TRAINAUROCRANKS:,ES-A,CAWPE-A,SMM5-A,SMLRE-A,NBC-A,PB-A,SMLR-A,WMV-A,RC-A,MV-A
congressional-voting,1.0,2.0,9.0,8.0,4.0,3.0,10.0,5.0,6.0,7.0
conn-bench-sonar-mines-rocks,2.0,1.0,9.0,8.0,4.0,3.0,10.0,5.0,6.0,7.0
conn-bench-vowel-deterding,4.0,5.0,2.0,1.0,6.0,7.0,3.0,9.0,8.0,10.0
connect-4,1.0,3.0,9.0,8.0,4.0,2.0,10.0,5.0,6.0,7.0
contrac,2.0,3.0,4.0,1.0,6.0,9.0,5.0,7.0,8.0,10.0
credit-approval,2.0,1.0,8.0,9.0,5.0,3.0,10.0,6.0,4.0,7.0
cylinder-bands,1.0,2.0,9.0,8.0,4.0,3.0,10.0,5.0,6.0,7.0
dermatology,4.0,5.0,2.0,1.0,6.0,7.0,3.0,8.0,9.0,10.0
echocardiogram,1.0,2.0,8.0,9.0,4.0,3.0,10.0,5.0,6.0,7.0
ecoli,6.0,5.0,1.0,2.0,4.0,7.0,3.0,8.0,10.0,9.0
energy-y1,3.0,5.0,1.0,2.0,7.0,6.0,4.0,8.0,9.0,10.0
energy-y2,4.0,5.0,1.0,2.0,7.0,6.0,3.0,8.0,9.0,10.0
fertility,1.0,2.0,9.0,8.0,4.0,3.0,10.0,6.0,5.0,7.0
flags,5.0,7.0,2.0,1.0,4.0,6.0,3.0,8.0,9.0,10.0
glass,5.0,4.0,2.0,1.0,6.0,7.0,3.0,8.0,9.0,10.0
haberman-survival,1.0,2.0,9.0,8.0,4.0,3.0,10.0,5.0,6.0,7.0
hayes-roth,6.0,5.0,1.0,2.0,7.0,4.0,3.0,8.0,9.0,10.0
heart-cleveland,5.0,6.0,1.0,2.0,4.0,7.0,3.0,9.0,8.0,10.0
heart-hungarian,1.0,2.0,8.0,9.0,5.0,3.0,10.0,6.0,4.0,7.0
heart-switzerland,7.0,5.0,1.0,2.0,4.0,10.0,3.0,8.0,6.0,9.0
heart-va,6.0,5.0,1.0,2.0,4.0,9.0,3.0,8.0,7.0,10.0
hepatitis,1.0,2.0,9.0,8.0,4.0,3.0,10.0,5.0,6.0,7.0
hill-valley,1.0,2.0,9.0,8.0,3.0,6.0,10.0,4.0,5.0,7.0
horse-colic,1.0,2.0,9.0,8.0,4.0,3.0,10.0,5.0,6.0,7.0
ilpd-indian-liver,2.0,1.0,9.0,8.0,4.0,3.0,10.0,5.0,6.0,7.0
image-segmentation,4.0,6.0,1.0,2.0,7.0,5.0,3.0,9.0,8.0,10.0
ionosphere,1.0,2.0,9.0,8.0,4.0,3.0,10.0,5.0,6.0,7.0
iris,5.0,4.0,2.0,1.0,6.0,7.0,3.0,8.0,9.0,10.0
led-display,5.0,4.0,1.0,2.0,6.0,7.0,3.0,9.0,8.0,10.0
lenses,7.0,6.0,2.0,1.0,3.0,9.0,10.0,5.0,4.0,8.0
letter,4.0,5.0,1.0,2.0,7.0,6.0,3.0,8.0,9.0,10.0
libras,6.0,5.0,3.0,1.0,4.0,7.0,2.0,9.0,8.0,10.0
low-res-spect,5.0,4.0,1.0,2.0,6.0,7.0,3.0,8.0,9.0,10.0
lung-cancer,9.0,7.0,1.0,2.0,3.0,10.0,4.0,6.0,5.0,8.0
lymphography,5.0,6.0,2.0,1.0,4.0,7.0,3.0,8.0,9.0,10.0
magic,1.0,2.0,8.0,9.0,6.0,3.0,10.0,4.0,5.0,7.0
mammographic,1.0,2.0,9.0,8.0,4.0,3.0,10.0,6.0,5.0,7.0
miniboone,2.0,3.0,9.0,8.0,4.0,1.0,10.0,5.0,6.0,7.0
molec-biol-promoter,1.0,2.0,9.0,8.0,4.0,3.0,10.0,6.0,5.0,7.0
molec-biol-splice,3.0,6.0,1.0,4.0,7.0,2.0,5.0,9.0,8.0,10.0
monks-1,1.0,2.0,8.0,9.0,3.0,6.0,10.0,5.0,4.0,7.0
monks-2,1.0,2.0,9.0,8.0,4.0,3.0,10.0,5.0,6.0,7.0
monks-3,1.0,2.0,8.0,9.0,4.0,3.0,10.0,5.0,6.0,7.0
mushroom,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
musk-1,2.0,1.0,8.0,9.0,4.0,3.0,10.0,6.0,5.0,7.0
musk-2,1.0,2.0,8.0,9.0,5.0,3.0,10.0,4.0,6.0,7.0
nursery,8.0,9.0,1.0,2.0,4.0,5.0,3.0,6.0,7.0,10.0
oocytes_merluccius_nucleus_4d,1.0,2.0,9.0,8.0,4.0,3.0,10.0,6.0,5.0,7.0
oocytes_merluccius_states_2f,5.0,4.0,1.0,2.0,7.0,6.0,3.0,9.0,8.0,10.0
oocytes_trisopterus_nucleus_2f,2.0,1.0,9.0,8.0,4.0,3.0,10.0,6.0,5.0,7.0
oocytes_trisopterus_states_5b,4.0,5.0,1.0,2.0,7.0,6.0,3.0,9.0,8.0,10.0
optical,3.0,4.0,1.0,2.0,7.0,6.0,5.0,8.0,9.0,10.0
ozone,2.0,1.0,9.0,8.0,4.0,3.0,10.0,5.0,6.0,7.0
page-blocks,3.0,5.0,1.0,2.0,7.0,6.0,4.0,9.0,10.0,8.0
parkinsons,1.0,2.0,9.0,8.0,4.0,3.0,10.0,5.0,6.0,7.0
pendigits,4.0,5.0,1.0,2.0,7.0,6.0,3.0,8.0,9.0,10.0
pima,1.0,2.0,9.0,8.0,4.0,3.0,10.0,5.0,6.0,7.0
pittsburg-bridges-MATERIAL,5.0,4.0,1.0,2.0,7.0,6.0,3.0,9.0,8.0,10.0
pittsburg-bridges-REL-L,5.0,6.0,1.0,2.0,4.0,10.0,3.0,8.0,7.0,9.0
pittsburg-bridges-SPAN,5.0,6.0,1.0,2.0,4.0,10.0,3.0,8.0,7.0,9.0
pittsburg-bridges-T-OR-D,1.0,2.0,10.0,8.0,4.0,3.0,9.0,6.0,5.0,7.0
pittsburg-bridges-TYPE,6.0,5.0,1.0,3.0,4.0,7.0,2.0,9.0,8.0,10.0
planning,2.0,3.0,9.0,5.0,4.0,1.0,10.0,6.0,7.0,8.0
plant-margin,5.0,6.0,3.0,2.0,4.0,7.0,1.0,9.0,8.0,10.0
plant-shape,6.0,5.0,3.0,2.0,4.0,7.0,1.0,9.0,8.0,10.0
plant-texture,6.0,5.0,3.0,2.0,4.0,7.0,1.0,9.0,8.0,10.0
post-operative,8.0,9.0,2.0,1.0,4.0,10.0,3.0,6.0,5.0,7.0
primary-tumor,6.0,5.0,2.0,1.0,4.0,7.0,3.0,10.0,9.0,8.0
ringnorm,2.0,3.0,8.0,9.0,4.0,1.0,10.0,5.0,6.0,7.0
seeds,5.0,4.0,1.0,2.0,7.0,6.0,3.0,8.0,9.0,10.0
semeion,5.0,4.0,1.0,2.0,6.0,7.0,3.0,8.0,9.0,10.0
soybean,4.0,5.0,1.0,2.0,6.0,7.0,3.0,9.0,8.0,10.0
spambase,1.0,2.0,8.0,9.0,6.0,3.0,10.0,5.0,4.0,7.0
spect,1.0,2.0,8.0,9.0,4.0,3.0,10.0,5.0,6.0,7.0
spectf,1.0,2.0,8.0,10.0,4.0,3.0,9.0,5.0,6.0,7.0
statlog-australian-credit,1.0,3.0,9.0,8.0,4.0,2.0,10.0,5.0,6.0,7.0
statlog-german-credit,1.0,2.0,8.0,9.0,4.0,3.0,10.0,5.0,6.0,7.0
statlog-heart,1.0,2.0,8.0,9.0,4.0,3.0,10.0,6.0,5.0,7.0
statlog-image,5.0,6.0,1.0,2.0,7.0,4.0,3.0,9.0,8.0,10.0
statlog-landsat,2.0,5.0,1.0,3.0,7.0,6.0,4.0,8.0,9.0,10.0
statlog-shuttle,5.0,6.0,1.0,2.0,7.0,4.0,3.0,8.0,10.0,9.0
statlog-vehicle,4.0,5.0,1.0,2.0,6.0,7.0,3.0,9.0,8.0,10.0
steel-plates,4.0,5.0,1.0,2.0,7.0,6.0,3.0,8.0,9.0,10.0
synthetic-control,4.0,5.0,1.0,2.0,6.0,10.0,3.0,7.0,8.0,9.0
teaching,9.0,7.0,1.0,2.0,4.0,10.0,3.0,6.0,5.0,8.0
thyroid,3.0,6.0,1.0,2.0,7.0,5.0,4.0,9.0,8.0,10.0
tic-tac-toe,2.0,1.0,8.0,9.0,4.0,3.0,10.0,5.0,6.0,7.0
titanic,2.0,1.0,9.0,8.0,5.0,3.0,10.0,4.0,6.0,7.0
trains,8.0,5.0,2.5,2.5,2.5,9.5,2.5,6.5,6.5,9.5
twonorm,2.0,1.0,8.0,9.0,4.0,3.0,10.0,5.0,6.0,7.0
vertebral-column-2clases,1.0,2.0,8.0,9.0,4.0,3.0,10.0,6.0,5.0,7.0
vertebral-column-3clases,4.0,5.0,1.0,2.0,6.0,10.0,3.0,7.0,8.0,9.0
wall-following,3.0,6.0,1.0,5.0,7.0,2.0,4.0,8.0,9.0,10.0
waveform,5.0,4.0,1.0,2.0,10.0,6.0,3.0,7.0,8.0,9.0
waveform-noise,5.0,4.0,1.0,2.0,10.0,6.0,3.0,7.0,8.0,9.0
wine,5.0,4.0,2.0,1.0,6.0,10.0,3.0,8.0,7.0,9.0
wine-quality-red,4.0,5.0,1.0,2.0,7.0,6.0,3.0,8.0,10.0,9.0
wine-quality-white,4.0,5.0,1.0,2.0,7.0,6.0,3.0,8.0,10.0,9.0
yeast,4.0,5.0,1.0,2.0,6.0,7.0,3.0,9.0,10.0,8.0
zoo,6.0,7.0,4.0,1.5,3.0,5.0,1.5,9.0,8.0,10.0
