TRAINAUROC:,ES-A,CAWPE-A,SMM5-A,SMLRE-A,NBC-A,PB-A,SMLR-A,WMV-A,RC-A,MV-A
conn-bench-vowel-deterding,0.9986787878787879,0.9986053123830901,0.999824616535728,0.9998674148896374,0.9985382716049384,0.9957943883277218,0.9994702581369247,0.9938555929667043,0.9938778900112236,0.9937408155630382
connect-4,0.9350569349931704,0.9306159146591422,0.6546688577284261,0.6588171884487839,0.7797730941200632,0.9313706791001517,0.6497032557010614,0.7797577442904751,0.7788235344638323,0.7727158869498225
contrac,0.7278085980165945,0.7229527529378575,0.7185886445363325,0.7328132061836203,0.7090765780775891,0.6912828155763202,0.7125206869187792,0.6952606274423119,0.6930242729679218,0.6909634139099674
credit-approval,0.9227606109343064,0.9229351310041145,0.7808997479154518,0.7669312984065036,0.8568467759413216,0.9192918819651157,0.7520389191162185,0.8567874619306679,0.8569083712600771,0.853537738539275
cylinder-bands,0.8308717948717932,0.8283931623931609,0.5519829059829046,0.5615341880341866,0.7424017094017076,0.8203354700854683,0.5478183760683745,0.741485042735041,0.7408440170940154,0.7220512820512802
dermatology,0.9989134103827992,0.9987988883237288,0.9995815518592001,0.999792934136705,0.9985120267806807,0.997418449109871,0.9994477582710428,0.9955669844347741,0.9955568387863526,0.9954352956705073
echocardiogram,0.8427489177489178,0.8361111111111114,0.6720779220779222,0.6590909090909091,0.7255411255411257,0.803463203463204,0.6577922077922079,0.7229797979797981,0.7226551226551227,0.710894660894661
ecoli,0.9661942238020461,0.9665012491219047,0.989014015479635,0.9882432169886045,0.9727308095296702,0.9614277654722507,0.9816867637286033,0.9340461454561247,0.9339108752060754,0.9339233500948801
energy-y1,0.9940306605456306,0.9933819562777396,0.9975506436229329,0.9947077617643257,0.9880788190785735,0.9924048435555561,0.9935084551560573,0.9842203636082677,0.9841928695260871,0.9838090545882928
energy-y2,0.9866075458875209,0.9858397150442976,0.99245034276095,0.9894181720739904,0.9779482047448796,0.9848969412464473,0.988641348170704,0.963683266132089,0.9636250439638624,0.9631130775677338
fertility,0.6285353535353536,0.6268939393939394,0.1606060606060606,0.27007575757575764,0.45239898989899,0.5823232323232322,0.12095959595959593,0.4233585858585859,0.4275252525252526,0.3992424242424243
flags,0.8783127462707406,0.8779837319804903,0.9808696511717574,0.9876793267996097,0.9214672753671177,0.8781790897381191,0.9700475390869683,0.8035940154832087,0.8017507500685027,0.8011911009675876
glass,0.8997959619832802,0.9003420625021731,0.9639411379761588,0.9677119462019307,0.8975305842196571,0.8810579829683706,0.9424784151746068,0.8529041663286455,0.8519064143335325,0.8509516471725979
haberman-survival,0.6984598214285718,0.6898586309523813,0.3002678571428572,0.3450223214285714,0.4634375000000002,0.6358556547619049,0.23694196428571435,0.4544196428571429,0.4502157738095239,0.44068452380952405
hayes-roth,0.9011888129544844,0.9053542171649162,0.9753525058353533,0.9644318385851512,0.8880845172367361,0.9178469229733369,0.93598084433073,0.8470603005206931,0.8459090807074242,0.8354776853846844
heart-cleveland,0.8246756988917379,0.8214636000973093,0.94489736086384,0.93636056671667,0.8395722369673829,0.7955549103079812,0.8809761608215163,0.7317480137784983,0.7331806755726151,0.7306071214382807
heart-hungarian,0.8679379098086444,0.8669677505687139,0.6793456443195505,0.6607319684196439,0.7494379767161782,0.8369998661849323,0.643964940452295,0.7493041616486018,0.7494981934965879,0.7419175699183729
heart-switzerland,0.6106644593986235,0.619289144532789,0.9267735509547976,0.8875562890988102,0.7707641609219088,0.5783777519742823,0.8320234817306849,0.6043717288958689,0.6115315979970666,0.5950020467254215
heart-va,0.616810992256989,0.6197352485897746,0.909743804110191,0.8924381168460784,0.7475881586895549,0.5847004446662546,0.7696013388251296,0.5874744618362716,0.5879239291609738,0.5815018357515285
hepatitis,0.852595628415301,0.8506830601092902,0.521209016393443,0.5618852459016396,0.7005464480874323,0.8076844262295086,0.513046448087432,0.6966530054644814,0.6962431693989076,0.6787568306010934
hill-valley,0.6776496131461346,0.6493597214506939,0.4276697636760379,0.44626017057151307,0.6073006640598066,0.55979696979599,0.4271988584997117,0.5841950861752851,0.5787083328794936,0.5055553740192505
horse-colic,0.8929386409736295,0.8898242055442854,0.7109744759972946,0.7137297160243397,0.8152256592292078,0.8749239350912771,0.6899213995943196,0.8150059161595663,0.814617139959431,0.8069810682893835
ilpd-indian-liver,0.7299061631139951,0.7300007723200503,0.20620366079703434,0.25884499536607974,0.4759402996601793,0.7034599938214404,0.2021605653382762,0.4715515909793017,0.4691689836268148,0.4533306302131601
image-segmentation,0.9980210182634425,0.9976845802906413,0.9995047444138353,0.9989364059061028,0.996758435728133,0.9978229335199035,0.998439955106622,0.9907322867928934,0.9907444138353237,0.9904171877505217
ionosphere,0.9714143990929701,0.9711640211640209,0.8639691987906265,0.8666950113378677,0.9145927815570668,0.960615079365079,0.8484079743008305,0.9145077475434614,0.9144368858654569,0.9121929327286465
iris,0.9954933333333335,0.9957066666666667,0.99816,0.9984533333333334,0.9920177777777777,0.9860888888888889,0.9964355555555555,0.9857955555555555,0.9857866666666666,0.9855555555555555
led-display,0.9425727867873925,0.9432665331837948,0.9780318633641711,0.9687686979059555,0.9423577386788236,0.9412046814588618,0.9545397310019952,0.8618403533320557,0.8618571755419658,0.861756178855324
lenses,0.7814814814814812,0.7851851851851849,0.927946127946128,1.0,0.8862794612794612,0.6955387205387207,0.49553872053872067,0.8046296296296295,0.8374579124579122,0.7678451178451177
letter,0.9993434467480802,0.9992709455059497,0.9999049815405348,0.9996430683238723,0.9985244609647917,0.99923848361651,0.9994041603981613,0.9921363878852267,0.9921274323025124,0.9920758498654244
libras,0.9770160934744266,0.9771263227513228,0.9963414902998234,0.9982352292768958,0.9893882275132277,0.9428516313932981,0.9964340828924161,0.9350385802469136,0.9352899029982364,0.9341832010582013
low-res-spect,0.9841192882378145,0.9846442884533213,0.9956051781170469,0.9941739671704398,0.9795112325393691,0.9781693906174749,0.9913390368676364,0.9519870021306589,0.9518251051353622,0.9515905942521952
lung-cancer,0.6003389450056117,0.6711582491582492,0.9794657687991021,0.9579506172839506,0.9369180695847363,0.5596835016835016,0.8897665544332208,0.7185342312008979,0.749847362514029,0.654709315375982
lymphography,0.9057799339416569,0.9055354730964621,0.9574353320040809,0.9683762602128324,0.9061063154476775,0.8961247554145174,0.9512239711546816,0.8867447840408974,0.8852577892120742,0.8840324102230759
magic,0.9361939086522421,0.9336095933169755,0.7290531150141313,0.7275970316977403,0.8092496211280753,0.9333561341947946,0.7253853368216355,0.8092618040046932,0.8092574391205548,0.8066268964290131
mammographic,0.8874176502083443,0.8835800917196234,0.694183718602321,0.6997701189561633,0.7943228111832733,0.8448343692529706,0.6831406988383711,0.7942139814232809,0.7942797448611373,0.7888091579952018
miniboone,0.9838305408334648,0.9808954537023349,0.8704357198111656,0.8725776360066853,0.9290168544308223,0.9846109845986324,0.8703414586694066,0.9290135928017812,0.929010944368058,0.9263715972977187
molec-biol-promoter,0.9278599605522682,0.9276134122287966,0.7972879684418144,0.8134122287968438,0.9070512820512817,0.9136094674556213,0.7636587771203153,0.9061637080867848,0.9063116370808676,0.8881163708086783
molec-biol-splice,0.9922534816552504,0.9898127755884288,0.9961911132555582,0.992127639711711,0.983738454186468,0.9930903585330826,0.991084551588093,0.9820426351602207,0.9821048165954617,0.9798461784991095
monks-1,0.9981781481289786,0.9980867104877247,0.9868381553749793,0.9842364956955283,0.9963873505512137,0.9932715697945238,0.9705139485533856,0.9962027500301918,0.9962113762227627,0.9912081845315107
monks-2,0.7555418658518551,0.7450561004057625,0.4626418937788509,0.48675110475908845,0.6038095707456502,0.7181607609284902,0.4507154239153647,0.5907906625269,0.5870763721190018,0.550800847666453
monks-3,0.994698551935393,0.9933984266221095,0.9615967000835399,0.95800438596491,0.9774766778056226,0.993281815650236,0.9467714424951247,0.9774610136452218,0.977459273182955,0.9757362155388445
mushroom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
musk-1,0.9439235859537263,0.9442037385886102,0.7962251847558323,0.7907042457614836,0.907622083755977,0.9104815727189293,0.7815509829493306,0.906972419456117,0.9072549871999226,0.8986885958556726
musk-2,0.998090927478151,0.9978558829339879,0.9622711878757075,0.9571851804814705,0.9811280209597439,0.9975757062625235,0.9459021486561475,0.9811382044986297,0.9811238111365099,0.9806042625048197
nursery,0.9998368975923363,0.9998265037009022,0.9999987434196242,0.9999844949134717,0.9999297642468261,0.9998479439043231,0.9999842518224795,0.9998413755278378,0.9998384143216512,0.9998129174678919
oocytes_merluccius_nucleus_4d,0.8902679151582605,0.8871588693957063,0.6415268495312312,0.6528410145734659,0.7763395757913248,0.8450785528636359,0.6230338577926254,0.7760286131996605,0.7760442773600613,0.7661967418546313
oocytes_merluccius_states_2f,0.9784434849130685,0.978598864766276,0.9844560521199154,0.981722359500425,0.9412242807479673,0.975250213523643,0.9786471453658435,0.9390382424189857,0.9391052934767685,0.9381667808021827
oocytes_trisopterus_nucleus_2f,0.8973971535699213,0.8974182773553036,0.6783989490916787,0.6837234632446147,0.8235074725390813,0.8740243451626549,0.6739418303760047,0.8232968948035512,0.8233800697084939,0.8119824672581346
oocytes_trisopterus_states_5b,0.9760903612483254,0.9756759421110167,0.9860325110410744,0.9838928254586238,0.9618814728853062,0.9644846486574677,0.9798800763209997,0.9608562387446504,0.9608588839836948,0.9606346611048812
optical,0.9996791687429091,0.9996733645195828,0.9999529024403675,0.9997930208617866,0.9989697750559559,0.9994356757927374,0.9996063192232155,0.9955150187855606,0.9955126952780959,0.9954947017105085
ozone,0.891780997081566,0.8928498360261162,0.09885970454613834,0.11089147636669976,0.3093893853235852,0.884474380960978,0.07024475734873785,0.3093269548996601,0.30893131149020675,0.30855447242530926
page-blocks,0.9919018963548771,0.9913760418932434,0.996564466431126,0.9923277050932533,0.9854585447736036,0.9897038683492632,0.9916052843465866,0.9850403807165721,0.9848296563765676,0.9852588366179285
parkinsons,0.9394977168949779,0.9382039573820403,0.7602929984779309,0.7732876712328779,0.8358447488584482,0.9368150684931515,0.7453767123287685,0.8357115677321164,0.8353120243531209,0.8262366818873679
pendigits,0.9996928376291427,0.9996902378524489,0.9999785678323334,0.9998222480033765,0.9995437083097058,0.9996754183740848,0.9997342918855349,0.998779902707011,0.9987797518624167,0.9987782426996195
pima,0.832176119402986,0.829847761194031,0.5201303482587071,0.5309761194029857,0.6663402985074639,0.7915751243781105,0.5042208955223887,0.6662288557213942,0.6658945273631851,0.6590666666666678
pittsburg-bridges-MATERIAL,0.9159227297525173,0.9175705023290949,0.9646327860628188,0.960504270007134,0.8748025944322999,0.9088093814259935,0.9458998823053653,0.8670168177430864,0.8684726450581608,0.8645738195247198
pittsburg-bridges-REL-L,0.7556420601362461,0.7493379727507636,0.9060537350246652,0.884968933521259,0.8046298449612401,0.707435870331219,0.8516519849659383,0.7452959243598778,0.7480947850599013,0.7336250293634013
pittsburg-bridges-SPAN,0.7640956145303974,0.7635243741765478,0.8856935817805381,0.8716779597214379,0.7886758893280632,0.7509316770186334,0.8294616977225672,0.7595209862601163,0.7596075663466967,0.7510257858083945
pittsburg-bridges-T-OR-D,0.8309523809523809,0.8293290043290046,0.4639610389610388,0.5606060606060606,0.6543290043290042,0.8148268398268399,0.4681818181818179,0.6489177489177487,0.6511904761904759,0.634090909090909
pittsburg-bridges-TYPE,0.7939058909517729,0.7955908011439891,0.9659713161608383,0.9403070375436994,0.8734024078298793,0.7800609856190618,0.9507015631364537,0.7455905031220521,0.74906905264498,0.7432238311608749
planning,0.42118343195266317,0.41096646942800835,0.14731755424063117,0.3013214990138067,0.4083431952662728,0.42244575936883666,0.0888757396449704,0.29238658777120313,0.29185404339250487,0.25790927021696247
plant-margin,0.9961563026094279,0.9960619212962961,0.9992032828282835,0.9995083122895628,0.9988474326599327,0.9893684238215488,0.9998996212121216,0.9607866161616162,0.9609099326599327,0.9606035353535353
plant-shape,0.9816899726430977,0.9817523674242425,0.9982391098484851,0.9986135837542094,0.9967508417508417,0.9476456755050506,0.9997874053030306,0.8741801872895619,0.874470854377104,0.8739627525252522
plant-texture,0.9918822052213353,0.991994704751387,0.9991149978988767,0.9999230496190213,0.9980636057355304,0.9859530663835272,0.9999368152457762,0.9511085211925315,0.9512294053472465,0.9510105776180904
post-operative,0.41732798066131405,0.415271518604852,0.7952961236294571,0.812802382802383,0.7025166191832858,0.39528490028490043,0.7227786411119744,0.5812988862988864,0.5899460416127085,0.5762988862988865
primary-tumor,0.8123588034574415,0.8136722074227286,0.9797238310915773,0.9885227933395755,0.9098735632003212,0.8022479716346645,0.9735810939768199,0.7243025611806104,0.7249614432020398,0.7251294542608254
ringnorm,0.997364415701201,0.9973473115740805,0.9624398823049103,0.9617190933488,0.9859440211919813,0.997381928924756,0.9581981074809388,0.9859414497286785,0.9858948906582702,0.985367263402006
seeds,0.9874149659863943,0.9874829931972791,0.9962585034013607,0.9953378684807255,0.978326530612245,0.9853832199546486,0.9892108843537417,0.9769886621315194,0.9769297052154194,0.9765532879818596
semeion,0.9964483110953376,0.9964879912346315,0.9995408814538904,0.998842864540764,0.9950000089796834,0.9940601187982229,0.9977501673077711,0.9816423254263893,0.981621550797175,0.9815096347007665
soybean,0.994504090504472,0.9943646487879663,0.9987551938664065,0.9978289347582893,0.9942534449113495,0.9891684392364131,0.9967818579922986,0.973763059344806,0.9738432536105859,0.9735020265255196
spambase,0.9865173776396933,0.9864429231553743,0.905498863519999,0.9049605531115735,0.9531695017963078,0.9852236221037742,0.9011939638290072,0.953170583906856,0.9531770501772064,0.9514293096768177
spect,0.7341046831955926,0.7240062967335695,0.5318142463597009,0.5079181424635971,0.6436993309720583,0.651310507674144,0.5022904368358915,0.6400393545848093,0.6397009051554507,0.619732388823298
spectf,0.8595970184020498,0.8566853016538551,0.617703237829024,0.5947938504542278,0.7226182156999765,0.8269974376892613,0.5948637316561843,0.7222688096901934,0.7217796412764965,0.715536920568367
statlog-australian-credit,0.582564615897948,0.5770462770462758,0.10298631965298527,0.14237057570390774,0.38385180051846585,0.5776083776083762,0.07297297297297192,0.3676535509868829,0.36451964785297986,0.34607299607299474
statlog-german-credit,0.7905428571428583,0.7867974603174613,0.44899301587301543,0.4403663492063487,0.6460431746031751,0.758982222222223,0.4309053968253963,0.6457479365079372,0.6434323809523813,0.6282057142857146
statlog-heart,0.8987925925925936,0.8981037037037044,0.7410888888888897,0.7196814814814823,0.8171037037037047,0.8835629629629638,0.7081925925925933,0.8169555555555565,0.8170222222222231,0.8091703703703712
statlog-image,0.9989933097205825,0.9988011135889925,0.9997048697654757,0.9995395222061891,0.9980803708076439,0.9990532744472139,0.9992938038392585,0.9941040710131628,0.9941054702872892,0.9939300071421292
statlog-landsat,0.9909697503516135,0.9905973618444655,0.995958393530911,0.9909590455099102,0.979958338110048,0.9903796439640086,0.9906802405524892,0.9611485042640204,0.961106645333853,0.960837005143335
statlog-shuttle,0.9999994531339574,0.9999966697177116,0.9999999330287661,0.9999999182034157,0.999941796058273,0.9999996082626742,0.9999998888945714,0.9998938518185861,0.9998929803082459,0.9998934321399946
statlog-vehicle,0.9451971204562144,0.9428571224914468,0.9667165427315388,0.9614610549700955,0.9404725787991802,0.9216716876640398,0.9515757217748677,0.9157586611854621,0.9158218566800657,0.9134031612809285
steel-plates,0.9357551582147164,0.9344633805069392,0.970432629366602,0.9484916068299517,0.9177818824013533,0.9318798193976945,0.9406554115722778,0.8882462992348967,0.8881512144861321,0.8847325758501577
synthetic-control,0.9997635555555555,0.9997195555555555,0.9999373333333333,0.9999364444444445,0.9995488888888889,0.9983244444444442,0.9998697777777779,0.9986364444444444,0.9986266666666664,0.9985466666666666
teaching,0.7024460166288737,0.7054485225201188,0.8651517816015297,0.831054562269352,0.7457120199190788,0.6790322351162684,0.76157994575608,0.7121636281179138,0.7151976274954426,0.7044141034191453
thyroid,0.9994614843189233,0.9991048023964665,0.999784977272165,0.9995706619410807,0.9937094717894851,0.9992324478813437,0.9993659261078208,0.9934003356933478,0.9934273536918781,0.9931097552782725
tic-tac-toe,0.9991647099580432,0.9991974286924056,0.9863210028612893,0.9847177848775337,0.9933625877311163,0.9985744896518985,0.980782555140695,0.9933580969244391,0.993355530749195,0.9930309095808152
titanic,0.7522801777105599,0.7527316381510551,0.3968667485899734,0.4121038535463335,0.48794819926268984,0.742938904118223,0.39543624161073787,0.4879788259759897,0.4879178246211043,0.4876476037432645
trains,0.38333333333333336,0.9416666666666667,1.0,1.0,1.0,0.0,1.0,0.9333333333333333,0.9333333333333333,0.0
twonorm,0.9972515636413462,0.997348406890539,0.9571031083389082,0.9567493449584024,0.9775320835896005,0.9964364939040714,0.9560827168809156,0.9775313332444416,0.9775285267586533,0.9773212658342125
vertebral-column-2clases,0.9222603174603178,0.9195809523809525,0.7224952380952386,0.7018222222222225,0.8140952380952385,0.8858285714285719,0.6946095238095242,0.8138666666666671,0.813955555555556,0.8058984126984131
vertebral-column-3clases,0.9604084946236557,0.9596792780337942,0.977732667690732,0.9731134613415257,0.9491459754224266,0.9441377470558113,0.9625128673835123,0.9464774449564768,0.9462713056835634,0.944754121863799
wall-following,0.9997959291249638,0.9994928250566344,0.9999790076528343,0.9997931616613076,0.9985550542473601,0.9998848944619564,0.9997943461094945,0.9980367194754558,0.9980283342726894,0.9977033685174181
waveform,0.9691953726090227,0.9700400582665052,0.9722227418524401,0.97157674776889,0.9331818448321653,0.9654020621496712,0.9714221274237096,0.9405445591588403,0.9403502392767841,0.9402659085076245
waveform-noise,0.9700954023499809,0.9704152956959554,0.9725047591180176,0.9724898734927464,0.9369324975885013,0.9671035661364797,0.9719478012573766,0.9440275793589918,0.9438465909283025,0.9437817583594296
wine,0.998114598702285,0.9983556925083098,0.9997948150305017,0.9998355162544457,0.9974147227592522,0.9965625749520307,0.9994811956711341,0.9969430246460449,0.996950171587154,0.9967386667987035
wine-quality-red,0.8139391967641199,0.8113895923824379,0.8936432603546279,0.8495796033920411,0.7719683170453074,0.7913586875818949,0.8276691316867294,0.7589894572336842,0.7571228838007591,0.7574232570215393
wine-quality-white,0.8177644504653301,0.8156648849023038,0.874564153889163,0.8347135976769469,0.7692668256057635,0.7933315005692992,0.8244584607070501,0.7418921859577831,0.7383706407908731,0.7392466045137475
yeast,0.842681109665494,0.8418074913181304,0.9466851569641873,0.8789600119471715,0.8304806495947016,0.8104651821039565,0.858224370697861,0.7823137791572912,0.7814703596404475,0.7845273927393303
zoo,0.9950829396878029,0.9949415196983585,0.9974135697691929,1.0,0.9983715996807111,0.9955060671044319,1.0,0.9710415178521493,0.9712224559054278,0.9706378941202579
