TRAINACC:,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
led-display,0.7182123655913978,0.7159946236559139,0.7158602150537635
lenses,0.7636363636363636,0.6999999999999998,0.6636363636363637
letter,0.9556689682777944,0.9528103005437139,0.9503819340204809
libras,0.8020370370370372,0.788888888888889,0.7824074074074077
low-res-spect,0.8979797979797983,0.8955808080808084,0.8945707070707074
lung-cancer,0.7200000000000001,0.5288888888888889,0.44
lymphography,0.8479452054794521,0.8223744292237444,0.8155251141552513
magic,0.8801016473887135,0.8753592709428674,0.8750438135296181
mammographic,0.8257638888888889,0.8209722222222224,0.8200694444444445
miniboone,0.9437350391864391,0.9373201498772379,0.9364877263663995
molec-biol-promoter,0.8743589743589746,0.8474358974358973,0.8384615384615385
molec-biol-splice,0.95982852363028,0.9468005018820576,0.9301338352153912
monks-1,0.9842925659472422,0.9810551558752995,0.978537170263789
monks-2,0.724222222222222,0.7086666666666666,0.7031111111111112
monks-3,0.973405535499398,0.9663056558363414,0.9663056558363414
mushroom,1.0,1.0,1.0
musk-1,0.8838255977496482,0.8772151898734177,0.8745428973277074
musk-2,0.9839801900141498,0.9833939761471594,0.9832423691125933
nursery,0.9992386831275718,0.9973713991769552,0.9971244855967082
oocytes_merluccius_nucleus_4d,0.8366013071895425,0.8326797385620918,0.8320915032679739
oocytes_merluccius_states_2f,0.9264705882352939,0.9248366013071895,0.9247712418300653
oocytes_trisopterus_nucleus_2f,0.8301098901098904,0.8270329670329674,0.8264468864468868
oocytes_trisopterus_states_5b,0.9324542124542126,0.9305494505494507,0.9304761904761906
optical,0.9840987302717455,0.9837308650765395,0.9837427316957399
ozone,0.9715338068929226,0.9712970270981317,0.9712970270981317
page-blocks,0.9731748933577087,0.9722730042656917,0.9720658135283363
parkinsons,0.905154639175258,0.8948453608247425,0.8920962199312717
pendigits,0.9925056132046848,0.9923963832756844,0.9923721099581286
pima,0.7702256944444446,0.7650173611111113,0.7633680555555556
pittsburg-bridges-MATERIAL,0.8711538461538464,0.858974358974359,0.8532051282051284
pittsburg-bridges-REL-L,0.7326666666666664,0.6966666666666665,0.6833333333333333
pittsburg-bridges-SPAN,0.708695652173913,0.6637681159420289,0.6543478260869566
pittsburg-bridges-T-OR-D,0.8928104575163401,0.8790849673202618,0.8784313725490199
pittsburg-bridges-TYPE,0.6071895424836601,0.5823529411764706,0.569281045751634
planning,0.7172161172161172,0.6934065934065934,0.6864468864468865
plant-margin,0.8142916666666667,0.7976249999999998,0.7955000000000001
plant-shape,0.6404583333333332,0.6330000000000002,0.6315833333333334
plant-texture,0.7979557780559033,0.7884856070087607,0.7875677930746766
post-operative,0.6844444444444445,0.6237037037037036,0.611111111111111
primary-tumor,0.47607361963190187,0.4533742331288343,0.44437627811860936
ringnorm,0.9786396396396397,0.9781351351351353,0.9781351351351352
seeds,0.9311111111111112,0.9253968253968256,0.9260317460317462
semeion,0.940605296343001,0.9389659520807059,0.93879781420765
soybean,0.9299019607843138,0.9265686274509802,0.9254901960784312
spambase,0.9532318840579708,0.9513188405797097,0.9506086956521739
spect,0.7126262626262625,0.6881313131313131,0.6797979797979801
spectf,0.8784461152882204,0.8701754385964914,0.869423558897243
statlog-australian-credit,0.6832850241545895,0.6722705314009664,0.6675362318840578
statlog-german-credit,0.7696,0.7621333333333331,0.7602
statlog-heart,0.8454320987654321,0.8323456790123458,0.8296296296296297
statlog-image,0.9765945165945167,0.9748051948051948,0.9745165945165947
statlog-landsat,0.9107276119402986,0.9092661691542289,0.9090381426202323
statlog-shuttle,0.9997091753454262,0.9993907625813274,0.9993240913166427
statlog-vehicle,0.8001579778830964,0.7897314375987361,0.7872827804107424
steel-plates,0.7782249742002064,0.7730650154798764,0.771861025111799
synthetic-control,0.9871111111111108,0.9858888888888888,0.9854444444444445
teaching,0.5720000000000002,0.5475555555555556,0.5444444444444444
thyroid,0.995287037037037,0.9938703703703705,0.9933425925925924
tic-tac-toe,0.9897007654836465,0.988100208768267,0.9879610299234514
titanic,0.7870909090909094,0.7837272727272728,0.7835151515151517
trains,0.875,0.7666666666666667,0.7
twonorm,0.9768586104352528,0.9767054158781653,0.9765882670992162
vertebral-column-2clases,0.850752688172043,0.8378494623655914,0.835698924731183
vertebral-column-3clases,0.8496774193548388,0.8395698924731181,0.8378494623655911
wall-following,0.9952695269526949,0.9884855152181886,0.9822271116000489
waveform,0.8639189008936907,0.8624116313191944,0.8620915032679739
waveform-noise,0.8632919834600506,0.8624783246631988,0.86234493797519
wine,0.9821969696969693,0.9806818181818179,0.9799242424242421
wine-quality-red,0.6554302422723476,0.6520050125313283,0.6516290726817043
wine-quality-white,0.6409208554692822,0.6387276937746901,0.6392725786677566
yeast,0.6149300857013981,0.6091565178168696,0.6086603518267929
zoo,0.938095238095238,0.927891156462585,0.927891156462585
