TRAINACCSTDDEVS:,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
led-display,0.018991976321055194,0.019566686063604836,0.019481974145662075
lenses,0.12988804175627397,0.13951428179486283,0.13536731112022654
letter,0.0015484955788314357,0.0020641989291843963,0.0021805934941135706
libras,0.028157683066119807,0.030880370390206704,0.03288599362493558
low-res-spect,0.016553875652220194,0.01695985511612297,0.01664775612523052
lung-cancer,0.10706820971963178,0.16510378329783743,0.17733661737517425
lymphography,0.026276066398593534,0.0381537498199986,0.03628480354488703
magic,0.002805910744751287,0.002640654037685396,0.002645270401110659
mammographic,0.013584242676940167,0.01377515694699816,0.013517975887480651
miniboone,5.309134987456534E-4,6.990729765335123E-4,7.630937985736258E-4
molec-biol-promoter,0.03701984078636648,0.03843942777361654,0.04505771763851431
molec-biol-splice,0.0053142899475282475,0.00513483782125785,0.005352459277620299
monks-1,0.00644050371247867,0.0077284505033104935,0.009035292013189726
monks-2,0.020806227577399864,0.021201460225862084,0.021689790195455125
monks-3,0.007494079998629268,0.008228673337896262,0.007950909864525497
mushroom,0.0,0.0,0.0
musk-1,0.017048939102292708,0.01735644130734726,0.017056139330291164
musk-2,0.001819429626467688,0.0018600974282007195,0.0018571123777906028
nursery,3.137438411929193E-4,8.290487640034811E-4,9.856262214094275E-4
oocytes_merluccius_nucleus_4d,0.012886903768193623,0.012679482976775331,0.012898729055243887
oocytes_merluccius_states_2f,0.008472860487058349,0.009027149936815066,0.008925982210530741
oocytes_trisopterus_nucleus_2f,0.010691696049135396,0.009831411851350585,0.010380793622540756
oocytes_trisopterus_states_5b,0.005912366352034383,0.006671259454523388,0.006792088819770647
optical,0.0012554582209675657,0.00132264123087974,0.0012999230034535848
ozone,0.0016046251704264082,0.0015015855803501425,0.0015015855803501425
page-blocks,0.002914757379655193,0.002817612464712877,0.0028053423723544244
parkinsons,0.021214287499565464,0.022061157963790677,0.024326000238265536
pendigits,8.685967459913041E-4,8.914527646926749E-4,8.768031792391178E-4
pima,0.015620259897225293,0.01797315264099433,0.01925521332890485
pittsburg-bridges-MATERIAL,0.03393450609538869,0.03653438946083817,0.04117836020096446
pittsburg-bridges-REL-L,0.042825494609003034,0.05560534167675356,0.06348137567406101
pittsburg-bridges-SPAN,0.05552693930158183,0.060346146787955614,0.06467792876802456
pittsburg-bridges-T-OR-D,0.04012909649704969,0.04279888600028083,0.04471276176859365
pittsburg-bridges-TYPE,0.053384648317243356,0.059640484283765574,0.06400098215228747
planning,0.014118098296518727,0.02204423523492436,0.02560671841907135
plant-margin,0.011788744510185838,0.010470350173638928,0.010094382186351863
plant-shape,0.011316771832666944,0.012519811885774175,0.012304213837580982
plant-texture,0.008902737050970586,0.010103808906888782,0.011135957198894344
post-operative,0.03520903943687276,0.045926749879314166,0.04838824115063253
primary-tumor,0.021227715326141098,0.025389869966011717,0.03004141126660648
ringnorm,0.0017990581782907802,0.0018756458632554881,0.0019325285594480135
seeds,0.021175603471833563,0.023070071888862436,0.022325975636114097
semeion,0.007120791056161632,0.006951284410847675,0.007177422329250625
soybean,0.011588007054241985,0.01197786939683991,0.011823719467388898
spambase,0.0030374395721291243,0.003452836868003235,0.0032528136371828323
spect,0.04172876219053437,0.0393941068506475,0.04215343732698055
spectf,0.02071691783965945,0.023273815420380966,0.024700082409993322
statlog-australian-credit,0.014239330185074823,0.015222665530553188,0.018585518345003837
statlog-german-credit,0.015089617348499541,0.016625143677540085,0.015942569342530074
statlog-heart,0.027423165766464083,0.03010370001642492,0.030572482636752336
statlog-image,0.0037325013199638706,0.003900910935435084,0.0038631793443355995
statlog-landsat,0.0030272524001448125,0.0032830264349955067,0.0031422330002075106
statlog-shuttle,6.81829274979965E-5,1.1888651529333021E-4,1.29855248754694E-4
statlog-vehicle,0.017012209594634023,0.014298585936071622,0.01515007927296205
steel-plates,0.008940802728447182,0.008899632906503025,0.0091782801425904
synthetic-control,0.006110936953282932,0.0059810257666177225,0.006032055706048185
teaching,0.05810282865160704,0.06679833740407702,0.0685332558104426
thyroid,9.298607325713505E-4,0.0012335191373393812,0.001201946354469981
tic-tac-toe,0.002567632149721843,0.0033416417977928953,0.0034969445829980345
titanic,0.00591764512250889,0.007379119910823182,0.007578724601849011
trains,0.12713690692890195,0.18491998891101682,0.2491364395612199
twonorm,0.002057159106337812,0.0020454671755678615,0.0020497954300183223
vertebral-column-2clases,0.026774573262559765,0.03071893623492611,0.031228662264417062
vertebral-column-3clases,0.027950428482056346,0.029866079902104447,0.03195557096087177
wall-following,9.79007686099259E-4,0.0014107359047797136,0.0021004514713958613
waveform,0.004384709376403288,0.00465962217704524,0.0048231276521836265
waveform-noise,0.005745764358472399,0.005726367544339156,0.005635652206509478
wine,0.013239837364406192,0.014044949824046657,0.014522946600515755
wine-quality-red,0.01616051660798379,0.016392289592819985,0.01648403159203998
wine-quality-white,0.008833795938429251,0.008670050880918774,0.008453920738892376
yeast,0.015266875210850088,0.01746736981945218,0.017151163856377213
zoo,0.02597166486857208,0.028728498255146572,0.028728498255146572
