TESTAvgPredTimes:,C4.5,MLP1,Logistic,SVML,NN,CAWPE-S
pittsburg-bridges-SPAN,0.0015270000000000001,0.0031444999999999997,0.0050945,0.029632,0.010796,0.060034000000000004
pittsburg-bridges-T-OR-D,0.001988,0.002722,0.007741,0.0069645,0.0102165,0.032246
pittsburg-bridges-TYPE,0.0024415,0.008392,0.008343,0.04651,0.012456499999999999,0.0885385
planning,0.0011175,0.004076,0.0038325,0.005574,0.027037,0.0430595
plant-margin,0.0062885,0.10645299999999999,0.5989450000000001,63.457982,0.25607749999999996,39.376414499999996
plant-shape,0.0060405,0.1002765,0.594031,27.1303305,0.1398655,19.422297
plant-texture,0.0061405,0.097841,0.5916440000000001,47.194897,0.205625,32.346687
post-operative,0.0015084999999999999,0.0032849999999999997,0.0046455,0.0230315,0.012048,0.0553255
primary-tumor,0.0011195,0.007065,0.020151000000000002,0.2078305,0.036757,0.26022449999999997
ringnorm,4.045E-4,0.0029485,0.0015125,0.001079,0.592,0.545571
seeds,0.001369,0.0030524999999999997,0.003797,0.035962999999999995,0.0140115,0.052746
semeion,8.500000000000001E-4,0.32451050000000004,0.018168999999999998,0.7826285,1.340694,2.3761425000000003
soybean,0.0012044999999999998,0.013843000000000001,0.026712,1.878603,0.0552425,1.787233
spambase,2.87E-4,0.0154685,0.0027324999999999997,0.001526,0.406261,0.432122
spect,7.490000000000001E-4,0.003932,0.006774,0.0032955,0.038234000000000004,0.04879
spectf,7.335E-4,0.011324,0.009856,0.00364,0.0599255,0.07745550000000001
statlog-australian-credit,4.795E-4,0.0024790000000000003,0.004144,0.0015925,0.0622645,0.06904350000000001
statlog-german-credit,3.345E-4,0.0047385,0.005886,0.001565,0.117607,0.13204749999999998
statlog-heart,7.700000000000001E-4,0.0022040000000000002,0.004952,0.003454,0.0354995,0.0437665
statlog-image,3.9E-4,0.003689,0.0066809999999999994,0.19423,0.0869325,0.27977799999999997
statlog-landsat,5.59E-4,0.008435,0.0041530000000000004,0.07485349999999999,0.4428125,0.555417
statlog-shuttle,3.66E-4,0.0021060000000000002,0.0036505,0.0595435,1.215689,1.135989
statlog-vehicle,3.7799999999999997E-4,0.0037755,0.005684,0.011657500000000001,0.059309,0.07910049999999999
steel-plates,7.925E-4,0.0055825,0.007737,0.0376515,0.14278849999999998,0.1974645
synthetic-control,4.56E-4,0.0183115,0.014536,0.27104,0.128938,0.3908825
teaching,0.0015395,0.002656,0.004045999999999999,0.019676,0.012396500000000001,0.04604
thyroid,1.71E-4,0.0034005,0.0029305,0.0048235,0.236462,0.24889699999999998
tic-tac-toe,4.285E-4,0.00157,0.003103,0.0014315,0.0378915,0.045150499999999996
titanic,2.71E-4,6.954999999999999E-4,0.0019215,0.001094,0.062913,0.069832
trains,0.012426,0.0166905,0.0270375,0.059975,0.1113825,0.3207205
twonorm,3.08E-4,0.0030885,0.0014475,0.0010605,0.8672845,0.824713
vertebral-column-2clases,9.415000000000001E-4,0.002817,0.0026815,0.0038580000000000003,0.0214905,0.029478
vertebral-column-3clases,9.415000000000001E-4,0.0016445000000000001,0.002614,0.016072,0.019075,0.0414555
wall-following,3.345E-4,0.004187,0.0026395000000000004,0.0070685,0.2493695,0.267992
waveform,3.71E-4,0.0036715000000000003,0.001951,0.0061835,0.516742,0.5297805
waveform-noise,3.815E-4,0.0092405,0.0024215,0.006709,0.9506055,1.057721
wine,0.0011435,0.004631,0.004834,0.07161200000000001,0.026621,0.07954800000000001
wine-quality-red,6.375E-4,0.002588,0.005521,0.017534,0.118113,0.14142500000000002
wine-quality-white,9.645000000000001E-4,0.002496,0.004685,0.020345500000000002,0.1854745,0.2225625
yeast,8.879999999999999E-4,0.0032129999999999997,0.008292,0.061577999999999994,0.0639675,0.1405
zoo,0.0027405,0.0067695,0.01122,0.2951935,0.0162195,0.33253449999999996
