TRAINTESTDIFFSBALACCSTDDEVS:,SMLRE-S,SMM5-S,SMLR-S,ES-S,NBC-S,RC-S,CAWPE-S,PB-S,WMV-S,MV-S
echocardiogram,0.09531704733391345,0.09274876316015405,0.09511857823238842,0.09610357705671128,0.11264503491890775,0.09546129006892277,0.09148007045992562,0.0916071124229755,0.10034455199817868,0.10034455199817868
ecoli,0.09483801654702513,0.07203459091426992,0.07153815714773198,0.0599013459926739,0.0877045012325732,0.06263616115733561,0.055996310620234364,0.03802205061107807,0.06556537580892213,0.054624582992040566
energy-y1,0.029115458111864796,0.028035354823803586,0.03014891915978673,0.04421519036004645,0.0267124053434677,0.030804160898974864,0.028804939087654587,0.03331301840832957,0.029765312313502525,0.030937755006541955
energy-y2,0.02736281058709415,0.025053051921973442,0.02418268554176853,0.02534615881807446,0.026517623304222335,0.02874672363558988,0.024215473120376453,0.03466603836860139,0.028793180884735668,0.028766518014207286
fertility,0.11503579264653531,0.09848526712661869,0.09580456412754094,0.07588112530799655,0.09328970018837121,0.03817996773642086,0.07906570259360525,0.11453702348081239,0.0809627677410976,0.0809627677410976
flags,0.10126018342923575,0.0824573080049703,0.08023337740020851,0.06187278390803388,0.07819044210847188,0.036718841473050656,0.06138438933404707,0.05915590171227357,0.053322338224150084,0.049175574503555974
glass,0.11018331701290146,0.06976778608813149,0.064902423736344,0.0978996103526763,0.07373140708584773,0.08663993335042318,0.10012629733921036,0.08969973648959399,0.09343002860052377,0.09528981669086306
haberman-survival,0.05830250545248495,0.05433907208278638,0.054660856876990335,0.06111468415669554,0.10182582396500078,0.043655766277840465,0.05677533811322482,0.04009348985545527,0.04563425695333779,0.04563425695333779
hayes-roth,0.07183995408540358,0.06526407030719468,0.07585574752577966,0.11092809118247034,0.07864045274703213,0.10661357118547234,0.08330380349258616,0.07161700383285184,0.11440320513795259,0.1174315093813028
heart-cleveland,0.04974678933067328,0.08280397521415464,0.05574827903405807,0.061613702621545315,0.048659843917842206,0.04039131716846863,0.05209082721594941,0.058637344084721134,0.05423185472541587,0.05376151172763286
heart-hungarian,0.045113188223384046,0.06092703115696553,0.04940039536041003,0.0394335980674012,0.044095303418912345,0.038034640799771535,0.042260934004472735,0.044799039664972465,0.038991114539883125,0.038991114539883125
heart-switzerland,0.1544375041509608,0.10532010820147727,0.08501957272210499,0.0662193807408076,0.08832836771266728,0.06620882054728879,0.0796247585311042,0.08675016240263633,0.0765548701791607,0.07949515435404014
heart-va,0.07593603175003587,0.09130243960928107,0.07525483127493389,0.06240057442596823,0.0626846401433814,0.05563895653836119,0.06232104809894126,0.07909328306034343,0.06394978156115046,0.06005697087149822
hepatitis,0.09334440809628752,0.08607708359184799,0.09454752644632766,0.08143084116878391,0.08073849429714085,0.09301922939180184,0.07928232848635498,0.09560308217059227,0.08935101222922844,0.08935101222922844
hill-valley,0.03596407759053178,0.04533048930298881,0.030891828342867217,0.05293046525643231,0.03361078367291143,0.030410510499786773,0.03468772523783845,0.037338804293629624,0.04200485318960687,0.04200485318960687
horse-colic,0.04455050169659274,0.046495775357649954,0.04239375594165644,0.03821090095354854,0.03791263679768089,0.0400204030020797,0.04001372956090693,0.03821857654492404,0.0400204030020797,0.0400204030020797
ilpd-indian-liver,0.04686510450798532,0.051792497222360206,0.04712292368043721,0.03332024154213302,0.0622086309216283,0.013376165798743888,0.03162684591038863,0.02913489658572911,0.032570064004063315,0.032570064004063315
image-segmentation,0.009992234847936229,0.01258439450500242,0.010315704696116961,0.010856631291040307,0.009950282523384937,0.010002620064667827,0.01151794589239893,0.014903781563124373,0.009977737833026669,0.010716362560530435
ionosphere,0.036507143010788376,0.0349683619014915,0.03493905503468256,0.04255278908156383,0.032385184904264515,0.03839380646371544,0.03824541394332341,0.03896907121211559,0.038213226985440205,0.038213226985440205
iris,0.033282720195343625,0.03637747327593348,0.04276282268316042,0.045341896869779096,0.04516805571092233,0.044392306583239574,0.04135384486735062,0.035697036520520614,0.044392306583239574,0.044392306583239574
led-display,0.030480358611868947,0.029691823568346806,0.03329343311075617,0.03531996183109414,0.033237729059361266,0.03175243988988194,0.03164803557614081,0.034472979813051134,0.033342899523868284,0.03278786353004221
lenses,0.2132305429312796,0.2508121782265623,0.22006657209669975,0.3497728017165202,0.21672918842996503,0.26703485418522566,0.32806739305678423,0.2983464625140653,0.35103040432351446,0.3553158597127248
letter,0.003346193951549856,0.003963391325865284,0.0033819543514913984,0.030345410819326398,0.005093793815357071,0.005813096902811906,0.004124947465892451,0.006422351743733805,0.005501726922422436,0.00620115191124504
libras,0.11816618285988548,0.047829281100096085,0.04392415770940925,0.04959606955135182,0.03938472445638257,0.04510995978373381,0.04629604086775003,0.050004966405824365,0.045292045405787046,0.04112957370803016
low-res-spect,0.06637315350645591,0.09576881459686541,0.06978203677435105,0.0804039548292918,0.11250585620155582,0.06152879392206271,0.08619505724434735,0.0789926228123684,0.07894323100542804,0.09145243259423483
lung-cancer,0.18774991260736865,0.16334458570706173,0.14367260013044192,0.23206759430968654,0.14763519244383747,0.20059274700864632,0.1910997535844014,0.2143847355796744,0.21115031502735745,0.20748595881809173
lymphography,0.12998718276700444,0.15273745209727438,0.1346560202693838,0.17572383771215416,0.1967685354111383,0.11323840515805922,0.1774548526426343,0.21911012759108325,0.15460928012817984,0.14192558204130887
magic,0.007497094692261123,0.007304924692494429,0.006270293855243599,0.010199174663294749,0.006347641937398269,0.005815103515292667,0.006034601653782261,0.005684945257992882,0.005924983516137377,0.005924983516137377
mammographic,0.02787114104076668,0.0280650310250812,0.025786803863080274,0.028022844732791298,0.026501233151523616,0.02630738919781919,0.026456555537799138,0.025256758312782908,0.02630738919781919,0.02630738919781919
miniboone,0.00524722864670443,0.005506242209083841,0.004482185560226335,0.012706088241100972,0.016703975385125722,0.013727315145902336,0.008974252529806881,0.0028929596287896983,0.013727315145902336,0.013727315145902336
molec-biol-promoter,0.08595351610835203,0.08480326614492772,0.0761092997757223,0.08787703095766573,0.08067447048405044,0.07624465998213892,0.08254492802281113,0.09968294383725564,0.07775795377380398,0.07775795377380398
molec-biol-splice,0.01140518529790831,0.012334592543885557,0.011535913390526264,0.0169473479831665,0.01477805137684262,0.013934364157837427,0.014353456512091719,0.016795860378327837,0.013991359433758751,0.013836393147360989
monks-1,0.06045382498821715,0.05870644355038086,0.05939654166182873,0.06302266263531321,0.04970633787877922,0.03989233854588967,0.06292736844787007,0.03405571304770289,0.03700571501013837,0.03700571501013837
monks-2,0.03751529127800341,0.04512448347183679,0.042763191420751016,0.08211742522120027,0.039049466692820986,0.009206133529959614,0.0459116553336551,0.0040109388020943,0.02877441085949307,0.02877441085949307
monks-3,0.01427091692636272,0.016427895081124806,0.015409079513148922,0.025402456822419792,0.021876211607627618,0.04118171341161898,0.017197230872445762,0.037644576544196506,0.04118171341161898,0.04118171341161898
mushroom,1.3412301619991062E-4,1.7302670724667792E-4,1.419952545371497E-4,0.0020825352164900415,1.4089231824539544E-4,0.003099958476773719,0.0023536642074344426,0.005415060951449768,0.003099958476773719,0.003099958476773719
musk-1,0.07707241399081667,0.037951087410331506,0.03391569272824858,0.028525226453107722,0.028427803439487698,0.02416516558625033,0.029834081969737733,0.038989385789810045,0.02416516558625033,0.02416516558625033
musk-2,0.009275480816826002,0.009184052123871004,0.009679697261417385,0.023920957392255377,0.011611513933791279,0.013722419579205601,0.013121478961165008,0.017703856002042564,0.013722419579205601,0.013722419579205601
nursery,0.005913017143823001,0.007504339700422791,0.005929018244568045,0.02319365357951497,0.07493907315053085,0.010640320267491751,0.016444092371525987,0.10238245139968367,0.00924185381073941,0.09117077794020068
oocytes_merluccius_nucleus_4d,0.02786592265377563,0.034133704932611385,0.028764868750803897,0.028219872252264272,0.026896211698630868,0.02932113904844253,0.02832206484833368,0.03079071120094619,0.027190932179987824,0.027190932179987824
oocytes_merluccius_states_2f,0.03375511031031001,0.036308819121727294,0.0338732173686878,0.04167167964729166,0.03126545854662603,0.04167699240255621,0.04003217335174588,0.041855375827616,0.04193347610358971,0.0416485679083035
oocytes_trisopterus_nucleus_2f,0.02859772667082725,0.027896151444111658,0.0276705425984324,0.0258759648386586,0.02676953149377168,0.027381455890930884,0.02620222199360438,0.026415298646619505,0.027381455890930884,0.027381455890930884
oocytes_trisopterus_states_5b,0.06071401132047343,0.0669036446498337,0.06063575045299134,0.062104749276521556,0.06359953698586111,0.0625550414024092,0.058870533166991104,0.07561434575914834,0.059343788818522175,0.06163606113696917
optical,0.018142825416994652,0.0027955270013365935,0.002409057233040292,0.0030668648152790295,0.0027037150858749298,0.002582973318270529,0.0025209026497639443,0.0044965922310254616,0.002745747590585645,0.0024216142851569873
ozone,0.033880978715305606,0.0326542271188401,0.02783123124107846,0.031627588703189914,0.031712601323043134,0.011221636544845065,0.03170069536950505,0.04856461216944331,0.03395263627529391,0.03395263627529391
page-blocks,0.038239939952290164,0.03908039958736689,0.03867615659514209,0.03625631479831235,0.08711345006514463,0.048413302348374466,0.04476159005360337,0.03850126939155072,0.04702700529081444,0.04811754939565081
parkinsons,0.1079410830463336,0.06471720502512135,0.06493052757438872,0.07365094270673846,0.0676319957983032,0.08349527945074718,0.07952214670228876,0.08071504259420181,0.08384705288725039,0.08384705288725039
pendigits,0.3025816444226288,0.0021781983636299223,0.0013293502326063632,0.0034957518775221427,0.0019304712034429253,0.001635864409267554,0.002066831622555921,0.002200914954487595,0.0018211724883097223,0.002104349156075682
pima,0.028853734605438917,0.025203389805802893,0.024366416948003327,0.02579243047067598,0.025866965624851343,0.02671133618723242,0.029893360969674702,0.02662552528923829,0.026586336375411534,0.026586336375411534
pittsburg-bridges-MATERIAL,0.12157979071853249,0.15211828399818125,0.1317575941714655,0.1305858306394254,0.1145175761745237,0.08999761746102607,0.13441448994779942,0.12255348770882075,0.12970288890660112,0.12320935928012315
pittsburg-bridges-REL-L,0.10099854254131206,0.11186670036843038,0.08832824814586154,0.095439206079131,0.07937083148122107,0.07658976000969933,0.08042062602940575,0.0960636807237551,0.08944770791186175,0.09001002948824374
pittsburg-bridges-SPAN,0.10842086786446245,0.10905655133680967,0.12028232679784517,0.0896036719046942,0.09590707718809693,0.07425579074548784,0.09875761184028167,0.11149077584448586,0.08929869562207926,0.08848289592540863
pittsburg-bridges-T-OR-D,0.13980981705042225,0.12231509414434975,0.13667428531728568,0.16084043286518035,0.1725546281472926,0.13714091069213263,0.16800133835808237,0.13900970427215345,0.16899726434266912,0.16899726434266912
pittsburg-bridges-TYPE,0.1196153913782481,0.08209323893456749,0.10002637188643494,0.09006501858064395,0.1152223360997653,0.07447475487798554,0.07733469609925002,0.10576647751512369,0.09841912818385139,0.10065516477017324
planning,0.05800475370247347,0.047337640488648976,0.04220508415758976,0.019153691689213433,0.027862235294651094,0.001404416814115805,0.019974563842731045,0.026753921046626203,0.017936082454051813,0.017936082454051813
plant-margin,0.0831470727327366,0.019424182108256523,0.01246611787316269,0.021313545959771932,0.013806701271484086,0.013894163270542983,0.016964508251932478,0.019989041538032652,0.015211865831283321,0.013545434931048345
plant-shape,0.007099457644818702,0.024601018867322237,0.01684658633861375,0.03521322570239507,0.017078303857341277,0.020889006072875835,0.024099478043186413,0.028847473444617838,0.021113107071908787,0.02437715507714494
plant-texture,0.090936182940654,0.02006171936452932,0.014086147103799709,0.023323138282016716,0.014090772755505299,0.015637261785049778,0.017160402770180293,0.025158143957090817,0.01693110466000993,0.015289624411649496
post-operative,0.09725079686356732,0.07904607281157898,0.05887144989261944,0.033345969295067945,0.1706961545190431,0.007928379115701942,0.039538460987963625,0.052070826510281984,0.03328794569852381,0.0326708866006988
primary-tumor,0.06280833655568173,0.04845863557166195,0.05007045926834814,0.0475214356960265,0.043336161263667294,0.029312610296812664,0.04876009150416439,0.0479759842124746,0.043727087892682,0.04572819780197829
ringnorm,0.008975591641131517,0.007345706629235051,0.00886702386976943,0.016391094471910252,0.00785113973697544,0.00708156916702767,0.009390420506018968,0.007567374313015092,0.00708156916702767,0.00708156916702767
seeds,0.05354578842714396,0.0331191807169636,0.03928625333427931,0.04100034105641387,0.03993374239782572,0.03807333798529641,0.03874110409104708,0.03566553870812825,0.038123962897797084,0.038563082340804106
semeion,0.01498729910529935,0.01483971287803349,0.015666750723454515,0.015839726400796617,0.017148146081300466,0.015736917626514642,0.017479125629592952,0.015780513452350934,0.015942205910463605,0.01646336879933019
soybean,0.03204067859596225,0.024066708517016394,0.025235474588249304,0.01956138931592051,0.02213976536627998,0.020965761905855685,0.020747129331448292,0.030463869133981747,0.021835877097057876,0.022836281453356682
spambase,0.006815512130867301,0.009280713844180041,0.007602332267056818,0.00902267197091431,0.008859955006900818,0.009730540257671333,0.010325933686296203,0.009887761204164543,0.009730540257671333,0.009730540257671333
spect,0.0539393862501861,0.06066575796346847,0.06385101458817405,0.0669061793037377,0.0656292126045375,0.06649068031946277,0.06635154762946241,0.07262999456916075,0.06814535202771746,0.06814535202771746
spectf,0.06833154121140593,0.06817426637532978,0.06056013815722815,0.06568518480297258,0.06579351538067699,0.06673991733821624,0.07369280233280896,0.0658920927288919,0.0660725624298358,0.0660725624298358
statlog-australian-credit,0.030593483825171144,0.02293764636674205,0.015763323642262225,0.01978143000204277,0.018870237831212527,0.0017150277462341112,0.022145905333340172,0.009832671654375876,0.013082373669470279,0.013082373669470279
statlog-german-credit,0.0301191974355415,0.03245353917154951,0.03385872596466486,0.029706235839982213,0.02779331335052169,0.024484579183038462,0.02695347755490485,0.032068053402107895,0.028526058668257862,0.028526058668257862
statlog-heart,0.048765867509682446,0.05025290445467076,0.047449778518782154,0.0465004222779821,0.0499572294718256,0.04972131787101124,0.05474905015592268,0.04634677580021454,0.04972131787101124,0.04972131787101124
statlog-image,0.007752632080112092,0.007857779207758236,0.008555143523868653,0.008562945294923551,0.006793330250626279,0.007139878540777805,0.00744304024270111,0.01124032043407974,0.007155489198847825,0.007076848076509058
statlog-landsat,0.011156383327478198,0.012006035014262185,0.009983042163483214,0.010773296563248094,0.010834803403444221,0.01044517950840133,0.010500646603845604,0.009110718632104987,0.011169528898991766,0.010999158701868822
statlog-shuttle,0.06190071919216865,0.057900601623116506,0.052836489691792825,0.05710023755328883,0.08096943580345015,0.054612772709586616,0.0674720134030853,0.04490457192238147,0.06304659271988317,0.06655444615536261
statlog-vehicle,0.02220640536853116,0.03610362291207524,0.01690652977146691,0.01948468478524179,0.025435259486390194,0.023010516575287136,0.022915959073424995,0.028452352615882092,0.025639579012536128,0.025603535276733633
steel-plates,0.1198843557140965,0.03887498367686301,0.029999904997933067,0.02764063013856662,0.027114948910411982,0.028419290808559785,0.028347356360715788,0.030980067271917728,0.029395407800414233,0.0302901991603637
synthetic-control,0.006821946404498446,0.00795019618704573,0.010022325015826498,0.010706820971963214,0.009083829822277742,0.01041967389541754,0.010370530011542643,0.013598888092176874,0.010243522701861432,0.012470143142210878
teaching,0.07755017172705438,0.09838669944355766,0.08612692238103557,0.08476799715515554,0.07689424475486745,0.08724543697299694,0.07344631338388886,0.09570276296133291,0.08958191722279356,0.08684981206041892
thyroid,0.012436245566411874,0.014358348734737066,0.01378662692025976,0.06793431518241268,0.02776462035642977,0.02791763741353366,0.03544552817236027,0.02952247780967007,0.0316961656890638,0.032193989891101046
tic-tac-toe,0.0031818631700028964,0.002303854118217434,0.0031818631700028964,0.012064624461339506,0.009240973515059599,0.011454071008665788,0.011877776208108549,0.011066500583962807,0.011454071008665788,0.011454071008665788
titanic,0.025373319654534952,0.023005267168312495,0.022882167865534542,0.019343980831326723,0.02040708229267526,0.018044904603565216,0.021414523504683956,0.020558035416919595,0.02486976696006055,0.02486976696006055
trains,0.14831966444403738,0.22919496516327345,0.23132689602049658,0.3710036093637359,0.24046304840882277,0.35446657349338023,0.34179863818875633,0.39871280759140426,0.33428981545239744,0.39177568385789896
twonorm,0.0034124396023206553,0.003372197118358522,0.0030483133167107227,0.0029144501744316773,0.0029767555822695414,0.0029767555822695414,0.003353055298289881,0.0029586425093937304,0.0029767555822695414,0.0029767555822695414
vertebral-column-2clases,0.05802722875947209,0.067051055806455,0.061695678656841065,0.06362094199579367,0.06948226634441886,0.07839203617244593,0.06500711008868182,0.06478010143918728,0.0787803544938506,0.0787803544938506
vertebral-column-3clases,0.04876851545721549,0.05145257694409092,0.05233983115523308,0.05057153130595517,0.04994908717661627,0.049571972379356476,0.04930192411932279,0.04480194658139997,0.05047491217332134,0.05002147970579103
wall-following,0.3415037282873374,0.021494241171059716,0.004155624010305906,0.02776884344832967,0.00936490831732596,0.016985034865475174,0.009428723410004943,0.018942103540421203,0.016711747106116847,0.01872780746821498
waveform,0.00933586249655562,0.009230006611409994,0.009224860962647132,0.008089865109613653,0.009059097996238646,0.009053446220079262,0.010348141084839868,0.009538344271753787,0.009071335837994056,0.00904854400379204
waveform-noise,0.009619361649466675,0.009269071885569795,0.009713361059799162,0.00889859140615134,0.009469528656564608,0.009433854305763914,0.010195951633466552,0.009665789996890946,0.009469636935616184,0.00950793206465213
wine,0.027147162680647745,0.057935900552928986,0.027735307166678533,0.025708901540141604,0.023335967976059125,0.023715503786175738,0.026632201751968298,0.0242934203240388,0.023907348739410174,0.023603265907387053
wine-quality-red,0.04035763112930007,0.04199766468818572,0.026442115590696254,0.03380544938981,0.05409193205309806,0.013816540340933587,0.02408075967498683,0.02792618629483022,0.028623962586039362,0.026649715970225703
wine-quality-white,0.01957958737862529,0.03239592748006967,0.01752167541887203,0.02836569343903508,0.04796749861555529,0.00745612144118467,0.01701167772659171,0.030594460643894227,0.018774075011700246,0.016163925444932607
yeast,0.0534577548496459,0.05116946390733046,0.0538934629979594,0.06455175218562016,0.04448258489331733,0.05205727023217489,0.06314893479121306,0.04618637858568587,0.06438549289037623,0.06187392018055312
zoo,0.09727818978782736,0.09767328077435866,0.08886466670273205,0.11534256371094925,0.10783728616646139,0.10630392838893243,0.10305499150585652,0.12533594442639587,0.11970864644361326,0.1199442153635446
