TRAINNLLRANKS:,CAWPE_eq,CAWPE_alpha=1,CAWPE_pb,CAWPE_alpha=2,CAWPE_alpha=3,CAWPE_alpha=4,CAWPE_alpha=5,CAWPE_alpha=6,CAWPE_alpha=7,CAWPE_alpha=8,CAWPE_alpha=9,CAWPE_alpha=10,CAWPE_alpha=11,CAWPE_alpha=12,CAWPE_alpha=13,CAWPE_alpha=14,CAWPE_alpha=15
breast-cancer-wisc-diag,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
breast-cancer-wisc-prog,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,10.0,12.0,14.0,16.0,17.0,15.0,13.0,11.0,9.0
breast-tissue,2.0,4.0,1.0,6.0,8.0,11.0,13.0,15.0,17.0,16.0,14.0,12.0,10.0,9.0,7.0,5.0,3.0
car,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
cardiotocography-3clases,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
cardiotocography-10clases,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
chess-krvk,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
chess-krvkp,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
congressional-voting,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
conn-bench-sonar-mines-rocks,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,15.0
conn-bench-vowel-deterding,17.0,16.0,1.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
connect-4,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
contrac,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
credit-approval,12.0,14.0,1.0,16.0,17.0,15.0,13.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
cylinder-bands,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
dermatology,16.0,15.0,17.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0
echocardiogram,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,10.0,12.0,14.0,16.0,17.0,15.0,13.0,11.0,9.0
ecoli,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,14.0,16.0,17.0,15.0,13.0,11.0
energy-y1,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
energy-y2,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
fertility,7.0,10.0,1.0,13.0,15.0,17.0,16.0,14.0,12.0,11.0,9.0,8.0,6.0,5.0,4.0,3.0,2.0
flags,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,16.0,17.0,15.0,13.0
glass,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
haberman-survival,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
hayes-roth,1.0,2.0,8.0,3.0,4.0,5.0,6.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
heart-cleveland,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
heart-hungarian,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
heart-switzerland,3.0,7.0,1.0,11.0,13.0,16.0,17.0,15.0,14.0,12.0,10.0,9.0,8.0,6.0,5.0,4.0,2.0
heart-va,4.0,7.0,1.0,10.0,13.0,15.0,17.0,16.0,14.0,12.0,11.0,9.0,8.0,6.0,5.0,3.0,2.0
hepatitis,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,16.0,17.0,15.0,13.0
hill-valley,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
horse-colic,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
ilpd-indian-liver,2.0,3.0,1.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,16.0,17.0,15.0,13.0,11.0,10.0,8.0
image-segmentation,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
ionosphere,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
iris,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,11.0,13.0,15.0,17.0,16.0,14.0,12.0,10.0,9.0
led-display,4.0,6.0,1.0,8.0,10.0,12.0,14.0,16.0,17.0,15.0,13.0,11.0,9.0,7.0,5.0,3.0,2.0
lenses,2.0,3.0,1.0,8.0,11.0,14.0,16.0,17.0,15.0,13.0,12.0,10.0,9.0,7.0,6.0,5.0,4.0
letter,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
libras,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,15.0
low-res-spect,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,15.0
lung-cancer,2.0,3.0,1.0,4.0,5.0,13.0,16.0,17.0,15.0,14.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0
lymphography,3.0,5.0,1.0,8.0,10.0,12.0,14.0,16.0,17.0,15.0,13.0,11.0,9.0,7.0,6.0,4.0,2.0
magic,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
mammographic,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
miniboone,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
molec-biol-promoter,10.0,12.0,17.0,14.0,16.0,15.0,13.0,11.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0
molec-biol-splice,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
monks-1,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
monks-2,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
monks-3,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
mushroom,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
musk-1,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
musk-2,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
nursery,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
oocytes_merluccius_nucleus_4d,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
oocytes_merluccius_states_2f,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
oocytes_trisopterus_nucleus_2f,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
oocytes_trisopterus_states_5b,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
optical,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
ozone,17.0,16.0,1.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
page-blocks,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
parkinsons,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
pendigits,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
pima,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
pittsburg-bridges-MATERIAL,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
pittsburg-bridges-REL-L,2.0,3.0,1.0,4.0,5.0,7.0,10.0,13.0,15.0,17.0,16.0,14.0,12.0,11.0,9.0,8.0,6.0
pittsburg-bridges-SPAN,2.0,3.0,1.0,6.0,8.0,10.0,12.0,15.0,17.0,16.0,14.0,13.0,11.0,9.0,7.0,5.0,4.0
pittsburg-bridges-T-OR-D,17.0,16.0,1.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
pittsburg-bridges-TYPE,2.0,3.0,1.0,4.0,7.0,9.0,12.0,14.0,16.0,17.0,15.0,13.0,11.0,10.0,8.0,6.0,5.0
planning,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,14.0,16.0,17.0,15.0,13.0,11.0
plant-margin,17.0,16.0,1.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
plant-shape,2.0,3.0,1.0,4.0,5.0,6.0,7.0,10.0,12.0,15.0,17.0,16.0,14.0,13.0,11.0,9.0,8.0
plant-texture,17.0,16.0,1.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
post-operative,11.0,13.0,1.0,15.0,17.0,16.0,14.0,12.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
primary-tumor,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,11.0,13.0,15.0,17.0,16.0,14.0,12.0,10.0,9.0
ringnorm,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
seeds,10.0,12.0,1.0,14.0,16.0,17.0,15.0,13.0,11.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
semeion,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
soybean,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
spambase,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
spect,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
spectf,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
statlog-australian-credit,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
statlog-german-credit,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
statlog-heart,4.0,6.0,1.0,8.0,10.0,12.0,14.0,16.0,17.0,15.0,13.0,11.0,9.0,7.0,5.0,3.0,2.0
statlog-image,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
statlog-landsat,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
statlog-shuttle,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
statlog-vehicle,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
steel-plates,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
synthetic-control,16.0,15.0,17.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0
teaching,2.0,4.0,1.0,7.0,10.0,12.0,14.0,16.0,17.0,15.0,13.0,11.0,9.0,8.0,6.0,5.0,3.0
thyroid,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
tic-tac-toe,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
titanic,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
trains,2.0,8.0,1.0,15.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,9.0,7.0,6.0,5.0,4.0,3.0
twonorm,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
vertebral-column-2clases,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,17.0,16.0,14.0
vertebral-column-3clases,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
wall-following,1.0,2.0,17.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
waveform,17.0,16.0,1.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
waveform-noise,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
wine,16.0,15.0,17.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0
wine-quality-red,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
wine-quality-white,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
yeast,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
zoo,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
